Date,plot,species,height,bc_d,bc_c,mc_d,mc_c,individidual_state
20230517,a,avst,115,0.31,NA,0.21,NA,f
20230517,a,avst,110,0.31,NA,0.31,NA,f
20230517,a,avst,160,0.62,NA,0.38,NA,f
20230517,a,avst,120,0.55,NA,0.3,NA,f
20230517,a,avst,102,0.54,NA,0.32,NA,f
20230517,otc,avst,95,0.36,NA,0.28,NA,f
20230517,otc,avst,83,0.37,NA,0.26,NA,f
20230517,otc,avst,183,0.55,NA,0.31,NA,f
20230508,12,avst,165,0.54,NA,0.34,NA,f
20230508,12,avst,120,0.27,NA,0.18,NA,f
20230508,12,dauca,40.5,NA,0.26,,0.24,nf
20230508,12,dauca,58.5,NA,0.49,,0.4,nf
20230508,12,dauca,44.5,NA,0.35,,0.26,nf
20230517,a,dauca,50.5,NA,0.44,,0.31,nf
20230517,a,dauca,35,NA,0.13,,0.11,nf
20230517,a,g1,70,0.3,NA,0.19,NA,f
20230517,a,g1,56.5,0.21,NA,0.1,NA,f
20230517,a,g1,64,0.25,NA,0.17,NA,f
20230517,a,g1,61,0.21,NA,0.18,NA,f
20230517,otc,g1,58.5,0.23,NA,0.15,NA,f
20230517,a,g1,98,0.42,NA,0.26,NA,f
20230517,a,g1,97.5,0.25,NA,0.17,NA,f
20230517,a,g1,95,0.3,NA,0.22,NA,f
20230508,12,g1,80,0.22,NA,0.15,NA,f
20230508,12,g1,49,0.09,NA,0.07,NA,f
20230508,12,g11,47,NA,0.15,,0.15,nf
20230508,12,g11,32.5,NA,0.14,,0.007,nf
20230508,12,g11,53.5,NA,0.25,,0.15,nf
20230508,12,g11,40,NA,0.2,,0.09,nf
20230508,12,g11,39,0.21,NA,NA,0.18,nf
20230508,12,g11,36,NA,0.13,,0.1,nf
20230508,12,g11,29.5,NA,0.2,,0.1,nf
20230508,12,g11,50,NA,0.14,,0.13,nf
20230517,a,g11,37,NA,0.13,,0.07,nf
20230517,a,g11,54,NA,0.16,,0.13,nf
20230517,a,g2,54,0.15,NA,0.13,NA,f
20230517,a,g2,67,0.19,NA,0.17,NA,f
20230517,a,g2,54.5,0.19,NA,0.15,NA,f
20230517,a,g2,55.5,0.2,NA,0.14,NA,f
20230517,a,g2,75.5,0.21,NA,0.17,NA,f
20230517,otc,g2,50,0.15,NA,0.14,NA,f
20230517,a,g2,69,0.16,NA,0.12,NA,f
20230517,otc,g2,35.5,0.16,NA,0.11,NA,f
20230517,a,g2,68.5,0.16,NA,0.11,NA,f
20230517,a,g2,45,0.09,NA,0.05,NA,f
20230517,otc,gedi,24.5,0.55,NA,NA,4,ffr
20230517,otc,gedi,31.5,0.32,NA,NA,4.5,ffr
20230517,otc,gedi,48,0.5,NA,NA,12,ffr
20230517,a,gedi,45.5,0.39,NA,NA,10.1,ffr
20230517,a,gedi,56.5,1.13,NA,NA,13,ffr
20230517,a,gedi,52,1.46,NA,NA,10.1,ffr
20230517,a,gedi,29.5,0.41,NA,NA,0.27,ffr
20230517,a,gedi,27.5,0.33,NA,NA,3,ffr
20230517,a,gedi,39,0.4,NA,NA,2.5,ffr
20230517,otc,gedi,37.5,0.5,NA,NA,3,ffr
20230517,otc,plala,38,NA,3,0.15,,f
20230517,a,plala,30,NA,2.1,,3,n
20230517,a,plala,44,NA,2.1,,0.7,f
20230517,a,plala,36,NA,3,,1.9,f
20230517,a,plala,21,NA,4,,1.7,f
20230517,a,plala,54,NA,20,,27,f
20230517,a,plala,40,NA,11.1,,2.8,f
20230517,a,plala,24,NA,4.1,,5.1,f
20230517,a,plala,77,NA,8,,2.5,f
20230517,a,plala,30,NA,9.5,,4.1,f
20230517,a,pore,20.5,0.28,NA,NA,0.8,n
20230517,a,pore,21,0.15,NA,NA,0.7,n
20230517,a,pore,22.5,NA,2,,2.5,n
20230517,otc,pore,19,NA,1,,1.5,n
20230517,otc,pore,17,NA,1.3,,2.9,n
20230517,otc,pore,34,0.21,NA,NA,0.9,n
20230517,a,pore,44.5,NA,1.5,,1.17,n
20230517,otc,pore,22,0.17,NA,NA,0.7,n
20230517,a,pore,21,NA,2,,2.2,n
20230517,a,pore,39,NA,1.8,,2.5,n
20230517,a,rabu,34,NA,3,,3.3,ffr
20230517,a,rabu,35,NA,1.5,,2.7,ffr
20230517,a,rabu,54,NA,2,,4.5,ffr
20230517,a,rabu,34,NA,3.3,,4.2,ffr
20230517,a,rabu,31,NA,1.2,,3.3,ffr
20230517,a,rabu,39,NA,1.1,,4,ffr
20230517,a,rabu,38.5,NA,4.5,,2.8,ffr
20230517,a,rabu,17.5,NA,1.3,,3.8,ffr
20230508,12,rabu,27,NA,1.6,,2.2,ffr
20230508,12,rabu,37,NA,3.2,,6.2,ffr
20230508,12,rapa,34,NA,0.19,,0.29,nf
20230508,12,rapa,36,NA,0.22,,0.3,nf
20230517,a,rapa,29.5,NA,0.28,,0.17,nf
20230517,otc,rapa,35.5,NA,0.2,,0.35,nf
20230517,otc,rapa,25.5,0.21,NA,NA,2.5,ffr
20230517,a,rapa,45,0.21,NA,NA,2.8,ffr
20230517,a,rapa,34.5,0.2,NA,NA,1.1,ffr
20230517,a,rapa,26.5,0.11,NA,NA,1.7,ffr
20230517,a,rapa,23,0.21,NA,NA,2.1,ffr
20230517,otc,rapa,30,0.24,NA,NA,1.8,ffr
20230517,otc,rapa,28,0.32,NA,NA,2.5,ffr
20230517,otc,rapa,50,0.46,NA,NA,4.1,ffr
20230517,otc,rapa,56.5,0.39,NA,NA,3.2,ffr
20230517,a,rapa,35,0.18,NA,NA,1.8,ffr
20230517,otc,shar,65,0.2,NA,0.13,NA,f
20230517,a,shar,33,0.04,NA,0.1,NA,f
20230517,otc,shar,26.5,0.05,NA,0.06,NA,f
20230517,a,shar,31,0.05,NA,0.14,NA,f
20230517,otc,shar,43,0.12,NA,0.15,NA,f
20230517,a,shar,42.5,0.06,NA,0.15,NA,f
