"","year","date","block","plot","treatment","moose.cage","trap.type","trap.num","genus","species","code","abundance"
"1",2003,"2003-06-01","Ridge",4,"Logged","","bait","1 hour","Aphaenogaster","fulva","aphful",2
"2",2003,"2003-06-01","Ridge",4,"Logged","","bait","1 hour","Aphaenogaster","picea","aphpic",2
"3",2003,"2003-06-01","Ridge",4,"Logged","","bait","1 hour","Temnothorax","longispinosus","temlon",1
"4",2003,"2003-06-01","Ridge",4,"Logged","","bait","15 minutes","Aphaenogaster","picea","aphpic",2
"5",2003,"2003-06-01","Ridge",4,"Logged","","hand","","Aphaenogaster","picea","aphpic",1
"6",2003,"2003-06-01","Ridge",4,"Logged","","hand","","Camponotus","pennsylvanicus","campen",1
"7",2003,"2003-06-01","Ridge",4,"Logged","","hand","","Lasius","americanus","lasame",1
"8",2003,"2003-06-01","Ridge",4,"Logged","","hand","","Myrmica","punctiventris","myrpun",1
"9",2003,"2003-06-01","Ridge",4,"Logged","","hand","","Temnothorax","longispinosus","temlon",1
"10",2003,"2003-06-01","Ridge",4,"Logged","","litter","1","Aphaenogaster","fulva","aphful",1
"11",2003,"2003-06-01","Ridge",4,"Logged","","litter","1","Aphaenogaster","picea","aphpic",1
"12",2003,"2003-06-01","Ridge",4,"Logged","","litter","2","Aphaenogaster","picea","aphpic",1
"13",2003,"2003-06-01","Ridge",4,"Logged","","litter","2","Temnothorax","longispinosus","temlon",2
"14",2003,"2003-06-01","Ridge",4,"Logged","","litter","3","Aphaenogaster","picea","aphpic",1
"15",2003,"2003-06-01","Ridge",4,"Logged","","pitfall","1","Aphaenogaster","picea","aphpic",1
"16",2003,"2003-06-01","Ridge",4,"Logged","","pitfall","15","Aphaenogaster","picea","aphpic",1
"17",2003,"2003-06-01","Ridge",4,"Logged","","pitfall","17","Aphaenogaster","picea","aphpic",2
"18",2003,"2003-06-01","Ridge",4,"Logged","","pitfall","19","Aphaenogaster","picea","aphpic",1
"19",2003,"2003-06-01","Ridge",4,"Logged","","pitfall","2","Aphaenogaster","picea","aphpic",1
"20",2003,"2003-06-01","Ridge",4,"Logged","","pitfall","20","Temnothorax","longispinosus","temlon",1
"21",2003,"2003-06-01","Ridge",4,"Logged","","pitfall","22","Aphaenogaster","picea","aphpic",1
"22",2003,"2003-06-01","Ridge",4,"Logged","","pitfall","23","Aphaenogaster","picea","aphpic",1
"23",2003,"2003-06-01","Ridge",4,"Logged","","pitfall","24","Aphaenogaster","picea","aphpic",1
"24",2003,"2003-06-01","Ridge",4,"Logged","","pitfall","5","Aphaenogaster","picea","aphpic",2
"25",2003,"2003-06-01","Ridge",4,"Logged","","pitfall","7","Aphaenogaster","picea","aphpic",1
"26",2004,"2004-07-16","Ridge",4,"Logged","","bait","","Aphaenogaster","fulva","aphful",9
"27",2004,"2004-07-16","Ridge",4,"Logged","","bait","","Aphaenogaster","picea","aphpic",9
"28",2004,"2004-07-16","Ridge",4,"Logged","","bait","","Temnothorax","longispinosus","temlon",1
"29",2004,"2004-07-16","Ridge",4,"Logged","","hand","","Aphaenogaster","fulva","aphful",71
"30",2004,"2004-07-16","Ridge",4,"Logged","","hand","","Aphaenogaster","picea","aphpic",71
"31",2004,"2004-07-16","Ridge",4,"Logged","","hand","","Camponotus","pennsylvanicus","campen",1
"32",2004,"2004-07-16","Ridge",4,"Logged","","hand","","Lasius","americanus","lasame",1
"33",2004,"2004-07-16","Ridge",4,"Logged","","hand","","Lasius","nearcticus","lasnea",18
"34",2004,"2004-07-16","Ridge",4,"Logged","","litter","(35;40)","Lasius","americanus","lasame",2
"35",2004,"2004-07-16","Ridge",4,"Logged","","litter","(35;40)","Temnothorax","longispinosus","temlon",1
"36",2004,"2004-07-16","Ridge",4,"Logged","","litter","(50;50)","Aphaenogaster","fulva","aphful",45
