"","sampling","plot","treatment","species","abundance","height","Cb","Db","Cm","Dm","datenew","month"
"1","0","1","w","rapa",25,36,NA,NA,NA,NA,2023-05-04,5
"2","0","1","w","rapa",25,34,NA,NA,NA,NA,2023-05-04,5
"3","0","1","w","rapa",25,33,NA,NA,NA,NA,2023-05-04,5
"4","0","1","w","rapa",25,31,NA,NA,NA,NA,2023-05-04,5
"5","0","1","w","rapa",25,30,NA,NA,NA,NA,2023-05-04,5
"6","0","1","w","rapa",25,29,NA,NA,NA,NA,2023-05-04,5
"7","0","1","w","rapa",25,26,NA,NA,NA,NA,2023-05-04,5
"8","0","1","w","rapa",25,26,NA,NA,NA,NA,2023-05-04,5
"9","0","1","w","rapa",25,25,NA,NA,NA,NA,2023-05-04,5
"10","0","1","w","rapa",25,23,NA,NA,NA,NA,2023-05-04,5
"11","0","1","w","rapa",25,18,NA,NA,NA,NA,2023-05-04,5
"12","0","1","w","rapa",25,18,NA,NA,NA,NA,2023-05-04,5
"13","0","1","w","brst",15,81,NA,NA,NA,NA,2023-05-04,5
"14","0","1","w","brst",15,73,NA,NA,NA,NA,2023-05-04,5
"15","0","1","w","brst",15,72,NA,NA,NA,NA,2023-05-04,5
"16","0","1","w","brst",15,72,NA,NA,NA,NA,2023-05-04,5
"17","0","1","w","brst",15,72,NA,NA,NA,NA,2023-05-04,5
"18","0","1","w","brst",15,68,NA,NA,NA,NA,2023-05-04,5
"19","0","1","w","brst",15,63,NA,NA,NA,NA,2023-05-04,5
"20","0","1","w","brst",15,49,NA,NA,NA,NA,2023-05-04,5
"21","0","1","w","shar",15,47,NA,NA,NA,NA,2023-05-04,5
"22","0","1","w","shar",15,34,NA,NA,NA,NA,2023-05-04,5
"23","0","1","w","shar",15,29,NA,NA,NA,NA,2023-05-04,5
"24","0","1","w","shar",15,24,NA,NA,NA,NA,2023-05-04,5
"25","0","1","w","shar",15,24,NA,NA,NA,NA,2023-05-04,5
"26","0","1","w","shar",15,20,NA,NA,NA,NA,2023-05-04,5
"27","0","1","w","shar",15,11,NA,NA,NA,NA,2023-05-04,5
"28","0","1","w","visa",15,46,NA,NA,NA,NA,2023-05-04,5
"29","0","1","w","visa",15,41,NA,NA,NA,NA,2023-05-04,5
"30","0","1","w","visa",15,38,NA,NA,NA,NA,2023-05-04,5
"31","0","1","w","visa",15,35,NA,NA,NA,NA,2023-05-04,5
"32","0","1","w","visa",15,26,NA,NA,NA,NA,2023-05-04,5
"33","0","1","w","visa",15,20,NA,NA,NA,NA,2023-05-04,5
"34","0","1","w","brho",10,60,NA,NA,NA,NA,2023-05-04,5
"35","0","1","w","brho",10,56,NA,NA,NA,NA,2023-05-04,5
"36","0","1","w","brho",10,53,NA,NA,NA,NA,2023-05-04,5
"37","0","1","w","brho",10,47,NA,NA,NA,NA,2023-05-04,5
"38","0","1","w","brho",10,43,NA,NA,NA,NA,2023-05-04,5
"39","0","1","w","plla",10,33,NA,NA,NA,NA,2023-05-04,5
"40","0","1","w","plla",10,29,NA,NA,NA,NA,2023-05-04,5
"41","0","1","w","plla",10,27,NA,NA,NA,NA,2023-05-04,5
"42","0","1","w","plla",10,25,NA,NA,NA,NA,2023-05-04,5
"43","0","1","w","fear",8,98,NA,NA,NA,NA,2023-05-04,5
"44","0","1","w","fear",8,86,NA,NA,NA,NA,2023-05-04,5
"45","0","1","w","fear",8,79,NA,NA,NA,NA,2023-05-04,5
"46","0","1","w","fear",8,78,NA,NA,NA,NA,2023-05-04,5
"47","0","1","w","gedi",5,36,NA,NA,NA,NA,2023-05-04,5
"48","0","1","w","gedi",5,26,NA,NA,NA,NA,2023-05-04,5
"49","0","1","w","poan",5,69,NA,NA,NA,NA,2023-05-04,5
"50","0","1","w","poan",5,58,NA,NA,NA,NA,2023-05-04,5
"51","0","1","w","poan",5,57,NA,NA,NA,NA,2023-05-04,5
"52","0","1","w","tono",5,30,NA,NA,NA,NA,2023-05-04,5
"53","0","1","w","tono",5,29,NA,NA,NA,NA,2023-05-04,5
"54","0","1","w","tono",5,15,NA,NA,NA,NA,2023-05-04,5
"55","0","1","w","trdu",5,43,NA,NA,NA,NA,2023-05-04,5
"56","0","1","w","trdu",5,40,NA,NA,NA,NA,2023-05-04,5
"57","0","1","w","trdu",5,32,NA,NA,NA,NA,2023-05-04,5
"58","0","1","w","hyra",4,20,NA,NA,NA,NA,2023-05-04,5
"59","0","1","w","hyra",4,15,NA,NA,NA,NA,2023-05-04,5
"60","0","1","w","bepe",2,21,NA,NA,NA,NA,2023-05-04,5
"61","0","1","w","bepe",2,17,NA,NA,NA,NA,2023-05-04,5
"62","0","1","w","apar",1,18,NA,NA,NA,NA,2023-05-04,5
"63","0","1","w","apar",1,16,NA,NA,NA,NA,2023-05-04,5
"64","0","1","w","apar",1,15,NA,NA,NA,NA,2023-05-04,5
"65","0","1","w","cegl",1,15,NA,NA,NA,NA,2023-05-04,5
"66","0","1","w","mear",1,17,NA,NA,NA,NA,2023-05-04,5
"67","0","1","w","trnu",1,25,NA,NA,NA,NA,2023-05-04,5
"68","0","10","p","fear",40,43,NA,NA,NA,NA,2023-05-04,5
"69","0","10","p","fear",40,40,NA,NA,NA,NA,2023-05-04,5
"70","0","10","p","fear",40,40,NA,NA,NA,NA,2023-05-04,5
"71","0","10","p","fear",40,40,NA,NA,NA,NA,2023-05-04,5
"72","0","10","p","fear",40,38,NA,NA,NA,NA,2023-05-04,5
"73","0","10","p","fear",40,38,NA,NA,NA,NA,2023-05-04,5
"74","0","10","p","fear",40,37,NA,NA,NA,NA,2023-05-04,5
"75","0","10","p","fear",40,37,NA,NA,NA,NA,2023-05-04,5
"76","0","10","p","fear",40,36,NA,NA,NA,NA,2023-05-04,5
"77","0","10","p","fear",40,36,NA,NA,NA,NA,2023-05-04,5
"78","0","10","p","fear",40,36,NA,NA,NA,NA,2023-05-04,5
"79","0","10","p","fear",40,35,NA,NA,NA,NA,2023-05-04,5
"80","0","10","p","fear",40,34,NA,NA,NA,NA,2023-05-04,5
"81","0","10","p","fear",40,34,NA,NA,NA,NA,2023-05-04,5
"82","0","10","p","fear",40,34,NA,NA,NA,NA,2023-05-04,5
"83","0","10","p","fear",40,33,NA,NA,NA,NA,2023-05-04,5
"84","0","10","p","fear",40,29,NA,NA,NA,NA,2023-05-04,5
"85","0","10","p","fear",40,29,NA,NA,NA,NA,2023-05-04,5
"86","0","10","p","visa",15,44,NA,NA,NA,NA,2023-05-04,5
"87","0","10","p","visa",15,40,NA,NA,NA,NA,2023-05-04,5
