"","sampling","plot","treatment","species","abundance","height","Cb","Db","Cm","Dm","datenew","month"
"1","0may",15,"p","brst",95,136,NA,NA,NA,NA,2023-05-04,5
"2","0may",16,"w","brst",95,136,NA,NA,NA,NA,2023-05-04,5
"3","0may",15,"p","brst",95,135,NA,NA,NA,NA,2023-05-04,5
"4","0may",16,"w","brst",95,135,NA,NA,NA,NA,2023-05-04,5
"5","0may",15,"p","brst",95,132,NA,NA,NA,NA,2023-05-04,5
"6","0may",16,"w","brst",95,132,NA,NA,NA,NA,2023-05-04,5
"7","0may",15,"p","brst",95,131,NA,NA,NA,NA,2023-05-04,5
"8","0may",16,"w","brst",95,131,NA,NA,NA,NA,2023-05-04,5
"9","0may",15,"p","brst",95,129,NA,NA,NA,NA,2023-05-04,5
"10","0may",16,"w","brst",95,129,NA,NA,NA,NA,2023-05-04,5
"11","0may",15,"p","brst",95,128,NA,NA,NA,NA,2023-05-04,5
"12","0may",16,"w","brst",95,128,NA,NA,NA,NA,2023-05-04,5
"13","0may",15,"p","brst",95,125,NA,NA,NA,NA,2023-05-04,5
"14","0may",15,"p","brst",95,125,NA,NA,NA,NA,2023-05-04,5
"15","0may",16,"w","brst",95,125,NA,NA,NA,NA,2023-05-04,5
"16","0may",16,"w","brst",95,125,NA,NA,NA,NA,2023-05-04,5
"17","0may",15,"p","brst",95,118,NA,NA,NA,NA,2023-05-04,5
"18","0may",16,"w","brst",95,118,NA,NA,NA,NA,2023-05-04,5
"19","0may",15,"p","brst",95,117,NA,NA,NA,NA,2023-05-04,5
"20","0may",16,"w","brst",95,117,NA,NA,NA,NA,2023-05-04,5
"21","0may",15,"p","brst",95,114,NA,NA,NA,NA,2023-05-04,5
"22","0may",16,"w","brst",95,114,NA,NA,NA,NA,2023-05-04,5
"23","0may",16,"w","brst",95,112,NA,NA,NA,NA,2023-05-04,5
"24","0may",15,"p","brst",95,111,NA,NA,NA,NA,2023-05-04,5
"25","0may",15,"p","brst",95,110,NA,NA,NA,NA,2023-05-04,5
"26","0may",16,"w","brst",95,110,NA,NA,NA,NA,2023-05-04,5
"27","0may",15,"p","brst",95,104,NA,NA,NA,NA,2023-05-04,5
"28","0may",15,"p","brst",95,102,NA,NA,NA,NA,2023-05-04,5
"29","0may",16,"w","brst",95,102,NA,NA,NA,NA,2023-05-04,5
"30","0may",15,"p","brst",95,99,NA,NA,NA,NA,2023-05-04,5
"31","0may",16,"w","brst",95,99,NA,NA,NA,NA,2023-05-04,5
"32","0may",15,"p","brst",95,98,NA,NA,NA,NA,2023-05-04,5
"33","0may",16,"w","brst",95,98,NA,NA,NA,NA,2023-05-04,5
"34","0may",15,"p","brst",95,94,NA,NA,NA,NA,2023-05-04,5
"35","0may",16,"w","brst",95,94,NA,NA,NA,NA,2023-05-04,5
