species,leaf_N,root_N,root_density,seed_mass,leaf_area1,leaf_area2,leaf_mass,plant_height,leaf_area3,leaf_area4,leaf_area5,plan_height2,leaf_area6,leaf_area7,leaf_area8,stem_density,leaf_area9,leaf_area10,root_length,leaf_area11
Amaranthus sp,18.52371635,NA,NA,NA,8.98402815,NA,0.367475929,NA,13.15843179,NA,NA,NA,8.984028149,NA,137.5,NA,NA,NA,NA,NA
Anacamptis pyramidalis,NA,NA,NA,NA,31.6,NA,0.11123569,0.445833333,32.49319819,1260.695,NA,0.375,30.9275,1194.15,1008.137,NA,NA,1562.42,NA,NA
Anagallis arvensis,25.73544106,NA,NA,0.462790244,29.01187739,164,0.145672036,0.099268421,31.42737389,NA,104,0.166084416,30.34112499,51.18790925,47.98345,NA,NA,20.605,NA,NA
Aphanes arvensis,16.46106333,NA,NA,0.229983333,17.70909091,38,0.290146494,0.123214286,27.10105547,NA,38,0.119444444,30.55294118,43.575127,32,NA,NA,48.70133333,NA,NA
Avena sterilis,26.46734018,NA,NA,28.90744596,53.26695322,2585.71,0.202085446,0.54981682,25.85353066,560.75,NA,0.482531115,17.1328,1951.10295,NA,NA,NA,651.89,NA,NA
Bellis perennis,21.89925757,9.236025247,0.133272314,0.122751811,28.76,NA,0.147235896,0.08749024,33.10006666,NA,359,0.102407407,32.88810924,354.476399,1194.33174,0.074817284,NA,372.6963636,26395.97173,NA
Bromus hordeaceus,23.81489779,8.874774068,0.144,2.510918054,29.77012869,442.5,0.25271422,0.439743415,18.51177881,59,442.5,0.351583333,23.85829663,106.4385315,409.8212302,NA,96.7562175,59,49782.39661,21.51987931
Bromus sterilis,29.25940567,NA,NA,6.050822222,31.27482457,444.7219966,0.259358747,0.442892641,33.79874531,NA,467.3333333,0.492884615,34.87896214,596.8273864,2427.746283,NA,NA,NA,NA,NA
CAPSELLA BURSA-PASTORIS,49.75523089,NA,0.316666667,0.119197292,30.25635152,1255.830833,0.154663514,0.239716165,48.35741336,2667,1262.8,0.342598291,33.51829112,757.1294539,1686.19,NA,290,552.834,26602.27222,NA
Carex divulsa,NA,NA,NA,2.05982,25.8994705,370.8,NA,0.451617647,18.69158879,NA,1403.7,0.4,NA,NA,1739,NA,NA,NA,NA,NA
