Taxonomy,A1b,A2b,A3b,A4b,A5b,A6b,A7b,A8b,A9b,A10b,A11b,A12b,A13b,A14b,A15b,A16b,B1b,B2b,B3b,B4b,B5b,B6b,B7b,B8b,B9b,B10b,B11b,B12b,B13b,B14b,B15b,B16b,C1b,C2b,C3b,C4b,C5b,C6b,C7b,C8b,C9b,C10b,C11b,C12b,C13b,C14b,C15b,C16b,D1b,D2b,D3b,D4b,D5b,D6b,D7b,D8b,D9b,D10b,D11b,D12b,D13b,D14b,D15b,D16b,E1b,E2b,E3b,E4b,E5b,E6b,E7b,E8b,E9b,E10b,E11b,E12b,E13b,E14b,E15b,E16b,F1b,F2b,F3b,F4b,F5b,F6b,F7b,F8b,F9b,F10b,F11b,F12b,F13b,F14b,F15b,F16b,Tax_detail
Flavobacterium,3.57E-05,0,3.57E-05,0,0,0.000178495,0,0.000249893,0.000142796,0.000856776,0,0.000178495,0.000214194,0,0.000142796,0.000321291,0.000107097,0.000107097,7.14E-05,0.000214194,0.000142796,0.000178495,0.000107097,0,3.57E-05,7.14E-05,0.000214194,0.000428388,0.000392689,0.000678281,0.000285592,0.000178495,0.000142796,0.000535485,0.000107097,7.14E-05,0,0,0,0.001249465,0.000142796,7.14E-05,7.14E-05,7.14E-05,0.000142796,0.000142796,0.000107097,7.14E-05,0.000178495,0.00246323,0.000142796,0,0,0,7.14E-05,0.000107097,0.00035699,7.14E-05,7.14E-05,7.14E-05,0,0.000606883,7.14E-05,0.00035699,0.001213766,0.00107097,3.57E-05,7.14E-05,7.14E-05,0.000499786,0.000178495,0.000749679,0.000178495,0.000142796,0.000392689,0.000142796,0.000285592,0.002784521,0.000142796,0.041982008,0.001249465,0.009745823,0.000999572,0.002677424,0.002320434,0.003784093,0.006604312,0.003248608,0.173782665,0.000606883,0.002855919,0.002963016,0.007853777,0.001285164,0.003712695,0.002927317,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;
Bacillus,0.027952306,0.040268456,0.021740683,0.024953591,0.026917036,0.033842639,0.056939883,0.043409967,0.036555762,0.061045266,0.040803941,0.043909753,0.032021991,0.037448236,0.036448665,0.046587177,0.086391546,0.087712409,0.031557904,0.070933885,0.03980437,0.049585892,0.063936884,0.068149365,0.04365986,0.067863773,0.047979437,0.054298158,0.035663287,0.044088248,0.067363987,0.04437384,0.037483935,0.049514494,0.025417678,0.051335142,0.056368699,0.031736399,0.02991575,0.054976439,0.032878766,0.038876196,0.030451235,0.026631444,0.041303727,0.057939455,0.035698986,0.023382836,0.024203913,0.03452092,0.02534628,0.052299015,0.043338569,0.044802228,0.042874482,0.043766957,0.030344138,0.037983721,0.025060688,0.039661574,0.032236184,0.056047408,0.031486506,0.049157504,0.052977295,0.095316293,0.024846494,0.042731686,0.034271027,0.050549764,0.024489504,0.059438812,0.04258889,0.038090818,0.039661574,0.048050835,0.028916179,0.033521348,0.032343281,0.034271027,0.026845638,0.048336427,0.022918749,0.03416393,0.038519206,0.043517064,0.036055976,0.049157504,0.028023704,0.025167785,0.035449093,0.040946737,0.025453377,0.022454662,0.036305869,0.036520063,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;
Rubrobacter,0.034699415,0.032307582,0.018170784,0.0211338,0.027738112,0.010352706,0.013565615,0.013601314,0.01374411,0.010781094,0.020883907,0.017742396,0.027738112,0.029451664,0.048443524,0.013315722,0.007675282,0.023382836,0.021312295,0.020919606,0.029987148,0.015778952,0.021990575,0.01195916,0.012780237,0.010638298,0.014922176,0.020669713,0.033842639,0.019598743,0.025132086,0.024525203,0.017813794,0.024560902,0.021704984,0.026131658,0.030951021,0.016635728,0.016742825,0.014029702,0.019741539,0.014172498,0.018099386,0.017349707,0.027274025,0.019527345,0.030772526,0.030915322,0.039840069,0.036555762,0.023668428,0.023454234,0.0211338,0.018563473,0.015314865,0.016243039,0.012958732,0.012708839,0.014922176,0.017885192,0.037019849,0.009210338,0.025489076,0.011173783,0.007139797,0.025953163,0.048729116,0.040732543,0.028916179,0.018170784,0.021669285,0.018813366,0.015029273,0.016064544,0.02184778,0.019384549,0.054619449,0.030486934,0.038983293,0.021383693,0.0211338,0.02888048,0.030486934,0.044088248,0.035449093,0.01160217,0.014565186,0.011709267,0.00738969,0.014243895,0.019634442,0.028594888,0.024239612,0.017885192,0.025096387,0.017563901,k__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteriaceae;g__Rubrobacter;
Gaiella,0.039018992,0.036484364,0.050406968,0.050514065,0.052727403,0.035698986,0.026702842,0.029772954,0.035948879,0.028380694,0.031986292,0.032557475,0.032593174,0.034128231,0.027952306,0.043838355,0.048086534,0.028202199,0.032628873,0.031165215,0.030808225,0.030808225,0.031986292,0.031236613,0.037876624,0.034877909,0.032164787,0.030379837,0.031129516,0.034128231,0.033021562,0.03698415,0.035627588,0.037234043,0.031129516,0.028095102,0.029308868,0.037091247,0.047015565,0.043052977,0.046765672,0.038519206,0.031772098,0.020705412,0.030451235,0.032628873,0.035092103,0.035877481,0.028452092,0.023704127,0.029415965,0.031950593,0.037876624,0.033771241,0.046765672,0.025024989,0.0281665,0.026167357,0.025917464,0.032878766,0.036341568,0.04508782,0.034556619,0.039875768,0.046087391,0.029094674,0.027845209,0.028487791,0.026595745,0.031379409,0.028380694,0.031022419,0.031593603,0.029558761,0.033557047,0.0317007,0.034092532,0.031879195,0.031807797,0.033628445,0.032021991,0.025774668,0.033485649,0.036127374,0.029201771,0.03944738,0.03944738,0.033771241,0.026667143,0.040089961,0.039018992,0.028987577,0.04258889,0.038662002,0.033271455,0.040089961,k__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;
Solirubrobacter,0.033271455,0.040339854,0.036055976,0.039233186,0.02852349,0.026167357,0.021562188,0.017492503,0.017385406,0.018170784,0.017778095,0.019384549,0.02216907,0.025310581,0.024025418,0.036805655,0.036091675,0.031129516,0.020027131,0.0211338,0.018920463,0.015386263,0.025917464,0.020598315,0.023561331,0.021633586,0.019598743,0.014029702,0.023811224,0.023561331,0.027166928,0.024346709,0.032414679,0.033021562,0.018706269,0.023882622,0.023132943,0.047693845,0.036341568,0.026274454,0.024775096,0.021169499,0.017813794,0.012815936,0.029951449,0.023739826,0.02570327,0.023882622,0.022847351,0.025096387,0.021526489,0.029808653,0.033592746,0.024882193,0.03098672,0.017492503,0.017885192,0.015778952,0.014172498,0.025310581,0.028701985,0.036234471,0.031022419,0.032200486,0.038412109,0.028559189,0.023204341,0.028309296,0.024953591,0.022311866,0.020491218,0.022133371,0.02288305,0.027024133,0.023347137,0.023489933,0.021776382,0.023418535,0.032843067,0.029665857,0.028309296,0.027381122,0.026274454,0.032021991,0.027416821,0.0211338,0.02570327,0.023882622,0.014065401,0.026631444,0.027416821,0.022097672,0.040054262,0.024596601,0.029130373,0.031950593,k__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter;
Nocardioides,0.0175996,0.011138084,0.018527774,0.021026703,0.022490361,0.016992717,0.013101528,0.012030558,0.011352278,0.016921319,0.013137227,0.013351421,0.011387977,0.011887762,0.012137655,0.024275311,0.016671427,0.021240897,0.012851635,0.013672712,0.009638726,0.010602599,0.009317435,0.010138512,0.010531201,0.016814222,0.009174639,0.011530773,0.011673568,0.016742825,0.017920891,0.012423247,0.022026274,0.022240468,0.01020991,0.013351421,0.014279594,0.009638726,0.012494645,0.013065829,0.016314437,0.01513637,0.012101956,0.010174211,0.014850778,0.014672283,0.017099814,0.015957447,0.012815936,0.024382408,0.012566043,0.019634442,0.021562188,0.019455947,0.018884764,0.012994431,0.011780665,0.012494645,0.009781522,0.018849065,0.019777238,0.019491646,0.018706269,0.025596173,0.019313152,0.012923033,0.009674425,0.022418963,0.016707126,0.018706269,0.010995288,0.015350564,0.014600885,0.014993574,0.013708411,0.016814222,0.017206911,0.016635728,0.014672283,0.016243039,0.008674854,0.01934885,0.010673997,0.013458518,0.014922176,0.01267314,0.012458946,0.017064115,0.012066257,0.014600885,0.015279166,0.017171212,0.016528631,0.009924318,0.013065829,0.013351421,k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;
Pseudomonas,0.000214194,0.000285592,0.000142796,0.000142796,3.57E-05,0.000499786,0.000142796,0.00107097,0.000285592,0.00107097,0.000428388,0.000392689,0.000249893,0.000464087,0.000142796,0.00107097,0.000428388,0.000249893,0.000392689,0.000285592,0.001178067,0.000571184,0.000392689,0.001856347,0.000678281,0.007211195,0.000321291,0.000178495,0.000321291,0.000892475,0.001927745,0.001927745,0.00107097,0.001285164,0.000107097,7.14E-05,7.14E-05,0.023918321,0.000107097,0.002320434,0.000321291,0.000535485,0.000285592,0,0.000249893,0.000249893,0,0.000178495,0.000178495,0.010424104,0.000678281,3.57E-05,0.00071398,0.000107097,0.000571184,0.001713551,0.000571184,0.000428388,7.14E-05,0.000285592,0,0.00071398,0,0.000749679,7.14E-05,0.000214194,7.14E-05,0,0.000107097,0.000142796,0.000214194,0.001285164,0.000142796,0.000178495,0.000428388,0.000107097,0,0.000642582,0,0.023775525,0.000392689,0.004355276,0.000464087,0.000285592,0.009067542,0.001713551,0.001320862,0.000464087,0.0070327,0.000285592,0.001178067,0.004605169,0.001427959,0.003427103,0.005711838,0.011994859,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;
Streptomyces,0.015243467,0.018956162,0.018813366,0.014600885,0.020526917,0.017064115,0.012637441,0.018099386,0.01724261,0.015778952,0.017099814,0.018099386,0.018277881,0.01795659,0.016278738,0.017849493,0.019812937,0.018599172,0.016957018,0.017278309,0.014279594,0.013779809,0.016385835,0.016457233,0.017563901,0.016921319,0.014458089,0.018384978,0.017135513,0.019098958,0.020598315,0.015921748,0.020205626,0.010459803,0.013137227,0.015100671,0.016921319,0.016100243,0.0141011,0.020562616,0.013101528,0.021990575,0.01585035,0.013851207,0.014707982,0.017635299,0.020526917,0.019098958,0.01231615,0.018634871,0.011459375,0.015243467,0.016028845,0.01231615,0.022775953,0.01160217,0.012637441,0.013672712,0.013529916,0.012708839,0.015314865,0.021919177,0.017028416,0.017456804,0.018384978,0.014243895,0.011030987,0.013172926,0.011423676,0.013565615,0.010067114,0.015029273,0.015636156,0.013958304,0.015029273,0.013815508,0.015921748,0.014386691,0.0141011,0.017064115,0.013172926,0.012173354,0.013565615,0.014029702,0.011102385,0.01724261,0.016421534,0.017028416,0.017064115,0.017992289,0.015100671,0.014350992,0.020848208,0.018527774,0.016635728,0.016957018,k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;
Candidatus_Xiphinematobacter,0.006175925,0.004033985,0.003462802,0.002606026,0.002427531,0.005176353,0.0105669,0.006711409,0.01267314,0.006889904,0.009460231,0.006532914,0.009388833,0.009960017,0.008210767,0.001999143,0.000963873,0.003605598,0.014957875,0.003926888,0.012494645,0.005604741,0.005961731,0.003712695,0.0070327,0.003498501,0.007425389,0.007568185,0.006640011,0.006818506,0.006425818,0.006175925,0.003819792,0.00421248,0.017992289,0.003962587,0.005033557,0.002070541,0.002606026,0.002284735,0.006818506,0.003676996,0.009031843,0.022740254,0.00282022,0.004855062,0.005926032,0.011173783,0.007675282,0.004676567,0.010781094,0.004319577,0.004783664,0.002713123,0.001963444,0.014743681,0.00985292,0.007425389,0.010281308,0.006604312,0.006568613,0.003248608,0.005104955,0.00317721,0.00210624,0.004283878,0.008067971,0.003605598,0.016421534,0.005426246,0.018741968,0.005069256,0.007532486,0.006961302,0.007960874,0.011816364,0.008674854,0.012209053,0.014458089,0.006925603,0.018741968,0.010067114,0.006461516,0.00846066,0.008139369,0.006532914,0.008389262,0.004462373,0.007104098,0.006068828,0.008317864,0.00985292,0.005747537,0.005961731,0.006925603,0.003641297,k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Xiphinematobacteraceae;g__Candidatus_Xiphinematobacter;
Candidatus_Nitrocosmicus,0.002391832,0.006211624,0.002963016,0.004819363,0.001927745,0.006068828,0.008853349,0.005926032,0.00913894,0.00846066,0.005961731,0.012101956,0.01020991,0.006175925,0.006532914,0.004462373,0.002284735,0.009317435,0.006854205,0.00949593,0.005604741,0.010531201,0.007246894,0.01231615,0.008139369,0.008175068,0.008781951,0.006925603,0.010781094,0.008639155,0.006175925,0.012708839,0.002784521,0.00492646,0.005176353,0.010709696,0.00774668,0.007425389,0.004319577,0.003676996,0.007710981,0.004997858,0.004033985,0.00985292,0.008246466,0.008924747,0.004069684,0.005033557,0.006318721,0.009353134,0.007282593,0.009317435,0.005140654,0.011994859,0.001856347,0.008674854,0.015921748,0.021740683,0.013315722,0.008996145,0.005140654,0.001927745,0.004855062,0.003641297,0.003569899,0.011316579,0.005497644,0.019634442,0.008674854,0.013994003,0.009638726,0.011530773,0.015350564,0.015100671,0.008389262,0.009638726,0.006854205,0.009210338,0.006925603,0.004462373,0.004890761,0.00846066,0.005069256,0.000856776,0.004533771,0.00456947,0.006425818,0.007461088,0.005569042,0.006782807,0.00421248,0.005676139,0.003427103,0.001178067,0.002320434,0.002784521,k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus_Nitrocosmicus;
