Taxonomy,A1b,A2b,A3b,A4b,A5b,A6b,A7b,A8b,A9b,A10b,A11b,A12b,A13b,A14b,A15b,A16b,B1b,B2b,B3b,B4b,B5b,B6b,B7b,B8b,B9b,B10b,B11b,B12b,B13b,B14b,B15b,B16b,C1b,C2b,C3b,C4b,C5b,C6b,C7b,C8b,C9b,C10b,C11b,C12b,C13b,C14b,C15b,C16b,D1b,D2b,D3b,D4b,D5b,D6b,D7b,D8b,D9b,D10b,D11b,D12b,D13b,D14b,D15b,D16b,E1b,E2b,E3b,E4b,E5b,E6b,E7b,E8b,E9b,E10b,E11b,E12b,E13b,E14b,E15b,E16b,F1b,F2b,F3b,F4b,F5b,F6b,F7b,F8b,F9b,F10b,F11b,F12b,F13b,F14b,F15b,F16b,Tax_detail
Nitrososphaerales,0.057154077,0.072111952,0.07007711,0.079251749,0.045444809,0.099314579,0.136762816,0.096601457,0.132835927,0.090318435,0.115878909,0.168713409,0.133264315,0.095637584,0.095601885,0.062437527,0.034199629,0.059724404,0.097958018,0.089533057,0.092567471,0.116949879,0.109310296,0.180672569,0.099742967,0.081500785,0.138440668,0.108989005,0.120519777,0.10317007,0.069077538,0.1549336,0.045016422,0.048657718,0.095030701,0.108739112,0.115700414,0.09578038,0.080108525,0.057832358,0.085284878,0.073789804,0.080394117,0.141510781,0.105312009,0.107703841,0.06372269,0.059831501,0.080965301,0.065971726,0.112808796,0.084428102,0.066757104,0.115878909,0.02395402,0.099028988,0.153112952,0.218834785,0.211694988,0.094887905,0.073789804,0.034699415,0.076360131,0.047979437,0.03980437,0.080108525,0.065364844,0.130729687,0.09331715,0.108382122,0.116628588,0.110845352,0.138047979,0.160609739,0.097493931,0.128730544,0.082714551,0.095566186,0.068042268,0.050049979,0.081143796,0.060438384,0.092674568,0.064900757,0.051228045,0.070327003,0.105776096,0.082250464,0.076538626,0.094138226,0.073504212,0.102384692,0.058474939,0.034985006,0.047051264,0.035020705,k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;
Vicinamibacterales,0.117449664,0.089640154,0.077609596,0.072576039,0.062223333,0.091496501,0.102420391,0.079144652,0.025560474,0.072361845,0.079715836,0.063972583,0.081607882,0.101599315,0.101242325,0.02252606,0.018206483,0.04294588,0.126517207,0.061152363,0.112237612,0.084106811,0.060331287,0.034877909,0.079037555,0.062116236,0.064972155,0.078252178,0.071219477,0.057689562,0.05740397,0.071754962,0.068506354,0.062116236,0.161894902,0.076181636,0.056404398,0.060045695,0.052299015,0.030094245,0.069970013,0.061080965,0.086819934,0.188704841,0.034271027,0.058974725,0.082714551,0.139511638,0.154790804,0.105312009,0.106918464,0.071362273,0.068399257,0.083357133,0.041696416,0.170569756,0.119698701,0.102206197,0.110952449,0.086248751,0.108632015,0.038233614,0.084713694,0.045730401,0.030201342,0.092674568,0.135192061,0.093888334,0.172711695,0.110381265,0.166500071,0.081393688,0.111166643,0.106168785,0.111737827,0.101742111,0.136120234,0.135049265,0.144402399,0.09752963,0.191989148,0.131193774,0.129515922,0.132086249,0.100385549,0.114665144,0.090532629,0.0880337,0.094638012,0.110952449,0.089033271,0.102991575,0.074111095,0.070398401,0.077645295,0.071612166,k__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;
Flavobacteriales,0.000142796,7.14E-05,3.57E-05,0,0,0.000178495,0,0.000249893,0.000142796,0.000856776,0,0.000178495,0.000214194,0,0.000178495,0.000321291,0.000142796,0.000107097,0.000142796,0.000214194,0.000249893,0.000178495,0.000142796,3.57E-05,3.57E-05,0.000107097,0.000285592,0.000428388,0.000464087,0.00071398,0.000285592,0.000178495,0.000285592,0.00071398,0.000142796,7.14E-05,0.000107097,0,3.57E-05,0.001249465,0.000142796,7.14E-05,0.000142796,7.14E-05,0.000142796,0.000142796,0.000107097,0.000142796,0.000178495,0.002784521,0.000142796,0,0,0,7.14E-05,0.000107097,0.000392689,7.14E-05,7.14E-05,7.14E-05,0,0.00071398,7.14E-05,0.00035699,0.001356561,0.001178067,7.14E-05,0.000107097,7.14E-05,0.000499786,0.000178495,0.000928174,0.000285592,0.000142796,0.000392689,0.000142796,0.000285592,0.002784521,0.000142796,0.042303299,0.001285164,0.009781522,0.000999572,0.002891618,0.002534628,0.003962587,0.006711409,0.003248608,0.173782665,0.000642582,0.002891618,0.003034414,0.007996573,0.001356561,0.003712695,0.002927317,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;
Bacillales,0.051549336,0.073896901,0.04048265,0.044552335,0.04540911,0.061188062,0.101242325,0.079822933,0.065329145,0.110309867,0.068577752,0.073861202,0.055547622,0.063472797,0.062366129,0.085284878,0.143724118,0.153791232,0.05951021,0.119091818,0.06864915,0.093424247,0.113915465,0.120626874,0.071754962,0.12358989,0.084321005,0.093459946,0.063508496,0.078252178,0.11512923,0.076931315,0.066685706,0.08557047,0.051477938,0.088926174,0.090889619,0.074753677,0.055047837,0.104490932,0.05740397,0.067756676,0.05668999,0.047229759,0.081607882,0.098921891,0.060438384,0.04191061,0.047443953,0.061937741,0.049228902,0.098207911,0.0774668,0.08310724,0.07146937,0.083892617,0.051620734,0.067363987,0.045551906,0.06725689,0.057082679,0.087926603,0.056154505,0.083142939,0.101813508,0.168106526,0.045516207,0.078002285,0.057439669,0.08767671,0.042446095,0.103776953,0.073361417,0.072076253,0.069898615,0.081429387,0.049764387,0.056404398,0.054797944,0.065793231,0.050157076,0.082928745,0.044123947,0.062580323,0.066614308,0.078323576,0.060402685,0.092317578,0.048157932,0.046372983,0.064186777,0.074360988,0.046622876,0.038412109,0.059902899,0.065293446,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;
Solirubrobacterales,0.121269456,0.144116807,0.138904755,0.145723261,0.134835071,0.103919749,0.082536056,0.079144652,0.082643153,0.075681851,0.085320577,0.083642725,0.093388548,0.093745538,0.095459089,0.126695702,0.131979152,0.104205341,0.0774668,0.085891761,0.074575182,0.06797087,0.091318007,0.083642725,0.094673711,0.087212623,0.092496073,0.076431529,0.09752963,0.088783379,0.099314579,0.099421676,0.108239326,0.11230901,0.071290875,0.084785092,0.093210053,0.11445095,0.138333571,0.113558475,0.10773954,0.093495645,0.093138655,0.057439669,0.10034985,0.095494788,0.10527631,0.090639726,0.074503784,0.080572612,0.073861202,0.09999286,0.118020848,0.090675425,0.125910324,0.066364415,0.068970441,0.062044838,0.065686135,0.088819078,0.105668999,0.135477652,0.115700414,0.111059546,0.130658289,0.09824361,0.080608311,0.095173497,0.089604455,0.083071541,0.079644438,0.086391546,0.089997144,0.083607026,0.09224618,0.084927888,0.083999714,0.086534342,0.102848779,0.090782522,0.09717264,0.090389833,0.095459089,0.109060403,0.089997144,0.086784235,0.10352706,0.094423818,0.06268742,0.114986434,0.105740397,0.082785949,0.142653149,0.107525346,0.102277595,0.116771384,k__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;
Gaiellales,0.102920177,0.093959732,0.132871626,0.121733543,0.139511638,0.089890047,0.068006569,0.08028702,0.092174782,0.067363987,0.081893474,0.081750678,0.087748108,0.089104669,0.077038412,0.111487934,0.124875054,0.072754534,0.089497358,0.081215193,0.079180351,0.073896901,0.081286591,0.084249607,0.096065972,0.080251321,0.083714123,0.072718835,0.084106811,0.085606169,0.080822505,0.088569185,0.094816507,0.08557047,0.080072826,0.073040126,0.070826789,0.085820363,0.121697844,0.10952449,0.1091675,0.091389405,0.084677995,0.047122662,0.084035413,0.083856918,0.087284021,0.084892189,0.071969156,0.058617735,0.078930458,0.083142939,0.097743824,0.082678852,0.117699557,0.059438812,0.068613451,0.055333429,0.062973012,0.080144224,0.091139512,0.115736113,0.087962302,0.096958446,0.116949879,0.068470655,0.077609596,0.066507211,0.068292161,0.071790661,0.070398401,0.074896473,0.077609596,0.06515065,0.079465943,0.06725689,0.081286591,0.077288305,0.081714979,0.079180351,0.08485649,0.059795802,0.091567899,0.087391118,0.075431958,0.09895759,0.097565329,0.083357133,0.067685278,0.100778238,0.091853491,0.071754962,0.106525775,0.106668571,0.085784664,0.104133943,k__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;
Rhizobiales,0.038269313,0.033878338,0.050549764,0.043517064,0.058332143,0.055047837,0.052798801,0.059688705,0.057725261,0.056868485,0.057296873,0.048871912,0.049443096,0.051192346,0.043731258,0.066507211,0.064829359,0.05315579,0.049978581,0.056011709,0.048157932,0.057903756,0.058260745,0.053905469,0.061437955,0.058117949,0.057332572,0.066257318,0.052084821,0.060259889,0.052870198,0.044588034,0.056154505,0.058117949,0.050192775,0.054155362,0.065007854,0.045659003,0.054512352,0.071076681,0.074717978,0.065400543,0.064222476,0.044695131,0.057011281,0.060688276,0.048300728,0.040875339,0.046765672,0.051442239,0.054476653,0.050978152,0.050157076,0.043338569,0.056011709,0.04473083,0.049942882,0.048479223,0.053120091,0.060545481,0.038519206,0.073182922,0.04894331,0.072933029,0.082000571,0.049764387,0.043766957,0.045908896,0.040089961,0.056011709,0.048514922,0.057796659,0.0493003,0.050228474,0.055404827,0.053369984,0.031272312,0.042624589,0.038876196,0.049443096,0.035341996,0.037019849,0.048693417,0.029844352,0.051620734,0.052156219,0.061545052,0.06372269,0.04048265,0.0528345,0.059724404,0.043160074,0.041446523,0.060295588,0.048086534,0.052263316,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;
Micrococcales,0.023668428,0.023097244,0.024346709,0.025310581,0.028773383,0.026595745,0.019098958,0.027274025,0.017670998,0.030558332,0.01902756,0.020312723,0.019634442,0.021240897,0.017456804,0.024275311,0.023918321,0.040946737,0.017849493,0.026988434,0.01795659,0.019063259,0.019134657,0.020741111,0.016778523,0.04012566,0.015707554,0.022668856,0.018170784,0.048407825,0.02570327,0.02570327,0.048265029,0.042731686,0.016600029,0.022811652,0.025988862,0.022561759,0.021990575,0.033985435,0.022633157,0.03205769,0.018492075,0.01303013,0.02959446,0.025381979,0.023418535,0.021704984,0.023811224,0.061116664,0.022276167,0.041268028,0.030129944,0.027523918,0.020991004,0.019206055,0.020883907,0.022097672,0.01442239,0.036055976,0.020634014,0.023347137,0.020848208,0.023132943,0.018456376,0.022775953,0.013886906,0.020241325,0.017706697,0.021954876,0.014493788,0.027488219,0.017099814,0.018599172,0.020348422,0.018527774,0.021633586,0.024560902,0.016921319,0.029380266,0.013958304,0.031058118,0.018884764,0.017421105,0.020134228,0.026524347,0.020027131,0.030308439,0.026203056,0.017670998,0.020634014,0.022990147,0.033235756,0.017885192,0.022418963,0.023668428,k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;
Burkholderiales,0.020669713,0.022311866,0.029380266,0.027702413,0.017492503,0.041375125,0.029130373,0.033771241,0.030451235,0.030165643,0.031129516,0.024596601,0.025489076,0.026131658,0.022990147,0.034056833,0.032093389,0.023989719,0.025381979,0.029701556,0.023704127,0.028630587,0.022704555,0.023525632,0.030201342,0.029987148,0.025596173,0.018777667,0.026738541,0.025810367,0.026452949,0.021919177,0.029772954,0.038483507,0.024953591,0.0211338,0.021098101,0.019455947,0.024882193,0.023382836,0.027845209,0.034413823,0.032557475,0.021169499,0.028416393,0.030522633,0.025239183,0.022240468,0.025203484,0.031236613,0.029166072,0.025524775,0.02395402,0.028380694,0.041339426,0.026131658,0.027488219,0.029201771,0.027773811,0.033664144,0.027059832,0.046051692,0.028416393,0.041160931,0.051477938,0.024061117,0.023632729,0.027381122,0.021883479,0.034271027,0.026524347,0.029451664,0.027488219,0.027488219,0.02959446,0.030379837,0.024667999,0.031593603,0.025060688,0.04473083,0.024882193,0.042160503,0.03627017,0.035627588,0.034770813,0.041517921,0.04473083,0.042517493,0.056225903,0.038090818,0.044695131,0.040982436,0.037912323,0.041589319,0.044302442,0.047086963,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;
Rubrobacterales,0.034699415,0.032307582,0.018170784,0.0211338,0.027738112,0.010352706,0.013565615,0.013601314,0.01374411,0.010781094,0.020883907,0.017742396,0.027738112,0.029451664,0.048443524,0.013315722,0.007675282,0.023382836,0.021312295,0.020919606,0.029987148,0.015778952,0.021990575,0.01195916,0.012780237,0.010638298,0.014922176,0.020669713,0.033842639,0.019598743,0.025132086,0.024525203,0.017813794,0.024560902,0.021704984,0.026131658,0.030951021,0.016635728,0.016742825,0.014029702,0.019741539,0.014172498,0.018099386,0.017349707,0.027274025,0.019527345,0.030772526,0.030915322,0.039840069,0.036555762,0.023668428,0.023454234,0.0211338,0.018563473,0.015314865,0.016243039,0.012958732,0.012708839,0.014922176,0.017885192,0.037019849,0.009210338,0.025489076,0.011173783,0.007139797,0.025953163,0.048729116,0.040732543,0.028916179,0.018170784,0.021669285,0.018813366,0.015029273,0.016064544,0.02184778,0.019384549,0.054619449,0.030486934,0.038983293,0.021383693,0.0211338,0.02888048,0.030486934,0.044088248,0.035449093,0.01160217,0.014565186,0.011709267,0.00738969,0.014243895,0.019634442,0.028594888,0.024239612,0.017885192,0.025096387,0.017563901,k__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;
Propionibacteriales,0.033557047,0.017635299,0.03837641,0.038233614,0.040768242,0.031557904,0.025631872,0.024560902,0.024882193,0.031843496,0.027166928,0.027738112,0.025667571,0.025239183,0.025560474,0.046765672,0.032950164,0.036484364,0.026381551,0.028023704,0.024810795,0.023061545,0.022311866,0.021526489,0.023489933,0.030879623,0.024132515,0.025881765,0.026524347,0.0351992,0.035163501,0.027202627,0.041660717,0.03909039,0.022204769,0.030379837,0.030022847,0.023918321,0.025846066,0.028559189,0.034449522,0.031093817,0.026381551,0.021169499,0.034271027,0.028416393,0.040768242,0.032414679,0.02852349,0.046872769,0.030772526,0.040018563,0.043195773,0.034021134,0.038804798,0.026095959,0.024775096,0.025060688,0.024025418,0.040946737,0.036341568,0.043731258,0.039625875,0.054298158,0.040446951,0.029130373,0.025274882,0.044445238,0.032093389,0.032914465,0.021276596,0.027024133,0.028273597,0.027345423,0.026131658,0.03134371,0.039375982,0.031629302,0.033985435,0.037055548,0.02395402,0.036341568,0.025560474,0.026095959,0.030415536,0.026952735,0.025560474,0.035734685,0.023739826,0.028416393,0.032164787,0.030379837,0.037126946,0.027916607,0.029737255,0.024239612,k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;
Tistrellales,0.021383693,0.019598743,0.028701985,0.020562616,0.022990147,0.020384121,0.027238326,0.032021991,0.036448665,0.028701985,0.033164358,0.033914037,0.03027274,0.028416393,0.024703698,0.029308868,0.034985006,0.024775096,0.025881765,0.031736399,0.035449093,0.032807368,0.038340711,0.028416393,0.03309296,0.02709553,0.034877909,0.028594888,0.034092532,0.035877481,0.030951021,0.02184778,0.030129944,0.02677424,0.027952306,0.034949307,0.032807368,0.015743253,0.024953591,0.031843496,0.029772954,0.037555333,0.037198344,0.030594031,0.043552763,0.033664144,0.035806083,0.020027131,0.028773383,0.027666714,0.036769956,0.03098672,0.033628445,0.023347137,0.051549336,0.023989719,0.033557047,0.029737255,0.035056404,0.040875339,0.030665429,0.037162645,0.034592318,0.043052977,0.037269742,0.019170356,0.026631444,0.026738541,0.023489933,0.027916607,0.027773811,0.023811224,0.029023276,0.02677424,0.030308439,0.03698415,0.022383264,0.023632729,0.025738969,0.022811652,0.019848636,0.018384978,0.022097672,0.017778095,0.031950593,0.022704555,0.031236613,0.027880908,0.023561331,0.028951878,0.032557475,0.025846066,0.034556619,0.043267171,0.033307154,0.025489076,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Tistrellales;
