Taxonomy,A1b,A2b,A3b,A4b,A5b,A6b,A7b,A8b,A9b,A10b,A11b,A12b,A13b,A14b,A15b,A16b,B1b,B2b,B3b,B4b,B5b,B6b,B7b,B8b,B9b,B10b,B11b,B12b,B13b,B14b,B15b,B16b,C1b,C2b,C3b,C4b,C5b,C6b,C7b,C8b,C9b,C10b,C11b,C12b,C13b,C14b,C15b,C16b,D1b,D2b,D3b,D4b,D5b,D6b,D7b,D8b,D9b,D10b,D11b,D12b,D13b,D14b,D15b,D16b,E1b,E2b,E3b,E4b,E5b,E6b,E7b,E8b,E9b,E10b,E11b,E12b,E13b,E14b,E15b,E16b,F1b,F2b,F3b,F4b,F5b,F6b,F7b,F8b,F9b,F10b,F11b,F12b,F13b,F14b,F15b,F16b,Tax_detail
Sporosarcina_sp_AB_64,0.004283878,0.006140226,0.002748822,0.002891618,0.004533771,0.003784093,0.005854634,0.006283022,0.005533343,0.006961302,0.004533771,0.005818935,0.004426674,0.004033985,0.004033985,0.006247323,0.011923461,0.012351849,0.004355276,0.006283022,0.00456947,0.005212052,0.008246466,0.008567757,0.004962159,0.007818078,0.006140226,0.007104098,0.005176353,0.005711838,0.009353134,0.006140226,0.006711409,0.00738969,0.004033985,0.005319149,0.005461945,0.004141082,0.004855062,0.008567757,0.004390975,0.004962159,0.004747965,0.003712695,0.006390119,0.007211195,0.004533771,0.003712695,0.003819792,0.004533771,0.004033985,0.005461945,0.004533771,0.005533343,0.004390975,0.005676139,0.004426674,0.006532914,0.004355276,0.005212052,0.004426674,0.006247323,0.00421248,0.005854634,0.008032272,0.01160217,0.003284307,0.004747965,0.003284307,0.005390547,0.003034414,0.006889904,0.005569042,0.004426674,0.005533343,0.005783236,0.00456947,0.004248179,0.003748394,0.006961302,0.003676996,0.006747108,0.004069684,0.005354848,0.004533771,0.006247323,0.004283878,0.008889048,0.004033985,0.004819363,0.003641297,0.005319149,0.004712266,0.003427103,0.004105383,0.004890761,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Sporosarcina;s__Sporosarcina_sp_AB_64;
Acidobacteria_bacterium_SCN_69-37,0.002713123,0.002606026,0.002498929,0.002391832,0.00317721,0.003641297,0.003676996,0.003105812,0.002606026,0.003212909,0.002998715,0.001999143,0.002249036,0.003676996,0.002284735,0.00071398,0.000249893,0.000892475,0.00456947,0.001713551,0.003998286,0.002534628,0.002141939,0.001178067,0.002177638,0.002070541,0.001856347,0.003569899,0.002213337,0.002391832,0.000821077,0.002177638,0.001356561,0.001463658,0.005854634,0.002070541,0.001213766,0.00139226,0.001927745,0.001535056,0.002498929,0.002534628,0.003712695,0.009531629,0.001320862,0.002034842,0.002249036,0.006925603,0.004033985,0.00282022,0.002713123,0.001713551,0.001963444,0.00282022,0.001356561,0.007925175,0.005140654,0.003748394,0.004105383,0.00282022,0.002748822,0.000928174,0.00174925,0.001106669,0.001106669,0.002855919,0.003105812,0.001178067,0.006283022,0.003605598,0.007603884,0.002784521,0.00421248,0.004283878,0.003926888,0.002891618,0.004498072,0.004997858,0.00421248,0.003284307,0.007461088,0.006211624,0.004819363,0.004819363,0.003676996,0.003819792,0.00421248,0.003748394,0.002748822,0.004855062,0.002391832,0.003355705,0.002213337,0.002784521,0.002284735,0.002891618,k__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__unidentified_Vicinamibacterales;g__unidentified_Vicinamibacterales;s__Acidobacteria_bacterium_SCN_69-37;
actinobacterium_WWH12,0.005319149,0.004997858,0.0070327,0.007532486,0.007353991,0.005390547,0.004319577,0.004819363,0.005354848,0.005140654,0.004712266,0.005747537,0.003819792,0.004855062,0.003891189,0.00599743,0.006104527,0.004319577,0.004105383,0.004640868,0.004248179,0.005069256,0.004890761,0.004498072,0.006033129,0.006425818,0.004819363,0.005747537,0.004855062,0.004462373,0.003962587,0.005176353,0.004962159,0.005319149,0.004283878,0.004319577,0.003605598,0.005890333,0.007818078,0.006140226,0.007710981,0.006640011,0.004319577,0.003391404,0.003748394,0.004855062,0.004390975,0.005390547,0.003284307,0.003498501,0.003748394,0.003748394,0.005033557,0.005926032,0.006318721,0.003998286,0.004783664,0.004283878,0.003498501,0.006247323,0.00456947,0.007353991,0.00456947,0.005390547,0.006283022,0.0035342,0.003819792,0.004855062,0.003891189,0.005569042,0.004605169,0.005961731,0.005426246,0.00492646,0.005319149,0.005319149,0.003926888,0.005104955,0.004176781,0.004390975,0.00492646,0.003391404,0.004355276,0.005176353,0.004319577,0.00564044,0.006604312,0.00528345,0.004640868,0.006818506,0.006532914,0.004819363,0.006104527,0.00528345,0.003998286,0.005390547,k__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;s__actinobacterium_WWH12;
Singulisphaera_sp_WX23,0.001285164,0.003248608,0.000928174,0.001713551,0.001784949,0.001249465,0.001535056,0.000963873,0.00107097,0.000999572,0.00107097,0.000285592,0.00071398,0.001178067,0.001178067,0.000428388,0,0.001178067,0.001713551,0.000606883,0.001535056,0.000999572,0.000571184,0.000464087,0.000856776,0,0.000571184,0.002070541,0.001178067,0.000785378,0.001035271,0.000606883,0.000642582,0.001178067,0.001606454,0.001427959,0.001285164,0.000321291,0.000999572,0.000285592,0.000928174,0.00035699,0.001035271,0.003070113,0.000856776,0.001463658,0.001535056,0.003819792,0.00107097,0.001963444,0.002427531,0.002141939,0.00107097,0.000928174,0,0.002284735,0.00107097,0.002427531,0.001677852,0.002141939,0.003034414,0.000678281,0.003070113,0.000963873,0.000321291,0.001142368,0.001642153,0.00210624,0.003320006,0.001106669,0.002641725,0.001213766,0.000785378,0.001249465,0.000535485,0.001463658,0.002249036,0.001856347,0.002534628,0.001963444,0.003427103,0.004533771,0.001856347,0.002855919,0.001356561,0.001642153,0.00139226,0.000892475,0.000571184,0.000464087,0.001035271,0.002320434,0.001927745,0.000856776,0.001820648,0.000535485,k__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;g__unidentified_Isosphaeraceae;s__Singulisphaera_sp_WX23;
Gaiella_sp_EBR4-RS1,0.003427103,0.002677424,0.003320006,0.00317721,0.003676996,0.002034842,0.001499357,0.001999143,0.002070541,0.001927745,0.001535056,0.002356133,0.002606026,0.002570327,0.00246323,0.003070113,0.003105812,0.001963444,0.002534628,0.001927745,0.001927745,0.001535056,0.00210624,0.002213337,0.002998715,0.002249036,0.002855919,0.001963444,0.00174925,0.001963444,0.002356133,0.002177638,0.001784949,0.002641725,0.002177638,0.001784949,0.001535056,0.002141939,0.003819792,0.002534628,0.003105812,0.002606026,0.003034414,0.00071398,0.002213337,0.002141939,0.002677424,0.002141939,0.001463658,0.001463658,0.002177638,0.001499357,0.002177638,0.00210624,0.002606026,0.001427959,0.001856347,0.001784949,0.001249465,0.001035271,0.001713551,0.002320434,0.001927745,0.001499357,0.002249036,0.001570755,0.001784949,0.001106669,0.001427959,0.001606454,0.001892046,0.00210624,0.002320434,0.001285164,0.001713551,0.001463658,0.002284735,0.001963444,0.001927745,0.001570755,0.002141939,0.001356561,0.002391832,0.002070541,0.001463658,0.002177638,0.002677424,0.002356133,0.001463658,0.002391832,0.002034842,0.001677852,0.002927317,0.003141511,0.002534628,0.002748822,k__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__unidentified_Gaiellales;g__unidentified_Gaiellales;s__Gaiella_sp_EBR4-RS1;
alpha_proteobacterium_LS7-MT,0.001784949,0.000856776,0.00210624,0.001784949,0.002034842,0.002213337,0.001927745,0.002249036,0.002141939,0.00174925,0.002249036,0.00246323,0.001499357,0.002034842,0.001213766,0.001784949,0.001820648,0.000963873,0.001535056,0.001570755,0.001427959,0.00210624,0.001142368,0.002427531,0.002713123,0.002320434,0.002141939,0.002498929,0.001142368,0.002249036,0.001249465,0.001356561,0.001249465,0.001178067,0.001642153,0.001427959,0.001892046,0.001606454,0.002249036,0.00246323,0.002213337,0.002498929,0.001963444,0.001499357,0.001463658,0.002034842,0.000999572,0.001213766,0.000678281,0.001142368,0.001285164,0.001142368,0.001178067,0.001178067,0.002034842,0.001249465,0.001463658,0.001713551,0.00139226,0.001427959,0.001142368,0.001963444,0.001106669,0.001820648,0.001999143,0.000749679,0.001249465,0.000892475,0.000892475,0.001999143,0.001677852,0.00174925,0.00139226,0.001927745,0.001142368,0.001535056,0.000785378,0.001285164,0.000821077,0.000999572,0.001356561,0.000571184,0.001677852,0.000749679,0.001463658,0.001963444,0.001927745,0.002748822,0.001320862,0.002141939,0.001606454,0.001142368,0.000928174,0.002570327,0.001713551,0.002034842,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__unidentified_Methyloligellaceae;s__alpha_proteobacterium_LS7-MT;
uncultivated_soil_bacterium_clone_C028,0.002391832,0.002177638,0.001677852,0.001320862,0.001356561,0.001892046,0.002034842,0.001642153,0.000285592,0.001213766,0.001249465,0.001106669,0.00107097,0.000963873,0.001927745,0.000428388,0.000606883,0.000678281,0.001106669,0.00107097,0.001642153,0.001427959,0.001213766,0.000642582,0.000963873,0.001499357,0.00071398,0.00107097,0.000999572,0.000749679,0.000928174,0.001106669,0.001249465,0.000999572,0.002070541,0.001642153,0.000892475,0.001285164,0.001606454,0.000499786,0.001106669,0.000642582,0.001106669,0.001213766,0.000464087,0.001142368,0.001285164,0.001642153,0.002534628,0.00174925,0.00071398,0.001142368,0.001142368,0.001677852,0.001178067,0.001856347,0.002391832,0.002606026,0.00139226,0.001178067,0.001320862,0.000606883,0.001320862,0.000642582,0.000606883,0.001677852,0.00107097,0.001463658,0.001285164,0.001677852,0.001535056,0.001570755,0.000999572,0.002356133,0.001677852,0.001106669,0.002070541,0.00174925,0.001642153,0.001499357,0.001642153,0.001999143,0.001178067,0.002391832,0.001463658,0.001356561,0.001499357,0.001142368,0.00174925,0.000963873,0.001427959,0.00107097,0.001213766,0.001356561,0.001249465,0.000963873,k__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__unidentified_Vicinamibacterales;g__unidentified_Vicinamibacterales;s__uncultivated_soil_bacterium_clone_C028;
Luteitalea_pratensis,0.000999572,0.001178067,0.000749679,0.000785378,0.001213766,0.000535485,0.00139226,0,0.000392689,0.000678281,0.00107097,0.000606883,0.000821077,0.001463658,0.001213766,0.000749679,0.00035699,0.000963873,0.000892475,0.001213766,0.001106669,0.000749679,0.000642582,0.000464087,0.000892475,0.000856776,0.000678281,0.00107097,0.001178067,0.001035271,0.001249465,0.001178067,0.000606883,0.001213766,0.001178067,0.001606454,0.001106669,0.000749679,0.000678281,0,0.000785378,0.000571184,0.000535485,0.001463658,0.000892475,0.000642582,0.001285164,0.001570755,0.001285164,0.001285164,0.001178067,0.001035271,0.000749679,0.000892475,0,0.002070541,0.001535056,0.001035271,0.001142368,0.000785378,0.001535056,0.00071398,0.000999572,0.000856776,0.000642582,0.000999572,0.00139226,0.002034842,0.001927745,0.000856776,0.001535056,0.001499357,0.000785378,0.000642582,0.001285164,0.000928174,0.001570755,0.001249465,0.001784949,0.001892046,0.001820648,0.002498929,0.001106669,0.001178067,0.001035271,0.000821077,0.000892475,0.001535056,0.000571184,0.001570755,0.001285164,0.001213766,0.001285164,0.000821077,0.001356561,0.000999572,k__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Luteitalea;s__Luteitalea_pratensis;
Gemmatimonadetes_bacterium_LP81,0.001106669,0.001106669,0.00139226,0.000785378,0.001499357,0.001427959,0.000999572,0.001642153,0.001570755,0.001142368,0.00107097,0.001213766,0.000963873,0.001320862,0.000571184,0.000892475,0.001713551,0.000642582,0.001178067,0.001106669,0.001249465,0.001856347,0.001570755,0.001463658,0.001606454,0.001535056,0.001427959,0.001927745,0.001035271,0.001320862,0.000892475,0.000785378,0.001463658,0.00107097,0.001035271,0.001285164,0.001856347,0.001606454,0.001499357,0.001535056,0.001677852,0.002141939,0.001784949,0.000785378,0.001320862,0.001535056,0.000606883,0.001035271,0.000821077,0.000606883,0.001320862,0.001427959,0.001535056,0.001713551,0.002320434,0.001142368,0.001535056,0.001463658,0.001213766,0.001320862,0.000963873,0.001320862,0.000749679,0.001035271,0.000606883,0.000321291,0.001677852,0.001142368,0.000678281,0.001142368,0.001213766,0.001499357,0.001249465,0.000606883,0.001249465,0.000892475,0.000606883,0.000535485,0.000642582,0.000499786,0.000499786,0.000571184,0.00107097,0.000785378,0.001249465,0.001499357,0.001427959,0.001356561,0.000892475,0.001285164,0.001178067,0.001285164,0.000999572,0.002391832,0.001142368,0.001285164,k__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__unidentified_Gemmatimonadaceae;s__Gemmatimonadetes_bacterium_LP81;
bacterium_WX65,0.000535485,0.000606883,0.000392689,0.000499786,0,0.000963873,0.000821077,0.00107097,0.000892475,0.001142368,0.00107097,0.000821077,0.000963873,0.000785378,0.001035271,0.000928174,0.001106669,0.000499786,0.000535485,0.00035699,0.001285164,0.001106669,0.000999572,0.000606883,0.00107097,0.000678281,0.000571184,0,0.000428388,0.00071398,0,0.000464087,0.001427959,0.000571184,0.000999572,0.000642582,0.000856776,0.002249036,0.001249465,0.000642582,0.001213766,0.001249465,0.00107097,0.000464087,0.000785378,0.000499786,0.000392689,0.000821077,0.000464087,0.000749679,0.000821077,0.000606883,0.000571184,0.00107097,0.000642582,0.000642582,0.00107097,0,0.000928174,0,0.000606883,0.000928174,0.00071398,0.000821077,0,0,0.000928174,0.000642582,0.000428388,0.000606883,0.000642582,0.000606883,0.000821077,0.000464087,0.000571184,0.000821077,0.000785378,0.000571184,0,0,0.000392689,0.00035699,0.000999572,0.000606883,0.000928174,0.00107097,0.00071398,0,0.000678281,0.000642582,0.000892475,0.000428388,0,0.001642153,0.001213766,0.000678281,k__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__WX65;g__unidentified_WX65;s__bacterium_WX65;
bacterium_enrichment_culture_clone_KIST-JJY169,0.000178495,0.000785378,0.000142796,0.000571184,0.000142796,0.000285592,0.000535485,0.000321291,0.000249893,0.000392689,0.000249893,3.57E-05,0.000535485,0.000285592,0.000321291,0.000214194,0.000178495,0.000214194,0.000499786,0.000214194,0,0.000178495,0,0,0.000178495,0.000249893,0,0.000249893,0.000178495,0.000285592,0.000642582,0.00035699,0.000214194,0.000428388,0.000785378,0.00035699,0.000178495,0.000321291,0,0.000214194,0.000321291,0.000285592,3.57E-05,0.000749679,0.000285592,0.000428388,0.000285592,0.001213766,0.00071398,0.000392689,0.000535485,0.000428388,0,0.000214194,0,0.00071398,0.000821077,0.000535485,0.000428388,0.000428388,0.000321291,0.000285592,0.000428388,0.000285592,0.000107097,0.00071398,0.00035699,0.000606883,0.000928174,0.000535485,0.00071398,0.000464087,0.000678281,0.000428388,0.000571184,0.000392689,0.000821077,0.000785378,0.000321291,0.000321291,0.001213766,0.001963444,0.000642582,0.000571184,0.000606883,0.000321291,0.00035699,0.000571184,0.000249893,0.000321291,0.000107097,0.000642582,0.000428388,0,0.00035699,0.000392689,k__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__Gemmata;s__bacterium_enrichment_culture_clone_KIST-JJY169;
Planctomycetaceae_bacterium_LX124,0.000571184,0.001427959,0.000178495,0,0.000214194,0.000249893,0.000392689,0.000428388,0.000464087,0.000321291,0.000214194,0.000321291,0.000249893,0.000321291,0.000785378,3.57E-05,0,0.000214194,0.000464087,0.000107097,0.000678281,0.000392689,0.000464087,0.000178495,0.000178495,0.000214194,0.000249893,0.000321291,3.57E-05,7.14E-05,0.000142796,0.000178495,0.000428388,0.000214194,0.000464087,0.000285592,0.000464087,0.001892046,0.000571184,0.000214194,7.14E-05,0.000178495,0.000142796,0.000178495,0.000249893,0.000178495,0.000142796,0.000856776,0.000499786,0.000499786,0.000249893,0.000214194,0.000178495,0.000285592,7.14E-05,0.000464087,0.000428388,0.000464087,0.000285592,0.000142796,0,0,0,0,0.000107097,0.000321291,0.000821077,0.00035699,0.000392689,0.000535485,0.000571184,0.000392689,0.000285592,0.000963873,0.000249893,0.000321291,0.000428388,0.000606883,0.00035699,0.000249893,0.000392689,0.00071398,0.000535485,0.000785378,0.000856776,0.000535485,0.000214194,0.000499786,0.000214194,0.00035699,0.000392689,0.000606883,0.000499786,0,0.000499786,0.000214194,k__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Pir4_lineage;s__Planctomycetaceae_bacterium_LX124;
Planifilum_composti,0.000535485,0.00071398,0.000571184,0.000535485,0.000892475,0.00035699,0.000392689,0.00035699,0.000214194,0.000535485,0.000428388,0.000642582,0.000928174,0.000642582,0.000785378,0.00174925,0.00071398,0.000571184,0.00035699,0,0.000249893,0.000214194,0.000107097,0.000428388,0.000606883,0.000606883,0.000428388,0.000535485,0.000321291,0.000392689,0.000606883,0.00071398,0.000571184,0.000214194,0.000285592,7.14E-05,0.000178495,0.000606883,0.000571184,0.000392689,0.000321291,0.000535485,0.000178495,0.000142796,0.000392689,0.000285592,0.000856776,0.000963873,0,0,0.000214194,0.000142796,0.000428388,0.00035699,0,0,0.000142796,0.000249893,0.000142796,0.000107097,0.000678281,0.000821077,0.000535485,0.000571184,0.000285592,0.000178495,0.000107097,0.000285592,3.57E-05,0.000321291,0.000142796,0.000142796,0.000321291,0.000285592,0.000285592,0.000142796,0.000249893,0.000321291,0.000642582,0.000392689,0.000464087,0.000178495,0.000214194,0.000178495,0.000214194,0.000285592,0.000606883,0,0.000214194,0.000499786,0.000606883,0.000392689,0.000571184,0.000571184,0.000963873,0.000821077,k__Bacteria;p__Firmicutes;c__Bacilli;o__Thermoactinomycetales;f__Thermoactinomycetaceae;g__Planifilum;s__Planifilum_composti;
Acidobacteria_bacterium_WX27,0.000999572,0.000214194,0.000928174,0.000856776,0,0.000963873,0.000785378,0.000678281,7.14E-05,0.000464087,0.001142368,0.000392689,0.000749679,0,0.000785378,0.00035699,0,0,0.001213766,0.000464087,0.00035699,0.000785378,0,0,0,7.14E-05,0.000642582,0.000642582,0.000749679,7.14E-05,0,0,0,0.00107097,0.001427959,0.000678281,0.000606883,0.000928174,0.000749679,0,0.000856776,0.00071398,0,0.001499357,0,0.000499786,0.000606883,0.000178495,0.001642153,0.001106669,0.000749679,0.000821077,0.000999572,7.14E-05,0,0.000107097,0.000642582,0.00139226,0.00071398,0,0.000963873,0.000821077,0,0.000749679,0.000214194,0.001642153,0.001642153,0.000107097,0.000892475,0.001320862,0.001035271,0.000856776,0.001320862,0.000999572,0.001142368,0.000214194,0.00035699,0.000749679,0,0.000999572,0,0.000892475,0.001106669,0.001320862,0.00107097,0.00071398,0,0.00071398,0.000285592,0.000178495,7.14E-05,0.001320862,0,0.000892475,0.000963873,0.000535485,k__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__unidentified_Vicinamibacterales;g__unidentified_Vicinamibacterales;s__Acidobacteria_bacterium_WX27;
