Taxonomy,A1b,A2b,A3b,A4b,A5b,A6b,A7b,A8b,A9b,A10b,A11b,A12b,A13b,A14b,A15b,A16b,B1b,B2b,B3b,B4b,B5b,B6b,B7b,B8b,B9b,B10b,B11b,B12b,B13b,B14b,B15b,B16b,C1b,C2b,C3b,C4b,C5b,C6b,C7b,C8b,C9b,C10b,C11b,C12b,C13b,C14b,C15b,C16b,D1b,D2b,D3b,D4b,D5b,D6b,D7b,D8b,D9b,D10b,D11b,D12b,D13b,D14b,D15b,D16b,E1b,E2b,E3b,E4b,E5b,E6b,E7b,E8b,E9b,E10b,E11b,E12b,E13b,E14b,E15b,E16b,F1b,F2b,F3b,F4b,F5b,F6b,F7b,F8b,F9b,F10b,F11b,F12b,F13b,F14b,F15b,F16b,Tax_detail
Nitrososphaeraceae,0.057118378,0.072290447,0.070041411,0.079251749,0.045373411,0.099314579,0.136798515,0.096779951,0.133014422,0.090247037,0.115771812,0.169070398,0.133264315,0.095816079,0.095744681,0.062544624,0.03416393,0.059760103,0.097993717,0.089390261,0.092424675,0.117021277,0.109131801,0.180851064,0.099600171,0.081357989,0.138262173,0.109274597,0.12041268,0.103312866,0.069113237,0.1549336,0.045159217,0.048657718,0.095137798,0.108632015,0.115736113,0.095708982,0.080144224,0.057832358,0.085142082,0.073754105,0.080429816,0.141367985,0.1056333,0.107632443,0.063472797,0.059688705,0.080822505,0.066078823,0.113094388,0.084428102,0.066471512,0.116021705,0.023704127,0.098814794,0.153148651,0.218727688,0.211659289,0.094995002,0.073539911,0.034556619,0.076217335,0.047765243,0.039840069,0.080144224,0.065364844,0.130908182,0.093281451,0.108667714,0.116628588,0.110845352,0.138155076,0.160681137,0.097065543,0.128587748,0.08275025,0.095923176,0.068220763,0.049942882,0.081215193,0.060795373,0.092460374,0.06479366,0.051085249,0.070505498,0.105811795,0.082464658,0.076431529,0.094173925,0.073682707,0.10245609,0.05879623,0.034949307,0.04683707,0.035020705,k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;
Flavobacteriaceae,3.57E-05,0,3.57E-05,0,0,0.000214194,0,0.000249893,0.000107097,0.000928174,0,0.000178495,0.000214194,0,0.000142796,0.000321291,7.14E-05,7.14E-05,7.14E-05,0.000214194,7.14E-05,0.000249893,0.000142796,0,3.57E-05,7.14E-05,0.000178495,0.000464087,0.000428388,0.000606883,0.000285592,0.000142796,7.14E-05,0.000499786,3.57E-05,0.000107097,0,0,0,0.00139226,0.000178495,7.14E-05,0.000214194,0.000107097,7.14E-05,0.000142796,7.14E-05,7.14E-05,0.000249893,0.002391832,0.000142796,0,0,0,0.000142796,0.000107097,0.000142796,3.57E-05,7.14E-05,7.14E-05,0,0.000499786,7.14E-05,0.000392689,0.001285164,0.001249465,7.14E-05,3.57E-05,7.14E-05,0.000499786,0.000214194,0.000642582,0.000249893,0.000107097,0.00035699,0.000107097,0.000285592,0.002784521,0.000142796,0.041982008,0.001285164,0.00985292,0.001035271,0.002677424,0.002356133,0.003641297,0.006925603,0.003284307,0.173925461,0.000499786,0.002855919,0.002927317,0.007710981,0.001249465,0.003641297,0.002891618,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;
Bacillaceae,0.029880051,0.040768242,0.022276167,0.026024561,0.028273597,0.034556619,0.058831929,0.04437384,0.037733828,0.062294731,0.042374697,0.045730401,0.033307154,0.038626303,0.038197915,0.049621591,0.093638441,0.090389833,0.032985863,0.073361417,0.040446951,0.050728259,0.065400543,0.069898615,0.045230615,0.069970013,0.049621591,0.055868913,0.036698558,0.045230615,0.069862916,0.046265886,0.039875768,0.050835356,0.025988862,0.052156219,0.057868057,0.033164358,0.031415108,0.056154505,0.034306726,0.039840069,0.031486506,0.027274025,0.042410396,0.059545909,0.037019849,0.024525203,0.025132086,0.034628017,0.025596173,0.054083964,0.045337712,0.045587605,0.044766529,0.044088248,0.030843924,0.038983293,0.02570327,0.04083964,0.033271455,0.058010852,0.032521776,0.050264172,0.055333429,0.095887477,0.025560474,0.043017278,0.035591889,0.051335142,0.025167785,0.060581179,0.043445666,0.039126089,0.040375553,0.048979009,0.029523062,0.034592318,0.033307154,0.034378124,0.028309296,0.049764387,0.023989719,0.034735114,0.039233186,0.044445238,0.037162645,0.050049979,0.02852349,0.025810367,0.036591461,0.042053406,0.025988862,0.02288305,0.038090818,0.037876624,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;
Vicinamibacteraceae,0.052656005,0.041696416,0.035591889,0.032914465,0.029630159,0.038804798,0.045551906,0.036305869,0.010352706,0.033735542,0.03698415,0.030808225,0.040518349,0.046587177,0.050157076,0.011852063,0.009388833,0.020491218,0.05776096,0.029523062,0.051085249,0.040803941,0.028559189,0.017135513,0.037876624,0.030129944,0.031165215,0.035948879,0.035056404,0.028380694,0.028594888,0.035163501,0.032700271,0.030237041,0.071897758,0.036662859,0.027274025,0.02888048,0.02498929,0.015350564,0.033699843,0.029094674,0.039375982,0.07675282,0.017206911,0.026631444,0.039126089,0.063651292,0.067899472,0.050514065,0.049585892,0.031914894,0.031593603,0.037983721,0.0211338,0.076681422,0.052691704,0.043195773,0.04755105,0.037376838,0.053298586,0.018884764,0.038947594,0.022490361,0.013851207,0.037948022,0.064543767,0.041982008,0.072754534,0.050371269,0.071576467,0.039625875,0.04755105,0.044516636,0.049585892,0.045444809,0.062937313,0.063829787,0.067756676,0.047122662,0.078894759,0.055868913,0.055868913,0.054655148,0.047908039,0.050514065,0.038697701,0.040625446,0.042053406,0.048729116,0.039018992,0.046944167,0.033699843,0.035234899,0.038590604,0.036234471,k__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;
67-14,0.040554048,0.045444809,0.051692132,0.04822933,0.055369128,0.041018135,0.029630159,0.032878766,0.034056833,0.029808653,0.036020277,0.033664144,0.035841782,0.032771669,0.030665429,0.040625446,0.041089533,0.031557904,0.028844781,0.030165643,0.028023704,0.027416821,0.032593174,0.032985863,0.040339854,0.035377695,0.038840497,0.034628017,0.036948451,0.030415536,0.033164358,0.031379409,0.035413394,0.034949307,0.025024989,0.027988005,0.03484221,0.033485649,0.056047408,0.048122233,0.044909325,0.039554477,0.0422676,0.019777238,0.032164787,0.036662859,0.037269742,0.030736827,0.020848208,0.023168642,0.023989719,0.029630159,0.042517493,0.032664572,0.04822933,0.024703698,0.025631872,0.020955305,0.025846066,0.028487791,0.036841354,0.045302013,0.036127374,0.031236613,0.040803941,0.027595316,0.025738969,0.026809939,0.027559617,0.029344567,0.030237041,0.031200914,0.033521348,0.026381551,0.032093389,0.027131229,0.024882193,0.029523062,0.027559617,0.02498929,0.031236613,0.024382408,0.031593603,0.033021562,0.028701985,0.032343281,0.039304584,0.031950593,0.025881765,0.04822933,0.038126517,0.028594888,0.04719406,0.041982008,0.033414251,0.039304584,k__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__67-14;
Rubrobacteriaceae,0.034556619,0.032271883,0.01795659,0.021383693,0.027845209,0.010459803,0.013351421,0.013565615,0.013672712,0.010745395,0.020991004,0.017778095,0.027845209,0.029558761,0.048336427,0.013172926,0.007675282,0.023489933,0.021347994,0.021026703,0.029987148,0.015886049,0.021990575,0.01195916,0.012601742,0.010424104,0.01477938,0.020598315,0.033985435,0.019812937,0.024953591,0.024560902,0.017742396,0.024489504,0.021669285,0.026095959,0.031093817,0.016635728,0.016921319,0.013886906,0.019634442,0.0141011,0.018170784,0.017314008,0.027309724,0.019741539,0.030736827,0.030843924,0.039875768,0.036448665,0.023668428,0.023418535,0.021062402,0.018492075,0.015314865,0.01620734,0.012923033,0.01267314,0.014922176,0.018063687,0.037091247,0.00913894,0.025381979,0.01128088,0.007318292,0.025810367,0.048907611,0.040803941,0.028987577,0.018099386,0.02184778,0.018884764,0.014993574,0.016100243,0.021990575,0.01934885,0.054548051,0.030558332,0.038983293,0.021240897,0.021169499,0.028916179,0.030558332,0.043981151,0.035449093,0.011744966,0.014707982,0.011816364,0.007282593,0.014279594,0.019563044,0.02852349,0.024453806,0.017885192,0.025203484,0.017670998,k__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteriaceae;
Solirubrobacteraceae,0.043517064,0.051870627,0.049050407,0.052870198,0.039875768,0.033271455,0.029130373,0.02395402,0.025381979,0.023811224,0.025489076,0.026238755,0.030665429,0.033557047,0.034378124,0.048443524,0.049264601,0.039982864,0.026381551,0.028309296,0.024846494,0.020241325,0.032021991,0.028023704,0.029451664,0.027523918,0.027488219,0.019455947,0.032164787,0.03237898,0.036377267,0.033949736,0.042231901,0.043874054,0.024739397,0.032343281,0.033200057,0.05351278,0.047158361,0.035127802,0.033521348,0.028666286,0.024917892,0.017456804,0.038162216,0.032164787,0.033949736,0.033057261,0.030344138,0.032271883,0.028237898,0.037483935,0.043695559,0.031308011,0.041375125,0.022918749,0.023632729,0.021169499,0.019563044,0.032914465,0.037055548,0.046729973,0.043124375,0.042446095,0.049907183,0.037840925,0.030736827,0.034735114,0.032985863,0.027559617,0.026452949,0.02959446,0.029665857,0.032414679,0.033128659,0.030843924,0.030201342,0.031308011,0.040304155,0.036841354,0.037055548,0.036305869,0.034092532,0.041874911,0.035377695,0.027916607,0.033985435,0.032521776,0.019455947,0.034413823,0.037733828,0.029808653,0.051727831,0.033164358,0.037126946,0.041446523,k__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;
Gaiellaceae,0.039018992,0.036698558,0.050406968,0.050656861,0.052798801,0.035484792,0.026667143,0.030022847,0.035877481,0.028701985,0.031986292,0.032414679,0.03273597,0.033985435,0.027988005,0.04401685,0.048122233,0.028237898,0.032164787,0.031308011,0.030665429,0.030665429,0.031950593,0.031200914,0.037698129,0.03484221,0.03205769,0.030451235,0.031272312,0.033878338,0.032985863,0.037198344,0.035770384,0.036948451,0.031058118,0.028594888,0.02923747,0.03766243,0.046979866,0.043088676,0.046801371,0.038947594,0.031807797,0.020669713,0.030701128,0.032950164,0.035341996,0.035841782,0.028452092,0.023632729,0.029808653,0.031914894,0.037840925,0.03380694,0.047158361,0.025024989,0.028202199,0.025988862,0.02570327,0.032771669,0.036127374,0.04508782,0.035127802,0.039911467,0.046372983,0.029201771,0.028023704,0.028594888,0.026381551,0.031879195,0.028452092,0.030879623,0.031629302,0.029665857,0.033664144,0.031914894,0.034092532,0.031522205,0.031879195,0.033699843,0.031914894,0.025738969,0.033735542,0.036305869,0.029130373,0.039233186,0.039304584,0.03380694,0.02677424,0.04048265,0.038983293,0.028951878,0.042446095,0.0387334,0.033521348,0.04012566,k__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;
Geminicoccaceae,0.021419392,0.019741539,0.028559189,0.020384121,0.023132943,0.020526917,0.027631015,0.031736399,0.036234471,0.029094674,0.033128659,0.033628445,0.030165643,0.028202199,0.024525203,0.029201771,0.034735114,0.024489504,0.025881765,0.031415108,0.035663287,0.033021562,0.038055119,0.028487791,0.032985863,0.026809939,0.035449093,0.028416393,0.034306726,0.035449093,0.030843924,0.021954876,0.030022847,0.026809939,0.027738112,0.034592318,0.03309296,0.015671855,0.024882193,0.031557904,0.029523062,0.037519634,0.03734114,0.030308439,0.043338569,0.033735542,0.035984578,0.01970584,0.029166072,0.027631015,0.036484364,0.030951021,0.033985435,0.023525632,0.051549336,0.02395402,0.033485649,0.030237041,0.035306297,0.041089533,0.03062973,0.037448236,0.034485221,0.043338569,0.037126946,0.018920463,0.02641725,0.026560046,0.02324004,0.027952306,0.027381122,0.023882622,0.028951878,0.02709553,0.030415536,0.036912752,0.022597458,0.023525632,0.025774668,0.022918749,0.020277024,0.01795659,0.022240468,0.018170784,0.032236184,0.022383264,0.031022419,0.027880908,0.023382836,0.028773383,0.032307582,0.025881765,0.034913608,0.043231472,0.03309296,0.025274882,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Tistrellales;f__Geminicoccaceae;
Gemmataceae,0.019955733,0.021240897,0.011852063,0.016778523,0.012958732,0.01724261,0.021169499,0.015636156,0.024596601,0.013922605,0.015921748,0.011102385,0.017385406,0.021240897,0.02006283,0.005747537,0.003355705,0.010638298,0.019598743,0.013494217,0.020098529,0.016135942,0.012708839,0.005747537,0.014458089,0.009388833,0.01231615,0.015421962,0.016135942,0.010816793,0.013529916,0.016064544,0.013994003,0.01513637,0.035306297,0.019598743,0.011030987,0.009995716,0.008139369,0.005961731,0.014029702,0.008067971,0.017742396,0.045837498,0.008639155,0.011709267,0.02359703,0.04119663,0.025667571,0.019491646,0.01867057,0.016742825,0.012637441,0.015314865,0.006568613,0.031058118,0.023311438,0.018456376,0.019206055,0.014243895,0.026631444,0.006925603,0.023061545,0.007603884,0.005676139,0.01867057,0.024525203,0.017314008,0.037840925,0.019420248,0.033342853,0.012923033,0.020491218,0.022633157,0.020027131,0.02006283,0.028844781,0.02395402,0.025453377,0.017992289,0.036555762,0.039161788,0.026381551,0.024846494,0.021347994,0.022990147,0.016707126,0.014029702,0.015886049,0.025024989,0.016849921,0.021704984,0.016314437,0.015243467,0.019670141,0.019063259,k__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;
Micromonosporaceae,0.014529487,0.019384549,0.015029273,0.019170356,0.012423247,0.020134228,0.01374411,0.016457233,0.014743681,0.017064115,0.012458946,0.01231615,0.013315722,0.013458518,0.012958732,0.023382836,0.018527774,0.021633586,0.011637869,0.018099386,0.011245181,0.015243467,0.01442239,0.01338712,0.0141011,0.014636584,0.011923461,0.009246037,0.012887334,0.011852063,0.012744538,0.010602599,0.015743253,0.018277881,0.011459375,0.016742825,0.012744538,0.043052977,0.020348422,0.019063259,0.013244324,0.0211338,0.012851635,0.010959589,0.022383264,0.014208196,0.016171641,0.013958304,0.009924318,0.015886049,0.011816364,0.017528202,0.016135942,0.014136799,0.01867057,0.011887762,0.011209482,0.013065829,0.011495074,0.015529059,0.020562616,0.017849493,0.017314008,0.019170356,0.021312295,0.012030558,0.010638298,0.01620734,0.013137227,0.017171212,0.011994859,0.020634014,0.012566043,0.021347994,0.014743681,0.014172498,0.016385835,0.012994431,0.015172069,0.016814222,0.012066257,0.016278738,0.011209482,0.014600885,0.013101528,0.016385835,0.012744538,0.017635299,0.011923461,0.017563901,0.015100671,0.013494217,0.016778523,0.013137227,0.012280451,0.014600885,k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;
