#OTU_num,A2f,A7f,A11f,A14f,A3f,A6f,A10f,A15f,A1f,A8f,A9f,A16f,A4f,A5f,A12f,A13f,B2f,B7f,B11f,B14f,B3f,B6f,B10f,B15f,B1f,B8f,B9f,B16f,B4f,B5f,B12f,B13f,C2f,C7f,C11f,C14f,C3f,C6f,C10f,C15f,C1f,C8f,C9f,C16f,C4f,C5f,C12f,C13f,D2f,D7f,D11f,D14f,D3f,D6f,D10f,D15f,D1f,D8f,D9f,D16f,D4f,D5f,D12f,D13f,E2f,E7f,E11f,E14f,E3f,E6f,E10f,E15f,E1f,E8f,E9f,E16f,E4f,E5f,E12f,E13f,F2f,F7f,F11f,F14f,F3f,F6f,F10f,F15f,F1f,F8f,F9f,F16f,F4f,F5f,F12f,F13f,Taxonomy
ASV0,0.043864141,0.059225124,0.033154122,0.049112477,0.04813108,0.04744837,0.027735108,0.073946066,0.12322922,0.03187404,0.038487797,0.061401263,0.069593787,0.05807305,0.041901348,0.081925243,0.06306537,0.070020481,0.045485578,0.059182454,0.0354156,0.042029357,0.022998805,0.046979007,0.077444956,0.042626728,0.053208739,0.056280935,0.05734767,0.051587302,0.045229561,0.071769927,0.07014849,0.097243557,0.043693463,0.06583888,0.074159413,0.022828128,0.015616999,0.108081584,0.071983274,0.063108039,0.046424304,0.075311487,0.02265745,0.057817034,0.0708312,0.090843147,0.065924219,0.044674859,0.042029357,0.069081755,0.078298344,0.04885646,0.052013996,0.122717187,0.066308244,0.057859703,0.060761222,0.054744837,0.108166923,0.07791432,0.100699778,0.082735962,0.122589179,0.053678102,0.089008363,0.066393583,0.08358935,0.043352108,0.038786482,0.077615634,0.097926267,0.029484554,0.068953746,0.064772145,0.062980031,0.062766684,0.078511691,0.086149514,0.111708483,0.05662229,0.073007339,0.078853047,0.093744666,0.033794163,0.041944018,0.114439324,0.110300393,0.044333504,0.030209933,0.087514934,0.100614439,0.083119986,0.063406725,0.078469022,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium
ASV1,0.009856631,0.203405018,0.062809353,0.174560505,0.010752688,0.029313876,0.035671616,0.118876941,0.053635433,0.13317119,0.175413893,0.065924219,0.036781021,0.025004267,0.023126813,0.167264038,0.053038061,0.277223076,0.100785117,0.172043011,0.288573135,0.064089435,0.039767878,0.251621437,0.048259089,0.174773852,0.103089264,0.114780679,0.180662229,0.176224612,0.036268988,0.149172214,0.040663936,0.013227513,0.028844513,0.070617853,0.06583888,0.307945042,0.009600614,0.034263526,0.149086875,0.01839051,0.150964328,0.033111452,0.009088582,0.037037037,0.0197986,0.040322581,0.032300734,0.014336918,0.012331456,0.005760369,0.01911589,0.011222052,0.007296467,0.011776754,0.022614781,0.011179382,0.026455026,0.010752688,0.053934118,0.011222052,0.005205666,0.00708312,0.038018433,0.027052398,0.025729647,0.017921147,0.050819252,0.028503158,0.03042328,0.027351084,0.022828128,0.008576549,0.030337942,0.073306025,0.066350913,0.016001024,0.011862093,0.03754907,0.024492234,0.005291005,0.010283325,0.02265745,0.028929852,0.013355521,0.009685953,0.048557774,0.025217614,0.00422427,0.040962622,0.036012971,0.031575354,0.063918757,0.016811743,0.013910224,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_alpina
ASV2,0.00853388,0.067844342,0.068825738,0.023169483,0.08004779,0.212066906,0.151476361,0.009728623,0.007851169,0.079237071,0.171104284,0.008619218,0.041858679,0.107100188,0.205709165,0.008107186,0.016939751,0.073690049,0.085594811,0.023638846,0.028844513,0.24505035,0.15296979,0.003072197,0.005205666,0.069849804,0.163423792,0.007851169,0.013099505,0.05171531,0.157151391,0.009045912,0.012331456,0.070319167,0.060761222,0.02197474,0.026028332,0.098139614,0.076420891,0.010240655,0.002986858,0.08994709,0.133299198,0.014379587,0.005333675,0.031959379,0.104625363,0.005461683,0.00354156,0.066436252,0.025942994,0.026284349,0.017110428,0.206349206,0.063876088,0.005120328,0.001920123,0.113841953,0.095152756,0.004693634,0.016342379,0.058115719,0.07509814,0.024278887,0.011392729,0.071940604,0.059438471,0.017878478,0.031532685,0.226403823,0.116487455,0.004181601,0.00426694,0.038786482,0.142046424,0.00285885,0.01839051,0.02338283,0.096176822,0.013099505,0.008448541,0.074500768,0.11687148,0.03682369,0.05666496,0.141107698,0.156468681,0.006741765,0.005461683,0.091141833,0.098054275,0.016598396,0.033751493,0.044418843,0.133043181,0.015275644,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae
ASV3,0.025260283,0.02974057,0.030124595,0.043266769,0.03682369,0.04458952,0.048557774,0.041986687,0.055854241,0.0432241,0.02619901,0.042925414,0.031959379,0.036610343,0.028716505,0.03328213,0.0708312,0.033111452,0.039341185,0.079621096,0.026156341,0.062766684,0.094342038,0.035330261,0.036268988,0.079535757,0.056110258,0.054872845,0.027308414,0.032855436,0.054488821,0.040706605,0.058585083,0.030636627,0.027777778,0.034988906,0.026455026,0.021420038,0.018731866,0.069764465,0.029527223,0.067630995,0.060462536,0.05525687,0.01625704,0.027052398,0.04104796,0.020865335,0.032044718,0.029356545,0.014507595,0.013227513,0.028033794,0.069209763,0.056366274,0.079023724,0.026796382,0.105777436,0.049496501,0.019585253,0.04318143,0.038402458,0.013696877,0.032684758,0.096176822,0.028801843,0.023638846,0.046979007,0.026369688,0.085466803,0.030892644,0.0375064,0.03823178,0.036567674,0.046253627,0.0197986,0.051245946,0.017110428,0.030636627,0.027564431,0.080517153,0.017750469,0.064601468,0.035031575,0.022401434,0.029783239,0.020011947,0.075610172,0.046936337,0.049453832,0.019414576,0.040407919,0.03396484,0.030935313,0.014678273,0.014080901,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia;s__Preussia_flanaganii
ASV4,0.023169483,0.044205496,0.016598396,0.026796382,0.034348865,0.095366103,0.067204301,0.027137737,0.058371736,0.027521761,0.022486772,0.047832395,0.044034818,0.049368493,0.030124595,0.018262502,0.035159584,0.025217614,0.021420038,0.018902543,0.020395972,0.042882744,0.048728452,0.016470387,0.029484554,0.03328213,0.053379416,0.034220857,0.019585253,0.017281106,0.023468169,0.015360983,0.028673835,0.05244069,0.016598396,0.021804062,0.016641065,0.021078682,0.015830346,0.04813108,0.043266769,0.035756955,0.042114695,0.028673835,0.005973716,0.015275644,0.020182625,0.01062468,0.006571087,0.046424304,0.007552483,0.01625704,0.013312852,0.043096091,0.026455026,0.052654037,0.01416624,0.041986687,0.021292029,0.015873016,0.025814985,0.031276668,0.010155317,0.045442908,0.026284349,0.018987882,0.029612562,0.022529442,0.017537122,0.057945042,0.030679297,0.021761393,0.023169483,0.026071002,0.054872845,0.010795358,0.026711043,0.013952893,0.01416624,0.015275644,0.031532685,0.037762417,0.025046936,0.045016214,0.030679297,0.030721966,0.033111452,0.040621266,0.02833248,0.029271207,0.043864141,0.025985663,0.058670422,0.036396996,0.016939751,0.023980201,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia;s__Preussia_persica
ASV5,0.02688172,0.011478068,0.009429937,0.016769073,0.007680492,0.037079706,0.038402458,0.014379587,0.0078085,0.011691415,0.014336918,0.044504182,0.021505376,0.005717699,0.012630142,0.023553507,0.017451784,0.00853388,0.008576549,0.017323775,0.006101724,0.016171702,0.026241679,0.019499915,0.010069978,0.009429937,0.015787677,0.012118109,0.017921147,0.007253798,0.011435399,0.021462707,0.028417819,0.022572111,0.024492234,0.020097286,0.007381806,0.008704557,0.011478068,0.018774535,0.007424475,0.021846732,0.009515276,0.01839051,0.003968254,0.032684758,0.018945212,0.021846732,0.021505376,0.084400068,0.102278546,0.026753712,0.029356545,0.026839051,0.118322239,0.036738351,0.006571087,0.029356545,0.01557433,0.015488991,0.030124595,0.030679297,0.06233999,0.038658474,0.026455026,0.017622461,0.019585253,0.025004267,0.021846732,0.019457245,0.023553507,0.018049155,0.013568868,0.007381806,0.010667349,0.02406554,0.031831371,0.012288786,0.046296296,0.034647551,0.067161632,0.006528418,0.011776754,0.014976959,0.018091825,0.007509814,0.019926609,0.039554531,0.00853388,0.012075439,0.008064516,0.019414576,0.022614781,0.020737327,0.039938556,0.01984127,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium
ASV6,0.037463731,0.04463219,0.017409114,0.016939751,0.019883939,0.026753712,0.020908005,0.016555726,0.058457075,0.017579792,0.025302953,0.022401434,0.025302953,0.021548046,0.011520737,0.008192524,0.096048814,0.028375149,0.016385049,0.018561188,0.009259259,0.022188087,0.016513057,0.006741765,0.043565455,0.019926609,0.032898105,0.01130739,0.008619218,0.00853388,0.013910224,0.011862093,0.045997611,0.036055641,0.016555726,0.017835808,0.006613757,0.012374125,0.005760369,0.019457245,0.039511862,0.023553507,0.02124936,0.036610343,0.002773511,0.007467145,0.009856631,0.009643284,0.01489162,0.133725892,0.00567503,0.024364226,0.008832565,0.026540365,0.009813961,0.014720942,0.013611538,0.035159584,0.011819423,0.008320533,0.01062468,0.010155317,0.009813961,0.026839051,0.050392558,0.012160778,0.037762417,0.014379587,0.012672811,0.026625704,0.009643284,0.009131251,0.020865335,0.008747226,0.025089606,0.005461683,0.013398191,0.007979177,0.013398191,0.018134494,0.041730671,0.040962622,0.01911589,0.022700119,0.013952893,0.013270183,0.007893839,0.016171702,0.025260283,0.015104967,0.02124936,0.032940775,0.015958355,0.015830346,0.012288786,0.029356545,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Verticillium;s__Verticillium_dahliae
ASV7,0.010197986,0,0.17703533,0,0.12250384,0.002346817,0,0.022742789,0.007979177,8.53E-05,0,0.007211128,0.049368493,0.006784434,0,4.27E-05,0.017110428,0,0.000384025,0,0.015403653,0.005034989,0,0.002944188,0.007253798,0.001194743,0,0.002944188,0.046168288,0.0177078,0,0,0.005419013,0.000256016,0.000128008,0,0.013355521,0.001621437,0,0.031746032,0.003456221,0.000554702,0,0.008661888,0.00567503,0.383384537,4.27E-05,0.000853388,0.002901519,0.001664107,0.00072538,0,0.008747226,0.006144393,0,0.006528418,0.001621437,0.002517494,0,0.001834784,0.014806281,0.074074074,0,0.005419013,0.003498891,0.000384025,0.000170678,0,0.011563407,0.007125789,0.000170678,0.00285885,0.007595153,0.000640041,8.53E-05,0.00285885,0.018945212,0.330303806,0.000213347,0.000170678,0.061102577,0.000170678,0.002730841,0,0.005205666,0.003242874,0,0.032087387,0.024577573,0.026156341,0,0.001962792,0.021206691,0.087770951,0,0,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Talaromyces;s__Talaromyces_pinophilus
ASV8,0.009771292,0.002560164,0.020267964,0.042456051,0.053592763,0.01275815,0.009045912,0.024705581,0.024620242,0.010283325,0.012118109,0.018646527,0.049795187,0.025260283,0.033666155,0.04817375,0.006229732,0.008107186,0.054659498,0.049880526,0.015446322,0.01271548,0.011179382,0.005888377,0.012203448,0.015915685,0.008064516,0.022316095,0.072922,0.007424475,0.0197986,0.030764636,0.008107186,0.007381806,0.012160778,0.016385049,0.009685953,0.005888377,0.011563407,0.021718723,0.005376344,0.016342379,0.013312852,0.026156341,0.008320533,0.00426694,0.029100529,0.01839051,0.047917733,0.006571087,0.013526199,0.021420038,0.004480287,0.004736303,0.006187063,0.012800819,0.010838027,0.009856631,0.008704557,0.011904762,0.025558969,0.00567503,0.010710019,0.032812767,0.008661888,0.011392729,0.006528418,0.03119133,0.01130739,0.003584229,0.021846732,0.010795358,0.015958355,0.011904762,0.015147636,0.009643284,0.009643284,0.001280082,0.015488991,0.044034818,0.007467145,0.008960573,0.012374125,0.053422086,0.010027308,0.011734084,0.024193548,0.025430961,0.01275815,0.013099505,0.018091825,0.031447346,0.044973545,0.003797576,0.005248336,0.012416795,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Cephalotrichum
ASV9,0.010325994,0.003328213,0.000981396,0.001792115,0.000853388,0.00145076,0.001109404,0.004352279,0.004394948,0.035756955,0.018347841,0.004352279,0.065198839,0.006699095,0.01271548,0.007467145,0.025046936,0.003370882,0.002048131,0.00499232,0.000938727,0.001194743,0.018817204,0.000554702,0.032428742,0.019627923,0.008576549,0.034135518,0.03042328,0.028247141,0.022956136,0.004778973,0.025046936,0.008192524,0.024406895,0.01348353,0.118066223,0.005547022,0.061315924,0.000256016,0.032940775,0.009131251,0.028119133,0.007936508,0,0.003114866,0.055726233,0.010240655,0.041175969,0.021718723,0.073988735,0.043309438,0.080815839,0.030380611,0.036311657,0.006315071,0.037677078,0.033794163,0.075012801,0.022188087,0.009600614,0.100273084,0.197047278,0.006997781,0.003925585,0.002048131,0.006101724,0.006229732,0.009557945,0.001365421,0.003370882,0.011563407,0.013995562,0.000981396,0.007979177,0.002986858,0.000341355,0.013142174,0.025430961,0.005717699,0.001322751,0.000554702,0.00068271,0.00068271,0.000341355,0.001322751,0.00068271,4.27E-05,0.006144393,0.001877453,0.001920123,0.001578768,0.000213347,0.00072538,0.016811743,0.00145076,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_herbarum
