Taxonomy,A2f,A7f,A11f,A14f,B2f,B7f,B11f,B14f,C2f,C7f,C11f,C14f,D2f,D7f,D11f,D14f,E2f,E7f,E11f,E14f,F2f,F7f,F11f,F14f,A3f,A6f,A10f,A15f,B3f,B6f,B10f,B15f,C3f,C6f,C10f,C15f,D3f,D6f,D10f,D15f,E3f,E6f,E10f,E15f,F3f,F6f,F10f,F15f,A1f,A8f,A9f,A16f,B1f,B8f,B9f,B16f,C1f,C8f,C9f,C16f,D1f,D8f,D9f,D16f,E1f,E8f,E9f,E16f,F1f,F8f,F9f,F16f,A4f,A5f,A12f,A13f,B4f,B5f,B12f,B13f,C4f,C5f,C12f,C13f,D4f,D5f,D12f,D13f,E4f,E5f,E12f,E13f,F4f,F5f,F12f,F13f,Tax_detail
Mortierellaceae,0.017195767,0.235065711,0.112817887,0.326847585,0.0807305,0.343659328,0.18838539,0.256016385,0.207117256,0.054872845,0.141961086,0.231182796,0.197047278,0.028759174,0.045741594,0.032642089,0.096262161,0.079450418,0.114823349,0.335594811,0.069721796,0.045954941,0.073946066,0.093744666,0.027863117,0.058457075,0.100657109,0.179083461,0.398190818,0.112135177,0.152415088,0.329023724,0.101638505,0.547064345,0.092464584,0.057134323,0.053550094,0.037079706,0.067417648,0.0276071,0.107441543,0.083930705,0.261563407,0.063577402,0.066478921,0.041261307,0.199052739,0.111239119,0.09135518,0.290279911,0.263952893,0.157492746,0.07014849,0.317759003,0.1947858,0.194273767,0.290493258,0.099803721,0.240399386,0.044845537,0.059950503,0.074842123,0.095963475,0.027564431,0.12822154,0.102918587,0.13103772,0.460530807,0.086917563,0.037421062,0.294674859,0.128562895,0.046466974,0.046296296,0.092720601,0.209336064,0.285799625,0.373527906,0.161930364,0.24786653,0.121479775,0.082266598,0.145246629,0.280721966,0.124893327,0.040151903,0.036909029,0.057561017,0.420933606,0.145715992,0.209421403,0.251920123,0.069807134,0.2421915,0.083119986,0.071812596,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;
Aspergillaceae,0.040237242,0.031618024,0.229049326,0.020737327,0.047747056,0.062254651,0.090331115,0.045272231,0.054744837,0.034348865,0.035927633,0.020908005,0.149257552,0.046979007,0.05171531,0.099675713,0.07578085,0.10338795,0.098566308,0.051160608,0.139571599,0.031233999,0.047661717,0.048813791,0.174773852,0.032514081,0.032130056,0.081797235,0.043309438,0.022700119,0.02193207,0.0276071,0.041133299,0.018219833,0.012416795,0.110215054,0.025132275,0.025345622,0.017622461,0.064089435,0.043053422,0.02193207,0.050051203,0.050563236,0.057561017,0.019457245,0.015446322,0.097798259,0.062169312,0.025814985,0.011776754,0.102961256,0.039981225,0.026967059,0.010923366,0.071001877,0.067332309,0.067929681,0.012459464,0.096731524,0.182411674,0.042413381,0.017494453,0.064174774,0.0786397,0.038701144,0.03114866,0.06656426,0.129416283,0.084528076,0.028545827,0.089392388,0.103729305,0.087002902,0.098310292,0.053464755,0.084442738,0.065796211,0.059779826,0.069167093,0.068868408,0.45890937,0.040322581,0.042669398,0.058329066,0.146142686,0.02688172,0.111751152,0.038914491,0.350401092,0.044077488,0.082394607,0.10483871,0.123058542,0.0255163,0.03259942,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;
Didymellaceae,0.196279229,0.000170678,0.000213347,0.001152074,0.046509643,0.000426694,0,0.00068271,0.013867554,0.004352279,0.003456221,0.001152074,0.039127838,0.013227513,0.077999659,0.004650964,0.007680492,0.000896057,0.0020908,0.001664107,0.000938727,0.000896057,0.000384025,0.000170678,0.00072538,0.001024066,0.000469363,0.000298686,0.000981396,0.000512033,0.001152074,0.000170678,0.004778973,0.000768049,0.380525687,0.000213347,0.006656426,0.051288616,0.040706605,0.001493429,0.002474825,0.001280082,0.010325994,0.030892644,0.000810719,0.002560164,0.000298686,8.53E-05,0.000597372,0.000128008,0.000213347,0.001024066,0.000597372,0.002432156,0.00213347,0.000938727,0.001664107,0.002560164,0.006955112,0.001237413,0.001280082,0.005888377,0.014379587,0.002986858,0.026967059,8.53E-05,0.00994197,0.00140809,0.000426694,0.000128008,8.53E-05,0.000597372,0.000981396,0.00068271,0,0.000426694,0.000384025,0.000896057,0.013099505,0.002346817,0.000768049,0.000597372,0.004010923,0.028588496,0.000384025,0.011179382,0.061017238,0.00213347,0,0.101339819,0.004053593,0.000384025,0.000298686,0.014464926,0.001280082,0.000469363,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;
Plectosphaerellaceae,0.051331285,0.143667861,0.09771292,0.050520567,0.12677078,0.119644991,0.11682881,0.054232804,0.071983274,0.127794846,0.090373784,0.051885987,0.021761393,0.216461854,0.035458269,0.058457075,0.06942311,0.095152756,0.144649258,0.037165045,0.053379416,0.133811231,0.147764124,0.065198839,0.116103431,0.300477897,0.205026455,0.028503158,0.047320362,0.305427547,0.198754054,0.011222052,0.037719747,0.131165728,0.090160437,0.033239461,0.027735108,0.257467145,0.082309268,0.02193207,0.074970131,0.279313876,0.1416624,0.015190306,0.078810377,0.175840587,0.182240997,0.026540365,0.074628776,0.142686465,0.229604028,0.059907834,0.057646356,0.119943676,0.222136883,0.022742789,0.077274279,0.139102236,0.194231097,0.06306537,0.030209933,0.180534221,0.129757638,0.016385049,0.032215395,0.070191159,0.192054958,0.009429937,0.03396484,0.123613245,0.130269671,0.051331285,0.091269841,0.180235535,0.25635774,0.017750469,0.036183649,0.078298344,0.202338283,0.025174945,0.042712067,0.043992149,0.12822154,0.018731866,0.031362007,0.076292883,0.091739205,0.066990954,0.035628947,0.035287592,0.119218297,0.036951698,0.084485407,0.072111282,0.186507937,0.217912613,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;
Onygenaceae,0.001194743,0.00921659,0.00422427,0.005120328,0.00422427,0.005717699,0.005419013,0.007040451,0.003925585,0.005034989,0.006016385,0.005376344,0.00281618,0.008917904,0.00640041,0.006869773,0.011051374,0.006016385,0.00853388,0.00354156,0.003797576,0.304019457,0.012374125,0.01062468,0.004138932,0.006528418,0.003072197,0.003882915,0.003968254,0.008405871,0.004778973,0.001834784,0.00499232,0.002645503,0.00213347,0.004565626,0.002730841,0.003370882,0.004736303,0.007936508,0.009387267,0.005034989,0.004010923,0.001920123,0.004736303,0.005547022,0.005461683,0.005077658,0.002944188,0.002986858,0.008363202,0.003584229,0.002346817,0.006144393,0.006229732,0.013782215,0.001280082,0.007211128,0.003200205,0.003882915,0.001749445,0.004394948,0.002773511,0.004522956,0.002346817,0.004480287,0.014763612,0.002474825,0.00494965,0.003584229,0.00281618,0.004309609,0.035927633,0.011179382,0.008320533,0.002389486,0.005291005,0.004181601,0.004309609,0.008107186,0.007552483,0.002474825,0.004352279,0.005120328,0.005973716,0.004053593,0.001792115,0.006101724,0.004650964,0.002474825,0.005760369,0.004394948,0.006272401,0.004138932,0.001109404,0.006613757,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenaceae;
Nectriaceae,0.183862434,0.11542072,0.130269671,0.126344086,0.137139444,0.125789384,0.125277351,0.136798088,0.157108722,0.186166581,0.147593446,0.141577061,0.147550777,0.176096604,0.195041816,0.168970814,0.210104113,0.158900836,0.162613074,0.143923878,0.243727599,0.10483871,0.16291176,0.170037549,0.100913125,0.143923878,0.150665643,0.146356033,0.07859703,0.119815668,0.094939409,0.108209592,0.143582523,0.078938385,0.060334528,0.189921488,0.164575866,0.147550777,0.269713262,0.251792115,0.175840587,0.118620925,0.1161461,0.137907493,0.202338283,0.091824543,0.111708483,0.22166752,0.206647892,0.088026967,0.108124253,0.18130227,0.146654719,0.091525858,0.125234682,0.139272913,0.125021335,0.162015702,0.118364909,0.163295784,0.205495818,0.158218126,0.14025431,0.13807817,0.181856972,0.075183478,0.15791944,0.136883427,0.204343745,0.10343062,0.083973374,0.195169824,0.16291176,0.106545486,0.123655914,0.167477385,0.143497184,0.10974569,0.104497354,0.164789213,0.190006827,0.1359447,0.176523297,0.190092166,0.21957672,0.184246458,0.239033965,0.20114354,0.167306708,0.122461171,0.193420379,0.185099846,0.218168629,0.1713603,0.165343915,0.169653524,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;
Cladosporiaceae,0.021121352,0.007296467,0.00145076,0.003029527,0.036183649,0.005333675,0.002474825,0.00640041,0.035756955,0.01344086,0.029697901,0.022444103,0.068356375,0.027180406,0.086618877,0.124551971,0.010325994,0.003157535,0.009984639,0.007979177,0.00213347,0.00072538,0.00140809,0.000981396,0.00145076,0.002304147,0.002304147,0.011947431,0.002005462,0.002261478,0.032983444,0.001322751,0.202423622,0.013568868,0.086832224,0.000810719,0.20327701,0.078682369,0.072196621,0.021036013,0.129842977,0.003328213,0.008363202,0.128520225,0.003072197,0.002218809,0.001152074,8.53E-05,0.00917392,0.042882744,0.020267964,0.01062468,0.049240485,0.022273425,0.010966035,0.050605905,0.049837856,0.011435399,0.030849974,0.016001024,0.081882574,0.038103772,0.087685612,0.080431814,0.024620242,0.001493429,0.008704557,0.010027308,0.008149855,0.00213347,0.002602833,0.0020908,0.070063151,0.007552483,0.016683734,0.009856631,0.039725209,0.034988906,0.032940775,0.015958355,0.005077658,0.003840246,0.063961427,0.024534904,0.033794163,0.16572794,0.26911589,0.011606076,0.001493429,0.022316095,0.03614098,0.009685953,0.000597372,0.001066735,0.019627923,0.004138932,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;
Helotiaceae,0.042114695,0.00849121,0.040578597,0.035970302,0.021505376,0.002645503,0.004096262,0.009045912,0.005376344,0.002645503,0.005120328,0.002048131,0.001749445,0.007211128,0.003754907,0.005376344,0.004864311,0.006571087,0.003072197,0.003712238,0.022444103,0.004352279,0.027009729,0.010582011,0.009088582,0.006315071,0.006912442,0.046082949,0.002773511,0.005205666,0.003669568,0.001152074,0.004565626,0.001877453,0.000810719,0.002005462,0.002730841,0.001536098,0.001877453,0.00494965,0.004736303,0.004608295,0.002304147,0.080645161,0.052952722,0.219363373,0.021761393,0.017451784,0.017409114,0.017281106,0.003882915,0.011008705,0.006443079,0.001792115,0.004821642,0.006187063,0.008064516,0.003200205,0.011819423,0.007637822,0.005973716,0.003200205,0.005547022,0.003200205,0.008747226,0.001237413,0.003328213,0.003925585,0.009515276,0.030892644,0.002176139,0.004736303,0.005077658,0.007552483,0.04249872,0.016683734,0.002218809,0.001194743,0.002346817,0.00563236,0.002773511,0.001237413,0.001877453,0.002688172,0.00213347,0.001024066,0,0.00281618,0.0020908,0.001749445,0.002517494,0.001664107,0.008021847,0.001621437,0.006443079,0.027777778,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;
Hygrophoraceae,0,0,0,0,0.000896057,0,0,0,0.000640041,0,0,0,0,0,0,0,0,0,0,0,0.00068271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000554702,0,0,0,0,0,0,0,0,0.012075439,0,0,0,0.217997952,0,0,0.033154122,0.027521761,0,0,0,0.027393753,0,0,0.000512033,0.002432156,0,0,0,0.012118109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;
Clavicipitaceae,0.009429937,0.013952893,0.031319338,0.024577573,0.023852193,0.012886158,0.036439665,0.030209933,0.012416795,0.027436423,0.058969107,0.026071002,0.029313876,0.02197474,0.020481311,0.026241679,0.06374808,0.030337942,0.027479092,0.026455026,0.01130739,0.043778802,0.025644308,0.036951698,0.013398191,0.040749275,0.017409114,0.045144223,0.006997781,0.021462707,0.022742789,0.190006827,0.009088582,0.015446322,0.010795358,0.057134323,0.004394948,0.01702509,0.012587472,0.056366274,0.009131251,0.037975764,0.022486772,0.034647551,0.012544803,0.027436423,0.092720601,0.04318143,0.074927462,0.016854412,0.022316095,0.017494453,0.0098993,0.018603857,0.027905786,0.023681516,0.010283325,0.03255675,0.02193207,0.027521761,0.01062468,0.020908005,0.039213176,0.081797235,0.012416795,0.020182625,0.029911248,0.011179382,0.017750469,0.046125619,0.02692439,0.033666155,0.01698242,0.035330261,0.029313876,0.033452808,0.015104967,0.020779997,0.02974057,0.04604028,0.014294248,0.013696877,0.022700119,0.046509643,0.006869773,0.034178187,0.012246117,0.027735108,0.008363202,0.0098993,0.027180406,0.058329066,0.013568868,0.035586278,0.040578597,0.040023895,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;
