Taxonomy,A2f,A7f,A11f,A14f,B2f,B7f,B11f,B14f,C2f,C7f,C11f,C14f,D2f,D7f,D11f,D14f,E2f,E7f,E11f,E14f,F2f,F7f,F11f,F14f,A3f,A6f,A10f,A15f,B3f,B6f,B10f,B15f,C3f,C6f,C10f,C15f,D3f,D6f,D10f,D15f,E3f,E6f,E10f,E15f,F3f,F6f,F10f,F15f,A1f,A8f,A9f,A16f,B1f,B8f,B9f,B16f,C1f,C8f,C9f,C16f,D1f,D8f,D9f,D16f,E1f,E8f,E9f,E16f,F1f,F8f,F9f,F16f,A4f,A5f,A12f,A13f,B4f,B5f,B12f,B13f,C4f,C5f,C12f,C13f,D4f,D5f,D12f,D13f,E4f,E5f,E12f,E13f,F4f,F5f,F12f,F13f,Tax_detail
Talaromyces,0.010539341,0.001024066,0.185483871,0.001578768,0.017579792,0.000512033,0.002688172,0.001706776,0.005461683,0.001664107,0.008747226,0.001066735,0.003242874,0.003072197,0.002005462,0.003498891,0.003797576,0.001578768,0.001962792,4.27E-05,0.061187916,0.000640041,0.002645503,0.005888377,0.126813449,0.006144393,0.000896057,0.027180406,0.018134494,0.005547022,0.002773511,0.003669568,0.015958355,0.006485748,0.002176139,0.035159584,0.011008705,0.009387267,0.002176139,0.009685953,0.012544803,0.007851169,0.004693634,0.003498891,0.005376344,0.005589691,0,0.034178187,0.014038232,0.002645503,0.001109404,0.007595153,0.010368664,0.002688172,0.001152074,0.004053593,0.006315071,0.002389486,0.000981396,0.009387267,0.004394948,0.006784434,0.000554702,0.002560164,0.015104967,0.001536098,0.001834784,0.00281618,0.027905786,0.026284349,0,0.00281618,0.051843318,0.012288786,0.003114866,0.000426694,0.047107015,0.020908005,0.000938727,0.00068271,0.031020652,0.394521249,0.00285885,0.000981396,0.014976959,0.07791432,0.000938727,0.007680492,0.019030551,0.331242533,0.006101724,0.000170678,0.021292029,0.090032429,4.27E-05,0.000170678,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Talaromyces;
Neoascochyta,0.193292371,0.000170678,0.000213347,0.001024066,0.044418843,8.53E-05,0,8.53E-05,0.008576549,0.002389486,0.000213347,0.000170678,0.029996586,0.01203277,0.071812596,0.001877453,0.004394948,0.00068271,0.001578768,0.001237413,0.000853388,0.000896057,0.000213347,0,0.000341355,4.27E-05,0,0.000170678,0.000170678,4.27E-05,0.000384025,4.27E-05,0,0,0.3739546,8.53E-05,0.001749445,0.045784264,0.033111452,0.000469363,0,0.001280082,0.004906981,0.000853388,0.000170678,0.001877453,0.000128008,0,0.000213347,0,0,0.000597372,0,0.000341355,0,0.000341355,0.000853388,0.000298686,0.000810719,0.000170678,0.000128008,0.000896057,0.004608295,0.000597372,0.026071002,0,0.009856631,0.000341355,0.000298686,0,0,0,0.000298686,0.000256016,0,0.000128008,0,8.53E-05,0,0.000298686,0,0.000341355,0.001237413,0.001792115,0,0.009856631,0.047960403,0.000597372,0,0.100273084,0.003413552,0.000170678,0,0.014464926,0.001280082,0,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Neoascochyta;
Mortierella,0.009856631,0.203789042,0.070063151,0.174731183,0.056408944,0.302184673,0.140126301,0.172469705,0.04390681,0.014379587,0.039383854,0.077572965,0.06306537,0.014763612,0.013398191,0.00640041,0.038487797,0.028417819,0.026668373,0.020993344,0.025174945,0.005461683,0.011563407,0.023468169,0.010923366,0.030636627,0.040834613,0.12041304,0.289085168,0.065710872,0.040706605,0.252261478,0.066308244,0.312681345,0.010155317,0.034775559,0.019414576,0.012246117,0.007296467,0.011990101,0.052611367,0.030807305,0.032642089,0.027735108,0.02905786,0.014208909,0.010411333,0.05030722,0.0552142,0.162314388,0.183819764,0.069721796,0.050392558,0.175755248,0.104241338,0.116530125,0.15011094,0.025046936,0.152756443,0.033495477,0.024449565,0.012331456,0.027009729,0.011136713,0.023126813,0.016897081,0.033452808,0.075140809,0.025814985,0.005248336,0.049539171,0.036866359,0.037293053,0.025174945,0.023510838,0.170208227,0.184203789,0.17921147,0.037677078,0.151604369,0.054147465,0.037122376,0.021206691,0.040663936,0.057048984,0.012203448,0.005461683,0.007125789,0.06724697,0.016769073,0.012288786,0.040578597,0.03259942,0.064217443,0.017067759,0.01489162,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;
Myriodontium,0.000170678,0.005845707,0.000597372,0.001493429,0.000640041,0.000896057,0.001322751,0.001024066,0.000469363,0.001237413,0.001962792,0.001792115,0.000213347,0.005162997,0.001578768,0.00072538,0.000938727,0.001706776,0.003157535,0.001578768,0.000298686,0.29458952,0.005888377,0.002474825,0.000512033,0.00281618,0.000426694,0.000640041,0.000384025,0.002474825,0.000512033,0.000128008,0.000213347,0.000341355,0,0.000213347,0,0.000768049,0,0.000298686,0.000213347,0.001024066,0.000597372,4.27E-05,0,0.000768049,0.000810719,0.00140809,0.000256016,0.000213347,0.001024066,0.002005462,0.000213347,0.000597372,0.001152074,0.009429937,0,0.000938727,0.000640041,0.001962792,0.000213347,0.000512033,0.000469363,0.002048131,0.000469363,0.000768049,0.00213347,0.001536098,0.000256016,0.00072538,0.000554702,0.001322751,0.000384025,0.005376344,0.000341355,0.000298686,0.001621437,0.000341355,0.000981396,0.001066735,0.00145076,0,0.000938727,0.00145076,0.001322751,0.000341355,0.000384025,0.00281618,0.000938727,8.53E-05,0.000981396,0.000384025,0.001962792,0.000810719,0.000512033,0.00285885,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenaceae;g__Myriodontium;
Cladosporium,0.021121352,0.007296467,0.00145076,0.003029527,0.036183649,0.005333675,0.002474825,0.00640041,0.035756955,0.01344086,0.029697901,0.022444103,0.068356375,0.027180406,0.086618877,0.124551971,0.010325994,0.003157535,0.009984639,0.007979177,0.00213347,0.00072538,0.00140809,0.000981396,0.00145076,0.002304147,0.002304147,0.011947431,0.002005462,0.002261478,0.032983444,0.001322751,0.202423622,0.013568868,0.086832224,0.000810719,0.20327701,0.078682369,0.072196621,0.021036013,0.129842977,0.003328213,0.008363202,0.128520225,0.003072197,0.002218809,0.001152074,8.53E-05,0.00917392,0.042882744,0.020267964,0.01062468,0.049240485,0.022273425,0.010966035,0.050605905,0.049837856,0.011435399,0.030849974,0.016001024,0.081882574,0.038103772,0.087685612,0.080431814,0.024620242,0.001493429,0.008704557,0.010027308,0.008149855,0.00213347,0.002602833,0.0020908,0.070063151,0.007552483,0.016683734,0.009856631,0.039725209,0.034988906,0.032940775,0.015958355,0.005077658,0.003840246,0.063961427,0.024534904,0.033794163,0.165557262,0.26911589,0.011606076,0.001493429,0.022316095,0.03614098,0.009685953,0.000597372,0.001066735,0.019627923,0.004138932,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;
Fusarium,0.167562724,0.087728281,0.050648575,0.078767708,0.097968937,0.090416453,0.06660693,0.09208056,0.121053081,0.138291517,0.087728281,0.097968937,0.116316778,0.145929339,0.152159072,0.128776242,0.174091142,0.088026967,0.12608807,0.112177846,0.207885305,0.068825738,0.100358423,0.108593617,0.069935143,0.105564089,0.104753371,0.09421403,0.049795187,0.080986516,0.074714115,0.086533538,0.0963475,0.05030722,0.044205496,0.138547534,0.126130739,0.116530125,0.240356716,0.185825226,0.125661376,0.083333333,0.086064175,0.102449223,0.130867042,0.057091654,0.086320191,0.161204984,0.144905274,0.060334528,0.068441714,0.132317802,0.098395631,0.065412186,0.081114525,0.080602492,0.088410992,0.12322922,0.07859703,0.110129715,0.164149172,0.1161461,0.099761051,0.088965694,0.139614269,0.05244069,0.096560847,0.100187745,0.135731353,0.077060932,0.046979007,0.116359447,0.117255504,0.071727257,0.068143028,0.120327701,0.092421915,0.07155658,0.06869773,0.110556409,0.134920635,0.10974569,0.12536269,0.144649258,0.163765148,0.137011435,0.210488138,0.147593446,0.133768561,0.094982079,0.155572623,0.141918416,0.145929339,0.133896569,0.128648233,0.108721625,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;
Hygrocybe,0,0,0,0,0.000896057,0,0,0,0.000640041,0,0,0,0,0,0,0,0,0,0,0,0.00068271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000554702,0,0,0,0,0,0,0,0,0.012075439,0,0,0,0.217997952,0,0,0.033154122,0.027521761,0,0,0,0.027393753,0,0,0.000512033,0.002432156,0,0,0,0.012118109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrocybe;
Articulospora,0.041901348,0.000768049,0.000810719,0.002048131,0.016342379,8.53E-05,0.000981396,0.000128008,0.002645503,0,0.00072538,0.000768049,0.00068271,0.005376344,0.00145076,0.003285544,0.00285885,0.000640041,0.000512033,0.000170678,0.021633385,4.27E-05,0.021548046,0.001365421,0.000170678,0.000512033,0.000981396,0.03614098,0.000298686,0.003114866,0.000384025,0.00068271,0,4.27E-05,0,0.000938727,0.00145076,0.000128008,0.001877453,0.00140809,0.002432156,0.000213347,0.000597372,0.080090459,0.000213347,0.215693804,0.001792115,0,4.27E-05,0.001365421,0.002176139,0.00635774,0,0.000128008,0.000853388,0.001194743,0.000896057,0.00072538,0.009600614,0.005162997,0.000768049,0.000341355,0.003242874,0.001194743,0.002773511,0.000213347,0.000938727,0.002304147,0.001109404,0.028673835,0,8.53E-05,0.001237413,0.004010923,0,0.012800819,0.000170678,0.000128008,4.27E-05,0.003882915,0,0,0,0,0.000938727,0.000298686,0,0.000768049,0,0.000640041,0.000256016,0.000128008,0.000128008,0,0,0.000170678,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Articulospora;
Podila,0.000512033,0.003797576,0.004096262,0.008576549,0.000512033,0.001877453,0.006144393,0.017451784,0.013696877,0.019201229,0.052056665,0.088282983,0.004650964,0.002432156,0.006101724,0.005845707,0.00213347,0.009600614,0.024193548,0.123015873,0.001280082,0.002432156,0.005504352,0.013184844,0.004437617,0.006613757,0.006571087,0.013782215,0.004650964,0.004650964,0.025430961,0.011008705,0.009003243,0.020779997,0.025772316,0.00640041,0.003072197,0.00567503,0.014336918,0.003797576,0.00494965,0.003968254,0.112945895,0.005973716,0.001792115,0.009728623,0.00354156,0.00354156,0.016129032,0.013099505,0.008064516,0.006016385,0.002176139,0.022913466,0.003029527,0.009088582,0.016513057,0.037079706,0.010539341,0.001365421,0.002048131,0.009643284,0.008021847,0.002901519,0.002602833,0.009045912,0.016598396,0.195809865,0.003626899,0.010197986,0.03119133,0.044418843,0.000896057,0.002730841,0.016129032,0.016385049,0.003413552,0.025857655,0.013270183,0.040023895,0.007125789,0.006101724,0.027095067,0.117298174,0.001834784,0.00213347,0.004565626,0.033111452,0.01416624,0.003712238,0.013952893,0.107100188,0.002517494,0.005973716,0.011691415,0.006571087,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Podila;
Metarhizium,0.002389486,0.001749445,0.004693634,0.007424475,0.015446322,0.0020908,0.007979177,0.009131251,0.003072197,0.004010923,0.038701144,0.007381806,0.005419013,0.004608295,0.003925585,0.00426694,0.0552142,0.005504352,0.003584229,0.010966035,0.003413552,0.011222052,0.001792115,0.006272401,0.000938727,0.021078682,0.005803038,0.033410138,0.00072538,0.004480287,0.003413552,0.185355863,0.000853388,0.001877453,0.002218809,0.044418843,0.00072538,0.00213347,0.002218809,0.043266769,0.001834784,0.00281618,0.005291005,0.030679297,0.000853388,0.004480287,0.072623315,0.032642089,0.063918757,0.006187063,0.001024066,0.005973716,0.004096262,0.001664107,0.00145076,0.01275815,0.006059054,0.005248336,0.000938727,0.016683734,0.007595153,0.006699095,0.001706776,0.010155317,0.00563236,0.003456221,0.003498891,0.005333675,0.007253798,0.025686977,0.00640041,0.016001024,0.005333675,0.02124936,0.002346817,0.021676054,0.003456221,0.009813961,0.006443079,0.03469022,0.00426694,0.003456221,0.001749445,0.036653012,0.001066735,0.014550265,0.001664107,0.018006486,0.0020908,0.002901519,0.010325994,0.050819252,0.000469363,0.025729647,0.026412357,0.026796382,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metarhizium;
