Taxonomy,A2f,A7f,A11f,A14f,B2f,B7f,B11f,B14f,C2f,C7f,C11f,C14f,D2f,D7f,D11f,D14f,E2f,E7f,E11f,E14f,F2f,F7f,F11f,F14f,A3f,A6f,A10f,A15f,B3f,B6f,B10f,B15f,C3f,C6f,C10f,C15f,D3f,D6f,D10f,D15f,E3f,E6f,E10f,E15f,F3f,F6f,F10f,F15f,A1f,A8f,A9f,A16f,B1f,B8f,B9f,B16f,C1f,C8f,C9f,C16f,D1f,D8f,D9f,D16f,E1f,E8f,E9f,E16f,F1f,F8f,F9f,F16f,A4f,A5f,A12f,A13f,B4f,B5f,B12f,B13f,C4f,C5f,C12f,C13f,D4f,D5f,D12f,D13f,E4f,E5f,E12f,E13f,F4f,F5f,F12f,F13f,Tax_detail
Mortierellales,0.017494453,0.235065711,0.113073903,0.329237071,0.084400068,0.343659328,0.188641406,0.256229732,0.207287933,0.054872845,0.142046424,0.231225465,0.197047278,0.028759174,0.046082949,0.032642089,0.098736986,0.079834443,0.118023554,0.335893497,0.075695511,0.046082949,0.074671446,0.094299368,0.028033794,0.058585083,0.101681174,0.179339478,0.398190818,0.112135177,0.152756443,0.329023724,0.102235876,0.547064345,0.092464584,0.057134323,0.059139785,0.037079706,0.067417648,0.0276071,0.107441543,0.083973374,0.261563407,0.064345451,0.06660693,0.041389316,0.199052739,0.111239119,0.091696535,0.290919952,0.264038232,0.157834101,0.070532514,0.317929681,0.194871138,0.195383171,0.290493258,0.100145076,0.240570063,0.044930876,0.059950503,0.075012801,0.09630483,0.027564431,0.128946919,0.103003926,0.132019116,0.460957501,0.086917563,0.037421062,0.298472436,0.128562895,0.04676566,0.046296296,0.092891278,0.209720089,0.286439665,0.373570575,0.16218638,0.248293224,0.122290493,0.082522615,0.145246629,0.281233999,0.126130739,0.040279911,0.036909029,0.057646356,0.421189623,0.146313364,0.209421403,0.252432156,0.070020481,0.242874211,0.083376003,0.073092678,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;
Eurotiales,0.040237242,0.032258065,0.229134665,0.020737327,0.047747056,0.062382659,0.090757808,0.04535757,0.054744837,0.034562212,0.036439665,0.020993344,0.14942823,0.047192354,0.051843318,0.09984639,0.07578085,0.103771975,0.098651647,0.051245946,0.139998293,0.031404677,0.047960403,0.048941799,0.178358082,0.032514081,0.032172726,0.081797235,0.046253627,0.022700119,0.022017409,0.0276071,0.048771121,0.018219833,0.012502133,0.110385731,0.027180406,0.025345622,0.017750469,0.064174774,0.046808329,0.02193207,0.050136542,0.050563236,0.063534733,0.019457245,0.015446322,0.097798259,0.06229732,0.025942994,0.011904762,0.102961256,0.040109234,0.027436423,0.011008705,0.071001877,0.067417648,0.068185697,0.012630142,0.096731524,0.182454344,0.044290835,0.017622461,0.064174774,0.078810377,0.038914491,0.031276668,0.066649599,0.129714968,0.084741423,0.028631166,0.089392388,0.103857314,0.088240314,0.098310292,0.053635433,0.084442738,0.066820276,0.059779826,0.069252432,0.068911077,0.461640212,0.040322581,0.042968083,0.058329066,0.148788189,0.02688172,0.111836491,0.038914491,0.351083803,0.044077488,0.082394607,0.104966718,0.12532002,0.0255163,0.03259942,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;
Hypocreales,0.225550435,0.19619389,0.198071343,0.209293395,0.201996928,0.213218979,0.204941116,0.238564601,0.256016385,0.317033623,0.285970302,0.239802014,0.250938727,0.253285544,0.271846732,0.319892473,0.370754395,0.386200717,0.283751493,0.24505035,0.334400068,0.191884281,0.247482506,0.293650794,0.172725721,0.245690391,0.220174091,0.286738351,0.120242362,0.236815156,0.163509131,0.338197645,0.210829493,0.123485236,0.103643967,0.429766172,0.209208056,0.219320703,0.332778631,0.42776071,0.24500768,0.20186892,0.191841611,0.2223929,0.274577573,0.167093361,0.270651988,0.348139614,0.352833248,0.158303465,0.19901007,0.275857655,0.203149002,0.1692695,0.228153268,0.249701314,0.199266086,0.312852023,0.195980543,0.387438129,0.288701144,0.260027308,0.2697986,0.460018775,0.313833419,0.157364738,0.255376344,0.203703704,0.299453832,0.29181601,0.154036525,0.350102407,0.28042328,0.19337771,0.219235364,0.30239802,0.247013142,0.185099846,0.217955282,0.289383854,0.318356375,0.229646697,0.276113671,0.33213859,0.349547704,0.295656255,0.317929681,0.402415088,0.264550265,0.204130398,0.307518348,0.33218126,0.34703021,0.264678273,0.373570575,0.280209933,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;
Pleosporales,0.337557604,0.101937191,0.0984383,0.105265404,0.208013313,0.074884793,0.083034648,0.137011435,0.154036525,0.153993856,0.115890084,0.148404165,0.104497354,0.164063833,0.172683052,0.117810207,0.166709336,0.096603516,0.091867213,0.11682881,0.155401946,0.081199863,0.133299198,0.107100188,0.14661205,0.182838368,0.150580304,0.141022359,0.13317119,0.13099505,0.18552654,0.072922,0.106801502,0.052013996,0.427291347,0.163167776,0.181131592,0.20110087,0.169184161,0.190561529,0.141235706,0.171104284,0.084570746,0.26203277,0.181942311,0.103686636,0.080389145,0.142259771,0.151433692,0.088752347,0.088965694,0.158730159,0.099547704,0.141107698,0.136072709,0.131464414,0.113927291,0.136328725,0.151860386,0.13948626,0.080645161,0.188470729,0.14588667,0.138376856,0.162826421,0.076036866,0.146142686,0.061443932,0.122205154,0.11401263,0.082351937,0.099035672,0.11896228,0.134365933,0.078469022,0.080815839,0.058713091,0.070233828,0.11827957,0.085978836,0.12677078,0.057774364,0.081242533,0.084528076,0.103003926,0.102107868,0.123698583,0.107356204,0.094768732,0.150196279,0.069764465,0.063193378,0.112177846,0.105222734,0.048259089,0.057603687,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;
Glomerellales,0.052013996,0.144009217,0.09771292,0.050605905,0.126984127,0.119644991,0.11682881,0.054275474,0.075908858,0.128264209,0.090587131,0.052013996,0.021761393,0.216461854,0.03614098,0.058542413,0.06942311,0.095152756,0.144734596,0.037335723,0.053507424,0.133811231,0.147764124,0.065241509,0.116103431,0.300477897,0.205623827,0.028503158,0.047320362,0.305427547,0.198754054,0.011222052,0.037719747,0.131165728,0.090160437,0.033580816,0.027777778,0.257467145,0.082309268,0.022102748,0.075183478,0.279569892,0.1416624,0.015232975,0.078853047,0.178315412,0.182240997,0.026625704,0.074671446,0.142771804,0.229604028,0.059907834,0.057731695,0.119943676,0.222179553,0.022742789,0.077444956,0.139102236,0.194231097,0.063150708,0.030252603,0.180534221,0.129757638,0.016385049,0.032386073,0.070191159,0.192054958,0.009429937,0.034519543,0.123613245,0.130269671,0.051331285,0.091269841,0.180448882,0.25635774,0.017835808,0.036183649,0.078298344,0.202380952,0.025217614,0.042712067,0.043992149,0.12822154,0.018731866,0.031362007,0.076292883,0.091739205,0.066990954,0.035714286,0.035287592,0.119218297,0.036951698,0.084485407,0.072111282,0.186507937,0.217912613,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;
Onygenales,0.001194743,0.009515276,0.005376344,0.006741765,0.004394948,0.00635774,0.007467145,0.008832565,0.004352279,0.006784434,0.00849121,0.006101724,0.00281618,0.010240655,0.007936508,0.007552483,0.011264721,0.007253798,0.009301929,0.004608295,0.004010923,0.304958184,0.016555726,0.012971497,0.010027308,0.007595153,0.003925585,0.004096262,0.006997781,0.008960573,0.011136713,0.001877453,0.008320533,0.002901519,0.002432156,0.00499232,0.003328213,0.003456221,0.005291005,0.00853388,0.010368664,0.005845707,0.006997781,0.002005462,0.007893839,0.007424475,0.006016385,0.006955112,0.011734084,0.003797576,0.009131251,0.005589691,0.008619218,0.007211128,0.006784434,0.015232975,0.006613757,0.007979177,0.00354156,0.004096262,0.003754907,0.005547022,0.00285885,0.005376344,0.020097286,0.005376344,0.015147636,0.00285885,0.006272401,0.004864311,0.003114866,0.005077658,0.036653012,0.022742789,0.00917392,0.004437617,0.005504352,0.006272401,0.004864311,0.010069978,0.009344598,0.004053593,0.005205666,0.00708312,0.00635774,0.005077658,0.001834784,0.007424475,0.00499232,0.004010923,0.005973716,0.007253798,0.006869773,0.004352279,0.00140809,0.008320533,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;
Capnodiales,0.021292029,0.007296467,0.00145076,0.003029527,0.036183649,0.005333675,0.002517494,0.00640041,0.036055641,0.01344086,0.02974057,0.022444103,0.068441714,0.027265745,0.086832224,0.124551971,0.010325994,0.003157535,0.009984639,0.007979177,0.002560164,0.00072538,0.00140809,0.000981396,0.001706776,0.002389486,0.002304147,0.011947431,0.002005462,0.002261478,0.032983444,0.001322751,0.202423622,0.013568868,0.086832224,0.000810719,0.20327701,0.078682369,0.072196621,0.021036013,0.129842977,0.003328213,0.008363202,0.128520225,0.003072197,0.002730841,0.001152074,8.53E-05,0.00917392,0.042968083,0.020267964,0.01062468,0.049325824,0.022273425,0.010966035,0.050776583,0.049880526,0.011435399,0.030849974,0.016001024,0.081925243,0.038103772,0.087685612,0.080517153,0.024620242,0.001493429,0.008704557,0.010069978,0.008149855,0.00213347,0.002602833,0.0020908,0.070063151,0.0078085,0.016683734,0.009856631,0.039725209,0.034988906,0.032940775,0.015958355,0.005077658,0.003840246,0.063961427,0.024534904,0.033794163,0.16572794,0.26911589,0.011606076,0.001493429,0.022316095,0.03614098,0.009685953,0.000597372,0.001066735,0.0197986,0.004138932,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;
Agaricales,0.002048131,0.115292712,0.016641065,0.007040451,0.009813961,0.005461683,0.009771292,0.010112647,0.004394948,0.017281106,0.010283325,0.00708312,0.003285544,0.005888377,0.016043693,0.005888377,0.003669568,0.010582011,0.008576549,0.004138932,0.002730841,0.006955112,0.006656426,0.01416624,0.004736303,0.005120328,0.003370882,0.002560164,0.00640041,0.002304147,0.004565626,0.006315071,0.020481311,0,0.016470387,0.005717699,0.000768049,0.002304147,0.002645503,0.009045912,0.011691415,0.002474825,0.001749445,0.005333675,0.0020908,0.001877453,0.003285544,0.002645503,0.015446322,0.001834784,0.000469363,0.012374125,0.232761563,0.004650964,0.002986858,0.044546851,0.032002048,0.002688172,0.001493429,0.003157535,0.040493258,0.00921659,0.003669568,0.011435399,0.006059054,0.00068271,0.001834784,0.012288786,0.01911589,0.000469363,0.000810719,0.01344086,0.001792115,0.00494965,0.006016385,0.000938727,0.001706776,0.007168459,0.003712238,0.005589691,0.00567503,0.003328213,0.002901519,0.003754907,0.009045912,0.004138932,0.001578768,0.00285885,0.001962792,0.002176139,0.001322751,0.00281618,0.00635774,0.002901519,0.002176139,0.002474825,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;
Sordariales,0.018646527,0.032130056,0.057859703,0.041901348,0.04036525,0.021164021,0.03255675,0.029143198,0.042541389,0.042626728,0.048259089,0.02833248,0.035671616,0.029697901,0.030593958,0.040621266,0.030167264,0.047875064,0.025004267,0.038530466,0.027905786,0.025430961,0.027265745,0.053592763,0.081882574,0.062553337,0.144905274,0.026412357,0.095963475,0.041175969,0.067033623,0.127666837,0.074970131,0.059822495,0.089520396,0.030892644,0.041303977,0.051629971,0.069465779,0.035287592,0.036354327,0.094854071,0.120797064,0.020267964,0.065326848,0.054104796,0.060078512,0.032300734,0.053678102,0.105820106,0.060334528,0.025729647,0.024620242,0.055726233,0.02619901,0.017750469,0.030636627,0.05875576,0.024364226,0.081498549,0.021377368,0.054915515,0.050691244,0.028204472,0.032130056,0.224782386,0.045997611,0.056878307,0.026327018,0.151177675,0.034604881,0.03754907,0.034818228,0.063577402,0.029228537,0.064388121,0.040450589,0.04177334,0.02833248,0.042541389,0.035970302,0.037207715,0.056323605,0.046594982,0.069337771,0.037762417,0.017963816,0.042413381,0.035628947,0.022742789,0.045954941,0.027009729,0.027351084,0.038146441,0.022102748,0.020609319,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;
Helotiales,0.046680321,0.010838027,0.044717529,0.04104796,0.032087387,0.00354156,0.006443079,0.014208909,0.013355521,0.006443079,0.009131251,0.006656426,0.003498891,0.027052398,0.005205666,0.011862093,0.019499915,0.011392729,0.005547022,0.008619218,0.033495477,0.012800819,0.036482335,0.023254822,0.012416795,0.007637822,0.009984639,0.052824714,0.003797576,0.006101724,0.006229732,0.002474825,0.006016385,0.002432156,0.001962792,0.007381806,0.003285544,0.003669568,0.003456221,0.009344598,0.007851169,0.006571087,0.004394948,0.083034648,0.055640894,0.224569039,0.025345622,0.022017409,0.022572111,0.020267964,0.008405871,0.020225294,0.018646527,0.004309609,0.010411333,0.013099505,0.017153098,0.007851169,0.013952893,0.017067759,0.009771292,0.006272401,0.00917392,0.007936508,0.016214371,0.001749445,0.004608295,0.009813961,0.018859874,0.032002048,0.002986858,0.012459464,0.008021847,0.010923366,0.044376173,0.01984127,0.003754907,0.002517494,0.005888377,0.009515276,0.005120328,0.001706776,0.005248336,0.006229732,0.003626899,0.002986858,0.001066735,0.005419013,0.00281618,0.002602833,0.004394948,0.004821642,0.013654207,0.002773511,0.009131251,0.032940775,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;
Microascales,0.01203277,0.003669568,0.021718723,0.045869602,0.008235194,0.009045912,0.099803721,0.050904591,0.008747226,0.009301929,0.015147636,0.017494453,0.052270012,0.007595153,0.015190306,0.022614781,0.008960573,0.013398191,0.008448541,0.037805086,0.007979177,0.009771292,0.013355521,0.057262331,0.065070831,0.015232975,0.011008705,0.027692439,0.018817204,0.014464926,0.013398191,0.007296467,0.010838027,0.008277863,0.012843489,0.023169483,0.005589691,0.00563236,0.0078085,0.015830346,0.013142174,0.004608295,0.024620242,0.011179382,0.011947431,0.013398191,0.026540365,0.031703362,0.029271207,0.012544803,0.01271548,0.020267964,0.015403653,0.020438641,0.008363202,0.024406895,0.007381806,0.020694658,0.013696877,0.031660693,0.011478068,0.012246117,0.009344598,0.013270183,0.021164021,0.014720942,0.01625704,0.009685953,0.014208909,0.026625704,0.018262502,0.038530466,0.064260113,0.028289811,0.034818228,0.05380611,0.076591569,0.009301929,0.022230756,0.032812767,0.040322581,0.004821642,0.034647551,0.02052398,0.031063321,0.008704557,0.011563407,0.038103772,0.009856631,0.00145076,0.017963816,0.052824714,0.045400239,0.006443079,0.005717699,0.017793139,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;
