Taxonomy,A2f,A7f,A11f,A14f,B2f,B7f,B11f,B14f,C2f,C7f,C11f,C14f,D2f,D7f,D11f,D14f,E2f,E7f,E11f,E14f,F2f,F7f,F11f,F14f,A3f,A6f,A10f,A15f,B3f,B6f,B10f,B15f,C3f,C6f,C10f,C15f,D3f,D6f,D10f,D15f,E3f,E6f,E10f,E15f,F3f,F6f,F10f,F15f,A1f,A8f,A9f,A16f,B1f,B8f,B9f,B16f,C1f,C8f,C9f,C16f,D1f,D8f,D9f,D16f,E1f,E8f,E9f,E16f,F1f,F8f,F9f,F16f,A4f,A5f,A12f,A13f,B4f,B5f,B12f,B13f,C4f,C5f,C12f,C13f,D4f,D5f,D12f,D13f,E4f,E5f,E12f,E13f,F4f,F5f,F12f,F13f,Tax_detail
Talaromyces_pinophilus,0.010155317,0,0.183137054,0,0.017153098,0,0.000298686,0,0.005376344,0.000256016,0.000170678,0,0.002901519,0.001578768,0.00068271,0,0.003498891,0.000341355,0.000170678,4.27E-05,0.061145247,0.000170678,0.002645503,0,0.12254651,0.002389486,0,0.022742789,0.015360983,0.005034989,0,0.002901519,0.013355521,0.001621437,0,0.031703362,0.008747226,0.006187063,0,0.006485748,0.011563407,0.007125789,0.000128008,0.00285885,0.005205666,0.003242874,0,0.032130056,0.007979177,8.53E-05,0,0.007168459,0.007253798,0.001237413,0,0.002944188,0.003370882,0.000554702,0,0.008619218,0.001578768,0.002517494,0,0.001834784,0.007552483,0.000597372,0.000128008,0.00281618,0.024577573,0.026113671,0,0.001962792,0.049283154,0.006784434,0,0,0.046168288,0.0177078,0,0,0.03042328,0.383384537,4.27E-05,0.000810719,0.014806281,0.074074074,0,0.006741765,0.018945212,0.330303806,0.000213347,0.000170678,0.021292029,0.087770951,0,0.000170678,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Talaromyces;s__Talaromyces_pinophilus;
Neoascochyta_desmazieri,0.000469363,0,0,0.000170678,0,0,0,0,0,0.001194743,0.000128008,0,0.000213347,0.00213347,0.00145076,0.000426694,0,0,0.000256016,0.000170678,0,0,0,0,0,0,0,0,0,4.27E-05,0.000341355,0,0,0,0.371735791,0,0.000810719,0.010240655,0.022486772,0,0,0.000213347,0.003584229,0,0,0.001237413,0.000128008,0,0,0,0,0,0,0,0,0,0.000853388,0,0,0,0,0.000128008,0.000512033,0.000256016,0,0,0,0,0,0,0,0,0,8.53E-05,0,0,0,8.53E-05,0,0,0,0,0.000810719,0,0,0.008960573,0.047235023,0,0,0.008405871,0.003157535,4.27E-05,0,0.014123571,0.001152074,0,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Neoascochyta;s__Neoascochyta_desmazieri;
Mortierella_alpina,0.009856631,0.203405018,0.062724014,0.174603175,0.052995392,0.277180406,0.100913125,0.172043011,0.040706605,0.013227513,0.028801843,0.076890254,0.032300734,0.014294248,0.012288786,0.005760369,0.038061103,0.027009729,0.025729647,0.017963816,0.024449565,0.005333675,0.010283325,0.022614781,0.010795358,0.029569892,0.035628947,0.118876941,0.288573135,0.064046766,0.039767878,0.251664107,0.065924219,0.308457075,0.009600614,0.034220857,0.019243898,0.011222052,0.007296467,0.011776754,0.050776583,0.028503158,0.03042328,0.027351084,0.028972521,0.013355521,0.009685953,0.050051203,0.053592763,0.153353815,0.175883257,0.065924219,0.048216419,0.174773852,0.103089264,0.114780679,0.149129544,0.01839051,0.150964328,0.033111452,0.02265745,0.011179382,0.026455026,0.010795358,0.022785458,0.00853388,0.030380611,0.073263356,0.025217614,0.00422427,0.040919952,0.036012971,0.036781021,0.025004267,0.023126813,0.167264038,0.180662229,0.176779314,0.036268988,0.149129544,0.045101553,0.037122376,0.0197986,0.040279911,0.053934118,0.011222052,0.005248336,0.00708312,0.066308244,0.016129032,0.011862093,0.03754907,0.031575354,0.063918757,0.016811743,0.013910224,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_alpina;
Myriodontium_keratinophilum,0.000170678,0.005845707,0.000597372,0.001493429,0.000640041,0.000896057,0.001322751,0.001024066,0.000469363,0.001237413,0.001962792,0.001792115,0.000213347,0.005162997,0.001578768,0.00072538,0.000938727,0.001706776,0.003157535,0.001578768,0.000298686,0.29458952,0.005888377,0.002474825,0.000512033,0.00281618,0.000426694,0.000640041,0.000384025,0.002474825,0.000512033,0.000128008,0.000213347,0.000341355,0,0.000213347,0,0.000768049,0,0.000298686,0.000213347,0.001024066,0.000597372,4.27E-05,0,0.000768049,0.000810719,0.00140809,0.000256016,0.000213347,0.001024066,0.002005462,0.000213347,0.000597372,0.001152074,0.009429937,0,0.000938727,0.000640041,0.001962792,0.000213347,0.000512033,0.000469363,0.002048131,0.000469363,0.000768049,0.00213347,0.001536098,0.000256016,0.00072538,0.000554702,0.001322751,0.000384025,0.005376344,0.000341355,0.000298686,0.001621437,0.000341355,0.000981396,0.001066735,0.00145076,0,0.000938727,0.00145076,0.001322751,0.000341355,0.000384025,0.00281618,0.000938727,8.53E-05,0.000981396,0.000384025,0.001962792,0.000810719,0.000512033,0.00285885,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenaceae;g__Myriodontium;s__Myriodontium_keratinophilum;
Hygrocybe_sp,0,0,0,0,0.000896057,0,0,0,0.000640041,0,0,0,0,0,0,0,0,0,0,0,0.00068271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000554702,0,0,0,0,0,0,0,0,0.012075439,0,0,0,0.217997952,0,0,0.033154122,0.027521761,0,0,0,0.027393753,0,0,0.000512033,0.002432156,0,0,0,0.012118109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrocybe;s__Hygrocybe_sp;
Articulospora_proliferata,0.041901348,0.000768049,0.000810719,0.002048131,0.01625704,8.53E-05,0.000981396,0.000128008,0.002432156,0,0.000597372,0.000768049,0.000341355,0.004096262,0.00145076,0.002602833,0.002304147,0.000640041,0.000512033,0.000170678,0.021633385,4.27E-05,0.021548046,0.001365421,0.000170678,0.000512033,0.000981396,0.03614098,0.000298686,0.003114866,0.000384025,0.000512033,0,4.27E-05,0,0.000341355,0.00145076,0.000128008,0.001877453,0.000981396,0.002432156,0.000213347,0.000597372,0.080090459,0.000213347,0.215693804,0.001792115,0,4.27E-05,0.001365421,0.002176139,0.00635774,0,0.000128008,0.000768049,0.001194743,0.000810719,0.00072538,0.009600614,0.005120328,0.000768049,0.000341355,0.003242874,0.001194743,0.002176139,0.000213347,0.000938727,0.00213347,0.001109404,0.028673835,0,8.53E-05,0.001237413,0.004010923,0,0.012800819,0.000170678,0.000128008,4.27E-05,0.003882915,0,0,0,0,0.000938727,0.000298686,0,0.000640041,0,0.000640041,0.000256016,0.000128008,0.000128008,0,0,0,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Articulospora;s__Articulospora_proliferata;
Cladosporium_herbarum,0.01629971,0.003925585,0.001024066,0.001792115,0.027180406,0.003456221,0.002048131,0.005504352,0.026369688,0.008661888,0.025345622,0.015659669,0.045229561,0.022572111,0.07646356,0.047832395,0.004608295,0.002005462,0.006912442,0.006272401,0.001322751,0.000554702,0.00072538,0.00068271,0.000810719,0.00145076,0.001237413,0.004352279,0.000938727,0.001152074,0.019329237,0.000554702,0.138163509,0.005973716,0.061273255,0.000256016,0.088325653,0.03259942,0.039341185,0.007253798,0.009984639,0.00140809,0.003328213,0.01203277,0.000298686,0.001322751,0.000597372,8.53E-05,0.005973716,0.038359788,0.018902543,0.005120328,0.036396996,0.019926609,0.009813961,0.035714286,0.040109234,0.009472606,0.028801843,0.008363202,0.055299539,0.034562212,0.078938385,0.026668373,0.018347841,0.000981396,0.007979177,0.003200205,0.00708312,0.001877453,0.002432156,0.001578768,0.06724697,0.006699095,0.014976959,0.007509814,0.031063321,0.032471412,0.024406895,0.004778973,0.002005462,0.003157535,0.055768903,0.010283325,0.026711043,0.109361666,0.213432326,0.007040451,0.000640041,0.013910224,0.026241679,0.00567503,0.000170678,0.00068271,0.017153098,0.00140809,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_herbarum;
Podila_minutissima,0.000512033,0.003797576,0.004096262,0.008576549,0.000512033,0.001877453,0.006144393,0.017451784,0.013696877,0.019201229,0.052056665,0.088282983,0.004650964,0.002432156,0.006101724,0.005845707,0.00213347,0.009600614,0.024193548,0.123015873,0.001280082,0.002432156,0.005504352,0.013184844,0.004437617,0.006613757,0.006571087,0.013696877,0.004650964,0.004650964,0.025430961,0.011008705,0.009003243,0.020779997,0.025772316,0.00640041,0.003072197,0.00567503,0.014336918,0.003797576,0.00494965,0.003968254,0.112945895,0.005973716,0.001792115,0.009728623,0.00354156,0.00354156,0.016129032,0.013099505,0.008064516,0.006016385,0.002176139,0.022913466,0.003029527,0.009088582,0.016513057,0.037079706,0.010539341,0.001365421,0.002048131,0.009643284,0.008021847,0.002901519,0.002602833,0.009045912,0.016598396,0.195809865,0.003626899,0.010197986,0.03119133,0.044418843,0.000896057,0.002730841,0.016129032,0.016385049,0.003413552,0.025857655,0.013270183,0.040023895,0.007125789,0.006101724,0.027095067,0.117298174,0.001834784,0.00213347,0.004565626,0.033111452,0.01416624,0.003712238,0.013952893,0.107100188,0.002517494,0.005973716,0.011691415,0.006571087,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Podila;s__Podila_minutissima;
Neoascochyta_europaea,0.192823007,0.000170678,0,0,0.044418843,8.53E-05,0,0,0.008363202,0.001194743,0,0,0.029527223,0.001621437,0.000554702,0,0.004096262,0,0,0,0.000512033,0,0,0,0.000341355,4.27E-05,0,0.000170678,0.000170678,0,0,4.27E-05,0,0,0,0,0.00072538,0.000981396,0.001024066,0,0,0,0,0,0.000170678,0.000384025,0,0,0.000213347,0,0,0,0,0,0,0,0,0,0,0,0,4.27E-05,0.002986858,0,0,0,0,0,0,0,0,0,0,0,0,0.000128008,0,0,0,0.000298686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Neoascochyta;s__Neoascochyta_europaea;
Lecanicillium_dimorphum,0,0.000938727,8.53E-05,0,0.000341355,0.002176139,0.00068271,0.000426694,0.000426694,0.001237413,0.001621437,0.000213347,8.53E-05,0.000554702,0.000384025,0.000426694,4.27E-05,0.000256016,0.00281618,8.53E-05,0,0,0,0,0.000170678,8.53E-05,0,0,0,0,0,8.53E-05,0.000128008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000170678,0,0.000341355,0.000128008,0.000384025,4.27E-05,0.006272401,0.001280082,0.000640041,0,0.00072538,0.00068271,0.000512033,0,0.000213347,0.174347158,0.000298686,0.000213347,8.53E-05,0,0,0,0,0,0.000341355,0,8.53E-05,0.000128008,0.000170678,0.000256016,0.000128008,0.000554702,0.000170678,0.000256016,0.000170678,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Lecanicillium;s__Lecanicillium_dimorphum;
