KO_Hierarchy,A1b,A2b,A3b,A4b,A5b,A6b,A7b,A8b,A9b,A10b,A11b,A12b,A13b,A14b,A15b,A16b,B1b,B2b,B3b,B4b,B5b,B6b,B7b,B8b,B9b,B10b,B11b,B12b,B13b,B14b,B15b,B16b,C1b,C2b,C3b,C4b,C5b,C6b,C7b,C8b,C9b,C10b,C11b,C12b,C13b,C14b,C15b,C16b,D1b,D2b,D3b,D4b,D5b,D6b,D7b,D8b,D9b,D10b,D11b,D12b,D13b,D14b,D15b,D16b,E1b,E2b,E3b,E4b,E5b,E6b,E7b,E8b,E9b,E10b,E11b,E12b,E13b,E14b,E15b,E16b,F1b,F2b,F3b,F4b,F5b,F6b,F7b,F8b,F9b,F10b,F11b,F12b,F13b,F14b,F15b,F16b,description
Translation,0.115241159,0.11946287,0.116533952,0.118840463,0.113813479,0.11819052,0.120922737,0.116848212,0.12100617,0.116881913,0.118422219,0.123138742,0.120477931,0.117687554,0.117235673,0.117208355,0.114445486,0.117544489,0.116372882,0.117240611,0.115430323,0.118190368,0.119001639,0.124894822,0.11704699,0.117146651,0.121550951,0.118638851,0.119645587,0.118967626,0.117074893,0.123685612,0.113460157,0.115482704,0.115283046,0.118801292,0.1201855,0.119779447,0.117654057,0.115208074,0.116987904,0.115373949,0.115656081,0.119808719,0.119666311,0.119069827,0.116224556,0.114273682,0.113619807,0.114540581,0.117654637,0.11828259,0.116183393,0.119622654,0.111166267,0.116185482,0.120769943,0.126303315,0.124854137,0.117588499,0.116181335,0.114255227,0.118501786,0.114380956,0.113243208,0.11843655,0.111836728,0.121233208,0.117096179,0.117701691,0.117824235,0.119696145,0.121056536,0.123373826,0.117581081,0.121478102,0.115106384,0.116946762,0.115615521,0.113513669,0.115506582,0.115472249,0.115961065,0.115457957,0.111996551,0.11440202,0.118686569,0.116491147,0.115963046,0.118210217,0.115417808,0.118577032,0.117957879,0.110657351,0.113151916,0.112686889,Genetic Information Processing;Translation
Amino   acid   metabolism,0.108774142,0.109420878,0.109655737,0.110150532,0.107595448,0.112364591,0.115575936,0.112610606,0.115540397,0.112127567,0.113952183,0.117333248,0.114695511,0.11204444,0.11169423,0.10933461,0.106635615,0.10935686,0.112569962,0.111965246,0.112208686,0.114250161,0.113311037,0.118275155,0.112457921,0.111220549,0.115236455,0.113815633,0.113429962,0.113278248,0.109992307,0.116120321,0.107838566,0.107997412,0.112333691,0.113576376,0.114020963,0.112144907,0.110371172,0.109265422,0.110869214,0.110406761,0.110763969,0.11620693,0.113338948,0.113234805,0.10928151,0.109022778,0.110726457,0.109954588,0.114317853,0.111761752,0.109906079,0.114099753,0.105447428,0.112897728,0.116493144,0.12068485,0.119944055,0.112615818,0.11045154,0.106597646,0.110729169,0.108003247,0.107014055,0.110944783,0.109203996,0.114397303,0.111887509,0.113233421,0.113771077,0.113836442,0.115440546,0.117244825,0.112183093,0.115326621,0.111003616,0.111974604,0.10959979,0.10851862,0.110923947,0.108949021,0.111643437,0.109619462,0.108035068,0.110439733,0.112884999,0.111462163,0.112568658,0.111659591,0.110406978,0.113536207,0.108795581,0.106322595,0.107674562,0.106127233,Metabolism;Amino   acid   metabolism
Carbohydrate   metabolism,0.109668713,0.108848991,0.108480144,0.108214532,0.108833264,0.106946882,0.105821288,0.106428561,0.104822605,0.1062287,0.106354252,0.10512871,0.10645994,0.107669046,0.10839001,0.106968362,0.107508965,0.107637198,0.107759307,0.10668391,0.107756256,0.106076088,0.106208907,0.104055264,0.106327867,0.106287317,0.105519548,0.106392344,0.106737871,0.10637618,0.107528405,0.105818241,0.108423393,0.108131686,0.108249827,0.106778325,0.106189131,0.106837003,0.107526122,0.107186593,0.106430873,0.106830112,0.106951655,0.106947788,0.106105056,0.106326084,0.108612228,0.109370082,0.109272835,0.1088068,0.106719863,0.107499961,0.108027291,0.106591157,0.108128167,0.10778389,0.10587357,0.104160923,0.104463137,0.106842142,0.108997647,0.108093264,0.10805007,0.107424176,0.107518623,0.108154481,0.109800185,0.107058698,0.108807626,0.107072579,0.107497499,0.106239045,0.105953115,0.105513968,0.107378124,0.106032355,0.109474755,0.108199564,0.109405021,0.108548193,0.109268529,0.109560135,0.108512735,0.109522512,0.109030301,0.107944484,0.106633196,0.106884851,0.107090165,0.107513353,0.107601145,0.107441771,0.108565459,0.10847556,0.108281278,0.108647041,Metabolism;Carbohydrate   metabolism
Membrane   transport,0.081297297,0.081667187,0.082244237,0.081629921,0.084843464,0.078147559,0.073623013,0.077694607,0.07548034,0.078124482,0.076020942,0.071775279,0.074752713,0.07756873,0.076881377,0.084646787,0.089466387,0.08342041,0.076396369,0.07929127,0.076355655,0.075195613,0.077139067,0.071637166,0.078783966,0.080285179,0.075043553,0.076068952,0.0765134,0.078031514,0.08182707,0.073540438,0.08459287,0.085102176,0.075647286,0.076652399,0.076729542,0.078336847,0.081999795,0.084269543,0.082238777,0.08154354,0.080582182,0.070248752,0.07821643,0.077915617,0.08175867,0.079903537,0.077261543,0.080195382,0.075201564,0.080044594,0.082040683,0.075586503,0.08937821,0.074675898,0.072176577,0.06702463,0.068379495,0.078677788,0.079562772,0.088728047,0.080929405,0.086568962,0.089297442,0.079971787,0.078722077,0.075400728,0.076190742,0.076675755,0.074439647,0.076682671,0.07451281,0.07150017,0.077965269,0.07436059,0.076667912,0.076787268,0.080293125,0.082576454,0.077374306,0.080365449,0.077631178,0.079351587,0.082339201,0.080188772,0.078489419,0.079812624,0.077493164,0.079195834,0.081389534,0.075399668,0.083806079,0.086240928,0.08393238,0.086153701,Environmental Information Processing;Membrane   transport
Replication   and   repair,0.068083189,0.066909775,0.066971104,0.066951028,0.06593955,0.06985781,0.072187163,0.070573813,0.071016341,0.070898785,0.0711333,0.072368243,0.071182752,0.070254984,0.070755358,0.066025591,0.063849919,0.067113889,0.07102842,0.069530596,0.071695609,0.071854964,0.07050583,0.071987455,0.069885864,0.069558266,0.070963721,0.071498264,0.07041772,0.069870044,0.068270092,0.070972967,0.067137881,0.066782269,0.072177838,0.070681532,0.070620184,0.069324804,0.067235994,0.066864109,0.06862342,0.068967118,0.069644462,0.074557607,0.069441121,0.069978882,0.068258955,0.069616412,0.071714513,0.070115632,0.071714699,0.068586231,0.067770295,0.070934284,0.064982283,0.072928929,0.073120852,0.074769441,0.074156692,0.069922616,0.069136779,0.064443877,0.068001826,0.066275118,0.064744112,0.069025773,0.071138293,0.070876178,0.071345482,0.07128776,0.072373868,0.070693305,0.071484371,0.072740321,0.070418922,0.071747575,0.071162866,0.071000519,0.069182355,0.068584119,0.070729792,0.069655434,0.070586951,0.069579015,0.069418135,0.069456507,0.069689424,0.06968987,0.071155021,0.069136332,0.068984053,0.071430224,0.066169356,0.066964191,0.067859444,0.066289234,Genetic Information Processing;Replication   and   repair
Energy   metabolism,0.048574967,0.048553925,0.048617456,0.048958684,0.047015522,0.051446108,0.054193664,0.051935913,0.053798071,0.05196016,0.052920265,0.05521265,0.0532817,0.051477815,0.051413124,0.048208938,0.0458485,0.048652704,0.05204465,0.051191592,0.052099868,0.053447425,0.05241617,0.055622222,0.051616811,0.050940293,0.053599791,0.053066918,0.052431837,0.052078799,0.049646211,0.053909935,0.047785159,0.047834483,0.052323115,0.052480572,0.052669809,0.051355947,0.049223078,0.048516457,0.050266612,0.050277991,0.050690834,0.055453201,0.051991897,0.052045498,0.049089735,0.049429774,0.051271328,0.050213623,0.05318695,0.050479965,0.049084216,0.052761015,0.045590253,0.052877004,0.055030258,0.058080513,0.057327528,0.051603616,0.049911851,0.046065199,0.049599994,0.047556101,0.04662068,0.050242575,0.050192735,0.052943243,0.051546272,0.052439122,0.053171547,0.052565399,0.053729926,0.05530929,0.051531288,0.05381967,0.051088959,0.051638101,0.049596165,0.048760802,0.050811227,0.049545,0.051296435,0.049691776,0.049007783,0.050152911,0.051766897,0.05088289,0.052133719,0.050727326,0.04999484,0.052669042,0.047931315,0.047131804,0.048384861,0.046876731,Metabolism;Energy   metabolism
Lipid   metabolism,0.041080569,0.040245453,0.041455395,0.040388245,0.044243061,0.036884805,0.032851726,0.036501165,0.03428979,0.035938123,0.035379293,0.032251932,0.03492639,0.036992331,0.037228427,0.041611693,0.044852562,0.040371401,0.036687513,0.037600153,0.036397124,0.03450113,0.035769188,0.031647898,0.036988678,0.03727125,0.034095164,0.034778647,0.035968957,0.036446971,0.039251081,0.03379896,0.041999107,0.041277378,0.035451572,0.03574189,0.035232664,0.036917581,0.040480978,0.041762346,0.03775707,0.038772274,0.037725997,0.030554922,0.036835684,0.03622733,0.039960784,0.039586055,0.036942048,0.038053697,0.03500751,0.038276847,0.040316595,0.035333531,0.045208578,0.034053991,0.031657392,0.027500203,0.028915148,0.036702534,0.039293414,0.044312278,0.039088613,0.041995391,0.043634386,0.037686771,0.038827509,0.034535984,0.035741714,0.035085832,0.0341322,0.035040167,0.033505631,0.031159419,0.036238813,0.032983047,0.037761188,0.036363333,0.039016304,0.040344029,0.037186447,0.038164527,0.037252298,0.039152128,0.039957624,0.038843995,0.036441047,0.037525281,0.035652645,0.037672474,0.038646717,0.03529682,0.041498383,0.043326143,0.041160847,0.043412859,Metabolism;Lipid   metabolism
Metabolism   of   cofactors   and   vitamins,0.036777548,0.036920827,0.036853265,0.03724175,0.035532339,0.039265816,0.041650245,0.039599662,0.041416422,0.039640436,0.040500399,0.042587914,0.040884467,0.039271048,0.039231694,0.036576622,0.034544983,0.037000508,0.039618697,0.039030438,0.039650261,0.040874144,0.040084964,0.042986848,0.03934178,0.038806148,0.041157491,0.040650968,0.040137324,0.039849247,0.037751253,0.041553798,0.036048836,0.036214708,0.039802083,0.040169894,0.040416919,0.039140475,0.037404218,0.03677859,0.038230286,0.038179699,0.038494117,0.042573083,0.039765461,0.039824125,0.0372546,0.037456632,0.038863992,0.038110474,0.040660858,0.038514906,0.037234129,0.040384408,0.034160434,0.040313352,0.04230603,0.045041948,0.044383098,0.039393601,0.037945637,0.034697625,0.037797766,0.035982323,0.035123358,0.038301193,0.037928059,0.040669337,0.039274888,0.040053797,0.040637655,0.040263497,0.04127844,0.042654189,0.039305251,0.041381842,0.03882927,0.039349764,0.037593167,0.036845594,0.038563503,0.03756272,0.039005616,0.037664128,0.036975216,0.038002088,0.039542847,0.038754392,0.039692053,0.038634759,0.037954701,0.040335536,0.036341126,0.03532433,0.036434009,0.035149122,Metabolism;Metabolism   of   cofactors   and   vitamins
Nucleotide   metabolism,0.033046113,0.033149891,0.033082702,0.033552139,0.031122503,0.036607112,0.040006342,0.037107272,0.039329666,0.037246595,0.038240649,0.041124531,0.038721307,0.03654677,0.036457105,0.032676459,0.029781514,0.033307487,0.037109822,0.036184871,0.037245248,0.038883822,0.037666331,0.041634061,0.036677768,0.035996937,0.039135373,0.038443238,0.037626656,0.037212856,0.0343741,0.039622715,0.03210501,0.032249901,0.037544582,0.037713724,0.038067928,0.036353037,0.033796913,0.03289192,0.035167479,0.035030008,0.035527924,0.041483235,0.03705384,0.037265813,0.033685963,0.034077837,0.036239189,0.035027327,0.038559773,0.035386307,0.033684169,0.038131071,0.029441367,0.038434647,0.040950755,0.044685213,0.043735308,0.036769666,0.034643221,0.030071,0.034425399,0.031992898,0.030614335,0.035237569,0.034872434,0.038411539,0.036823044,0.037829646,0.038683975,0.038044025,0.039436625,0.041341844,0.036740531,0.039607414,0.036040338,0.036833258,0.03426642,0.033333798,0.035803328,0.034321237,0.036251457,0.034395628,0.033516456,0.034915918,0.036909302,0.035992936,0.037390271,0.035718219,0.034804396,0.038062883,0.032302642,0.031125529,0.032602356,0.030764245,Metabolism;Nucleotide   metabolism
"Folding,   sorting   and   degradation",0.038721861,0.04024736,0.039168751,0.0396761,0.039867559,0.036705811,0.034739938,0.03569528,0.035435595,0.035625567,0.035320491,0.034694832,0.035761336,0.036542125,0.036529688,0.03980963,0.041224075,0.039397396,0.035481879,0.036695852,0.035017802,0.034648501,0.036044167,0.034890772,0.036106982,0.036833768,0.035744616,0.03523194,0.036385644,0.03650261,0.038263172,0.036247363,0.038781567,0.039490715,0.034593994,0.035940483,0.036215809,0.037501425,0.03898702,0.038868859,0.037343665,0.036981332,0.036577929,0.032862349,0.036908095,0.036484287,0.038528394,0.037408784,0.035137441,0.036632571,0.034693605,0.037788405,0.038468037,0.035910938,0.040233315,0.034175875,0.033784079,0.0326769,0.032959759,0.036255961,0.03767311,0.040917308,0.038740989,0.039294806,0.039982747,0.037992142,0.035702316,0.036305398,0.035956231,0.035364187,0.034630761,0.035997409,0.035258926,0.034483102,0.036271531,0.035273338,0.035976821,0.035997972,0.03768458,0.037710533,0.036231627,0.037613117,0.036084116,0.037600002,0.036951822,0.036620263,0.036566782,0.036574438,0.035015254,0.037428592,0.037159421,0.035578954,0.040399345,0.038516489,0.038199905,0.039650726,"Genetic Information Processing;Folding,   sorting   and   degradation"
