feature,A2f,A7f,A11f,A14f,A3f,A6f,A10f,A15f,A1f,A8f,A9f,A16f,A4f,A5f,A12f,A13f,B2f,B7f,B11f,B14f,B3f,B6f,B10f,B15f,B1f,B8f,B9f,B16f,B4f,B5f,B12f,B13f,C2f,C7f,C11f,C14f,C3f,C6f,C10f,C15f,C1f,C8f,C9f,C16f,C4f,C5f,C12f,C13f,D2f,D7f,D11f,D14f,D3f,D6f,D10f,D15f,D1f,D8f,D9f,D16f,D4f,D5f,D12f,D13f,E2f,E7f,E11f,E14f,E3f,E6f,E10f,E15f,E1f,E8f,E9f,E16f,E4f,E5f,E12f,E13f,F2f,F7f,F11f,F14f,F3f,F6f,F10f,F15f,F1f,F8f,F9f,F16f,F4f,F5f,F12f,F13f,description
Undefined_Saprotroph,0.232804233,0.527095067,0.598139614,0.466632531,0.517323775,0.352918587,0.373570575,0.505291005,0.418458781,0.397465438,0.367938215,0.446065882,0.460274791,0.404249872,0.385048643,0.532684758,0.365676737,0.520609319,0.538871821,0.507723161,0.585978836,0.317502987,0.354027991,0.448711384,0.285159584,0.443761734,0.391022359,0.431814303,0.509045912,0.415599932,0.303080731,0.4369773,0.336064175,0.328383683,0.320276498,0.362391193,0.360300393,0.458610684,0.181600956,0.467869944,0.419909541,0.394777266,0.405871309,0.536738351,0.409754224,0.637950162,0.275857655,0.247311828,0.436763953,0.305768903,0.231054788,0.355222734,0.263952893,0.254736303,0.217016556,0.411034306,0.378136201,0.344128691,0.31656426,0.354155999,0.397508107,0.347670251,0.13244581,0.360215054,0.359190988,0.50422427,0.318612391,0.289511862,0.334442738,0.3286397,0.337514934,0.333845366,0.332821301,0.246159754,0.324714115,0.265190306,0.272828128,0.464627069,0.213474996,0.318783069,0.407791432,0.216803209,0.338453661,0.40651135,0.466163168,0.432411674,0.249914661,0.458482676,0.41999488,0.459677419,0.247567844,0.415898618,0.415514593,0.353131934,0.288359788,0.24854924,Undefined_Saprotroph
Unassigned,0.348480969,0.22665984,0.209378734,0.293437447,0.260411333,0.400238949,0.392430449,0.20041816,0.178102065,0.357740229,0.409839563,0.235748421,0.171616317,0.346134153,0.397806793,0.165855948,0.220558116,0.243343574,0.25281618,0.234340331,0.233188257,0.442182966,0.395972009,0.143966547,0.167434716,0.344470046,0.362647209,0.239417989,0.218894009,0.347328896,0.433734426,0.27338283,0.310291859,0.308841099,0.356630824,0.318356375,0.215779143,0.408943506,0.612817887,0.162143711,0.24645844,0.324287421,0.366359447,0.145972009,0.256869773,0.143198498,0.383341867,0.403268476,0.244965011,0.282258065,0.384152586,0.196236559,0.178870114,0.417221369,0.311870626,0.167264038,0.188897423,0.338624339,0.347158218,0.13667008,0.196833931,0.19047619,0.25140809,0.215224441,0.201442226,0.263312852,0.351041133,0.450460829,0.257381806,0.472179553,0.470899471,0.165130568,0.316222905,0.607228196,0.421915003,0.543053422,0.463005632,0.315454856,0.430662229,0.346944871,0.213560335,0.584741423,0.42349377,0.321300563,0.251834784,0.40015361,0.487156511,0.221326165,0.275430961,0.313961427,0.602065199,0.258704557,0.23088411,0.377752176,0.333077317,0.290791944,Unassigned
Endophyte-Plant_Pathogen,0.022102748,0.009685953,0.007296467,0.012374125,0.007851169,0.004778973,0.008917904,0.012800819,0.010838027,0.056195597,0.021334699,0.011392729,0.071129886,0.011136713,0.024748251,0.010710019,0.037335723,0.008747226,0.004522956,0.012331456,0.006571087,0.005376344,0.042200034,0.002304147,0.050605905,0.033708824,0.018091825,0.05244069,0.041218638,0.041858679,0.037463731,0.01702509,0.040407919,0.015232975,0.033367469,0.025217614,0.213560335,0.014507595,0.088453661,0.002560164,0.051459293,0.013270183,0.032812767,0.017067759,0.008747226,0.007680492,0.068996416,0.026241679,0.069167093,0.028375149,0.088624339,0.1260454,0.20822666,0.080901178,0.075439495,0.023126813,0.083674689,0.042840075,0.089648404,0.081071855,0.034903567,0.170336235,0.271078682,0.012203448,0.010752688,0.005845707,0.010966035,0.009131251,0.136584741,0.005803038,0.013270183,0.128776242,0.026455026,0.002560164,0.010112647,0.010454002,0.002986858,0.023510838,0.03968254,0.010240655,0.003157535,0.002048131,0.003797576,0.005717699,0.013568868,0.008789896,0.008405871,0.001536098,0.011392729,0.002986858,0.003584229,0.003712238,0.00499232,0.005845707,0.026753712,0.00567503,Endophyte-Plant_Pathogen
Plant_Pathogen,0.117468851,0.082095921,0.045954941,0.05662229,0.052270012,0.072025943,0.062980031,0.061187916,0.09630483,0.076847585,0.06583888,0.089605735,0.114183308,0.084229391,0.063406725,0.069209763,0.14447858,0.079151732,0.049283154,0.075567503,0.03400751,0.062254651,0.046338966,0.023980201,0.068484383,0.063321386,0.083162656,0.061102577,0.077146271,0.046509643,0.081114525,0.054659498,0.100102407,0.107441543,0.076207544,0.076975593,0.03754907,0.031319338,0.018774535,0.072068612,0.088112306,0.078084997,0.059907834,0.100913125,0.097414235,0.029185868,0.059139785,0.065497525,0.054275474,0.177334016,0.043266769,0.08994709,0.033196791,0.068399044,0.064260113,0.071300563,0.058414405,0.093445981,0.061955965,0.037634409,0.103857314,0.041005291,0.065241509,0.121863799,0.118919611,0.056878307,0.105180065,0.072068612,0.068441714,0.064046766,0.04535757,0.036951698,0.059438471,0.055342209,0.064004096,0.037805086,0.091781874,0.071172555,0.074159413,0.068655061,0.083333333,0.072879331,0.054232804,0.06942311,0.049240485,0.05167264,0.045485578,0.055555556,0.05666496,0.069252432,0.046168288,0.097414235,0.140424987,0.061913296,0.14661205,0.248421232,Plant_Pathogen
Plant_Pathogen-Soil_Saprotroph-Wood_Saprotroph,0.167477385,0.087685612,0.050605905,0.078725038,0.069935143,0.105564089,0.105009387,0.094128691,0.144819935,0.060291859,0.068399044,0.132317802,0.117255504,0.071940604,0.06801502,0.120327701,0.097883598,0.090288445,0.06660693,0.09208056,0.049795187,0.080901178,0.074628776,0.086533538,0.098566308,0.065454856,0.081199863,0.080559822,0.092421915,0.071599249,0.068612391,0.110599078,0.12113842,0.138334187,0.087728281,0.098054275,0.096176822,0.050349889,0.044290835,0.138547534,0.088453661,0.123101212,0.078725038,0.110087046,0.134920635,0.109660352,0.125405359,0.144734596,0.116231439,0.145844001,0.152329749,0.128690903,0.1260454,0.116530125,0.240356716,0.185654549,0.163978495,0.116359447,0.099761051,0.089051033,0.163765148,0.137096774,0.210402799,0.147636115,0.174133811,0.087941628,0.125960061,0.112263185,0.125704045,0.083333333,0.086234852,0.102534562,0.13948626,0.05239802,0.096603516,0.100230415,0.134067247,0.095024748,0.155657962,0.141961086,0.207757296,0.068783069,0.100443762,0.108636286,0.130739034,0.057006315,0.086106844,0.161162314,0.135902031,0.076975593,0.047064345,0.116359447,0.145972009,0.133939239,0.128520225,0.108550947,Plant_Pathogen-Soil_Saprotroph-Wood_Saprotroph
Animal_Pathogen,0.006016385,0.010880696,0.011435399,0.011734084,0.011904762,0.025729647,0.010197986,0.045101553,0.073348694,0.011222052,0.014422256,0.011136713,0.012587472,0.027436423,0.009600614,0.028119133,0.019969278,0.010240655,0.014550265,0.013270183,0.004480287,0.00921659,0.007595153,0.187147977,0.00853388,0.008661888,0.017835808,0.01911589,0.009344598,0.015190306,0.012160778,0.039298515,0.008576549,0.02052398,0.049197815,0.015787677,0.011222052,0.006016385,0.00494965,0.051629971,0.012416795,0.016811743,0.010112647,0.022188087,0.011520737,0.008107186,0.009728623,0.042072026,0.017153098,0.012160778,0.0098993,0.013398191,0.004138932,0.008021847,0.005803038,0.051757979,0.011094043,0.014806281,0.007296467,0.239204642,0.005162997,0.028247141,0.00426694,0.025772316,0.060035842,0.013227513,0.018177163,0.014507595,0.00776583,0.007936508,0.014678273,0.031788701,0.016001024,0.010155317,0.011862093,0.008619218,0.00640041,0.00853388,0.018347841,0.055086192,0.008064516,0.021377368,0.010197986,0.016598396,0.009813961,0.009088582,0.078682369,0.036695682,0.016897081,0.034604881,0.012971497,0.023254822,0.007509814,0.030593958,0.035543608,0.034135518,Animal_Pathogen
Undefined_Saprotroph-Undefined_Biotroph,0,0,0,0,0,0,0,0,0.012160778,0,0,0,0,0,0,0,0.000853388,0,0,0,0,0,0,8.53E-05,0.21812596,0,0,0.033111452,0,0,0,0,0.000640041,0,0,0,0,0,0,0,0.027564431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000554702,0.027308414,0,0,0.000554702,0,0,0,0,0,0,0,0,0,0,0,0,0.002474825,0,0,0,0,0,0,0,0.00072538,0,0,0,0,0,0,0,0.012246117,0,0,0,0,0,0,0,Undefined_Saprotroph-Undefined_Biotroph
Animal_Pathogen-Endophyte-Plant_Pathogen-Wood_Saprotroph,0.006656426,0.001109404,0.000384025,0.00140809,0.000810719,0.002602833,0.000896057,0.005931046,0.001664107,0.003626899,0.000554702,0.001280082,0.000426694,0.000469363,0.000597372,0.000256016,0.01698242,0.000981396,0.001109404,0.000469363,0.000853388,0.000213347,0.004181601,0.001920123,0.003285544,0.002048131,0.000810719,0.009771292,0.002389486,0.000981396,0.00145076,0.001109404,0.013867554,0.000981396,0.004053593,0.005077658,0.009344598,0.000810719,0.005504352,0.000981396,0.003072197,0.000640041,0.0020908,0.005034989,0.001280082,0.00072538,0.000810719,0.00140809,0.011179382,0.000810719,0.010283325,0.027393753,0.047277692,0.007125789,0.022870797,0.011136713,0.00921659,0.001792115,0.012203448,0.014934289,0.017537122,0.005120328,0.026113671,0.001066735,0.001152074,0,0.000384025,0.001194743,0.007723161,0.000256016,0.000170678,0.150750981,0.001664107,8.53E-05,0,0.000170678,0.000469363,0.000768049,0.003029527,0.000469363,0.001109404,0.000426694,8.53E-05,0.000256016,0.000554702,0.000426694,0.000341355,0.000170678,0.000981396,0,0,0.000384025,0.000213347,0,0.000512033,4.27E-05,Animal_Pathogen-Endophyte-Plant_Pathogen-Wood_Saprotroph
Fungal_Parasite-Undefined_Saprotroph,0.06938044,0.00213347,0.000341355,0.001237413,0.005205666,0.002944188,0.00354156,0.002261478,0.001962792,0.004778973,0.006187063,0.004010923,0.003328213,0.007424475,0.002560164,0.003328213,0.037634409,0.001194743,0.002688172,0.002688172,0.000768049,0.000512033,0.010880696,0.00068271,0.017110428,0.000640041,0.007936508,0.011904762,0.000938727,0.000597372,0.004394948,0.003840246,0.013867554,0.005931046,0.006016385,0.051971326,0.000469363,0.001194743,0.003925585,0.000298686,0.01271548,0.000512033,0.003413552,0.001920123,0.001237413,0.000298686,0.002474825,0.00145076,0.009771292,0.006912442,0.009515276,0.020225294,0.09276327,0.014720942,0.018774535,0.006656426,0.013782215,0.002261478,0.018347841,0.006656426,0.004394948,0.012160778,0.003328213,0.001536098,0.001664107,0.000640041,0.001024066,0.00140809,0.006144393,0.000640041,0.001066735,0.010838027,0.002346817,0.000213347,0.000768049,0.00140809,0.000640041,0.000768049,0.006827104,0.00140809,0.003584229,0.000853388,0.004309609,0.002304147,0.00140809,0.000554702,0.003285544,0.000938727,0.006059054,0.001024066,0.003456221,0.003114866,0.002218809,0.000810719,0.006827104,0.007595153,Fungal_Parasite-Undefined_Saprotroph
Undefined_Saprotroph-Wood_Saprotroph,0.001280082,0.002474825,0.003072197,0.016769073,0.002517494,0.00213347,0.002176139,0.00426694,0.003797576,0.001834784,0.002304147,0.0098993,0.002389486,0.00563236,0.003669568,0.007723161,0.00285885,0.002688172,0.004352279,0.003370882,0.042200034,0.003498891,0.01271548,0.076676907,0.0020908,0.00422427,0.002730841,0.001664107,0.004010923,0.004864311,0.002688172,0.003029527,0.007637822,0.003882915,0.005291005,0.001237413,0.00354156,0.007979177,0.001237413,0.005333675,0.011051374,0.003626899,0.00140809,0.003669568,0.005034989,0.003072197,0.016086363,0.003712238,0.003584229,0.002944188,0.003968254,0.002986858,0.001877453,0.002261478,0.003840246,0.005547022,0.002645503,0.00213347,0.001237413,0.001109404,0.004096262,0.00285885,0.001152074,0.00285885,0.003456221,0.002901519,0.002901519,0.001493429,0.002304147,0.002944188,0.003029527,0.00140809,0.002773511,0.001706776,0.004522956,0.001834784,0.00145076,0.001834784,0.004010923,0.005205666,0.004352279,0.002901519,0.004138932,0.003669568,0.00567503,0.00213347,0.003626899,0.003370882,0.002176139,0.001578768,0.001578768,0.001877453,0.00563236,0.003285544,0.001664107,0.003029527,Undefined_Saprotroph-Wood_Saprotroph
