sampling_date,general_sampling_label,micro_sampling_label,plot,dna_ext_date,dna_eppendorf_label,dna_epp_FINAL_LABEL_BACTERIA_BATCH,dna_epp_FINAL_LABEL_FUNGHI_BATCH,Novogene_Group_name,soilsample_weight_g,DNA(ng/uL),A260/A280,A260/A230,A260,A280,nucleic_acid_factor,baseline_correction(nm),linebase_absorbance,OBS,,,
20230504,presampling,0(a),1,20230518,1.0,A1b,A1f,W.A,0.2533,164.265,1.895,0.586,3.285,1.733,50,340,11,,,,A
20230504,presampling,0(a),2,20230518,2.0,A2b,A2f,C.A,0.2526,71.993,1.879,0.298,1.440,0.766,50,340,8,,,,A
20230504,presampling,0(a),3,20230518,3.0,A3b,A3f,P.A,0.2498,140.221,1.888,1.001,2.804,1.485,50,340,8,,,,A
20230504,presampling,0(a),4,20230518,4.0,A4b,A4f,WP.A,0.2519,173.742,1.874,1.350,3.475,1.854,50,340,22,,,,A
20230504,presampling,0(a),5,20230518,5.0,A5b,A5f,WP.A,0.2498,178.836,1.894,0.463,3.577,1.889,50,340,-9,,,,A
20230504,presampling,0(a),6,20230518,6.0,A6b,A6f,P.A,0.2556,143.874,1.871,1.814,2.877,1.538,50,340,-12,Peso muy alto,,,A
20230504,presampling,0(a),7,20230616,7.0,A7b,A7f,C.A,0.2550,229.584,1.893,1.139,4.592,2.426,50,340,18,Peso muy alto,,,A
20230504,presampling,0(a),8,20230616,8.0,A8b,A8f,W.A,0.2507,158.222,1.883,1.560,3.164,1.680,50,340,28,,,,A
20230504,presampling,0(a),9,20230616,9.0,A9b,A9f,W.A,0.2512,212.988,1.890,1.372,4.260,2.254,50,340,23,,,,A
20230504,presampling,0(a),10,20230616,10.0,A10b,A10f,P.A,0.2498,164.336,1.890,0.429,3.287,1.739,50,340,8,,,,A
20230504,presampling,0(a),11,20230616,11.0,A11b,A11f,C.A,0.2506,182.488,1.881,1.839,3.650,1.940,50,340,19,,,,A
20230504,presampling,0(a),12,20230616,12.0,A12b,A12f,WP.A,0.2507,176.256,1.871,1.447,3.525,1.884,50,340,26,,,,A
20230504,presampling,0(a),13,20230616,13.0,A13b,A13f,WP.A,0.2496,174.941,1.884,1.950,3.499,1.857,50,340,28,,,,A
20230504,presampling,0(a),14,20230616,14.0,A14b,A14f,C.A,0.2530,199.108,1.884,0.994,3.982,2.114,50,340,38,,,,A
20230504,presampling,0(a),15,20230616,15.0,A15b,A15f,P.A,0.2498,173.986,1.880,1.769,3.480,1.851,50,340,56,,,,A
20230504,presampling,0(a),16,20230616,16.0,A16b,A16f,W.A,0.2506,186.911,1.890,1.977,3.738,1.978,50,340,42,,,,A
20230601,2,b,1,20230627,1b,B1b,B1f,W.B,0.2494,263.746,1.904,0.516,5.275,2.771,50,340,0.001,,,,B
