sampling,plot,code_old,code,abundance,nind_m2,OBS
13,4,vear,vear,1,20,
17,3,apar,apar,1,17,
15,6,vepe,vepe,1,15,
17,15,apar,apar,1,15,
17,16,shar,shar,1,14,
15,7,coar,coar,1,13,
15,7,shar,shar,1,13,
16,14,valo,valo,1,13,
14,2,rapa,rapa,1,12,
14,6,trre,trre,1,12,
17,6,pore,pore,1,12,
16,14,shar,shar,1,11,
16,15,apar,apar,1,11,
17,15,cegl,cegl,1,11,
13,12,casp,casp,2,20,
14,2,shar,shar,2,20,
14,6,rapa,rapa,1,10,
14,8,shar,shar,1,10,
14,13,vepe,vepe,1,10,
15,10,coar,coar,1,10,
15,12,mydi,mydi,1,10,
16,1,rapa,rapa,3,30,
16,1,shar,shar,2,20,
16,3,apar,apar,2,20,
17,11,rapa,rapa,1,10,
17,14,coar,coar,2,20,
14,1,shar,shar,1,9,
14,2,tosp,tosp,1,9,
15,5,cegl,cegl,1,9,
15,16,rapa,rapa,1,9,
17,7,shar,shar,1,9,
13,12,vear,vear,1,8,
14,5,coar,coar,1,8,
14,14,libi,libi,1,8,
15,6,pore,pore,1,8,
15,6,rapa,rapa,2,16,
15,10,mydi,mydi,1,8,
15,14,shar,shar,2,16,
17,4,apar,apar,1,8,
17,16,rapa,rapa,1,8,
13,4,cegl,cegl,2,15,
13,15,trfr,trfr,1,7,
14,1,apar,apar,1,7,
14,13,apar,apar,1,7,
15,7,pore,pore,1,7,
15,11,vear,vear,1,7,
15,14,mydi,mydi,1,7,
15,16,tosp,tosp,1,7,
16,12,cegl,cegl,1,7,
16,13,cegl,cegl,1,7,
16,14,mydi,mydi,1,7,
17,2,shar,shar,1,7,
13,14,shar,shar,3,20,
14,15,apar,apar,3,20,
17,7,coar,coar,3,20,
13,1,shar,shar,2,13,
13,2,rapa,rapa,2,13,
13,3,apar,apar,4,25,
14,2,mydi,mydi,1,6,
14,12,casp,casp,2,12,
14,15,vepe,vepe,2,12,
14,16,libi,libi,1,6,
15,11,shar,shar,1,6,
15,14,libi,libi,1,6,
16,3,rapa,rapa,2,12,
16,10,rapa,rapa,2,12,
16,13,shar,shar,2,12,
17,9,shar,shar,2,12,
17,13,shar,shar,1,6,
14,6,asteraceae,asteraceae,4,23,
14,14,valo,valo,2,11,
15,15,apar,apar,2,11,
15,10,hysp,asteraceae,3,16,
17,9,rapa,rapa,4,21,
13,7,visa,visa,2,10,
13,16,coar,coar,3,15,
15,2,hysp,asteraceae,1,5,
15,2,shar,shar,3,15,
16,2,rsps,rapa,2,10,
16,13,rapa,rapa,3,15,
16,15,mydi,mydi,2,10,
17,10,poaceae,poaceae,6,30,
17,14,shar,shar,2,10,
13,10,casp,casp,6,29,
15,7,rapa,rapa,3,14,
16,14,visa,visa,3,14,
16,15,cegl,cegl,3,14,
14,5,apar,apar,2,9,
15,2,mydi,mydi,2,9,
15,10,pore,pore,2,9,
15,13,valo,valo,2,9,
17,15,shar,shar,2,9,
14,14,shar,shar,3,13,
13,10,cegl,cegl,1,4,
13,13,apar,apar,1,4,
13,14,libi,libi,3,12,
14,1,mydi,mydi,1,4,
14,10,hysp,asteraceae,2,8,
14,11,trre,trre,1,4,
14,15,mydi,mydi,6,24,
15,1,cegl,cegl,1,4,
15,4,mydi,mydi,2,8,
15,10,cegl,cegl,1,4,
15,12,valo,valo,3,12,
15,13,apar,apar,1,4,
15,13,shar,shar,3,12,
15,13,vepe,vepe,1,4,
15,16,coar,coar,3,12,
16,3,cegl,cegl,1,4,
16,6,pore,pore,2,8,
16,7,coar,coar,3,12,
16,7,rapa,rapa,3,12,
16,10,coar,coar,2,8,
16,13,apar,apar,1,4,
16,15,visa,visa,1,4,
16,16,shar,shar,2,8,
17,1,rapa,rapa,1,4,
17,2,rapa,rapa,2,8,
17,7,rapa,rapa,1,4,
17,8,shar,shar,1,4,
13,10,vepe,vepe,8,31,
17,8,rapa,rapa,8,30,
15,10,mean,mean,3,11,
16,10,poaceae,poaceae,9,33,
16,14,rapa,rapa,3,11,
13,3,tosp,tosp,5,18,
13,11,shar,shar,5,18,
15,3,apar,apar,5,18,
14,3,apar,apar,7,25,
14,3,mear,mear,2,7,
14,4,poaceae,poaceae,4,14,
14,7,coar,coar,2,7,
15,5,apar,apar,2,7,
15,11,plla,plla,2,7,
15,13,cegl,cegl,2,7,
16,1,valo,valo,2,7,
16,3,coar,coar,2,7,
16,6,poaceae,poaceae,12,42,
16,7,pore,pore,2,7,
16,16,rapa,rapa,2,7,
17,13,rapa,rapa,2,7,
17,14,visa,visa,4,14,
13,2,visa,visa,3,10,
15,1,shar,shar,3,10,
16,11,rapa ,rapa,3,10,
16,11,visa,visa,3,10,
16,15,shar,shar,3,10,
17,3,coar,coar,3,10,
17,10,coar,coar,6,20,
13,4,lyar,lyar,4,13,
14,13,shar,shar,4,13,
17,5,rapa,rapa,10,32,
15,14,rapa,rapa,8,25,
13,5,apar,apar,3,9,
13,7,pore,pore,2,6,
13,9,gedi,gedi,1,3,
13,14,valo,valo,2,6,
13,14,visa,visa,4,12,
13,15,coar,coar,5,15,
13,15,valo,valo,2,6,
13,16,visa,visa,3,9,
14,2,cegl,cegl,1,3,
14,2,gemo,gemo,1,3,
14,2,visa,visa,3,9,
14,3,cegl,cegl,3,9,
14,3,rapa,rapa,6,18,
14,4,mydi,mydi,2,6,
14,6,pore,pore,3,9,
14,6,shar,shar,4,12,
14,6,vepe,vepe,5,15,
14,7,gedi,gedi,1,3,
14,10,visa,visa,1,3,
14,11,mear,mear,3,9,
14,12,vear,vear,1,3,
14,13,cegl,cegl,3,9,
14,15,coar,coar,3,9,
14,15,trdu,trdu,1,3,
14,16,shar,shar,5,15,
14,16,tosp,tosp,2,6,
14,16,vear,vear,1,3,
15,2,apar,apar,1,3,
15,3,rapa,rapa,4,12,
15,4,apar,apar,1,3,
15,5,mydi,mydi,1,3,
15,5,shar,shar,1,3,
15,7,bepe,bepe,1,3,
15,10,poaceae,poaceae,10,30,
15,10,vepe,vepe,1,3,
15,13,mydi,mydi,1,3,
15,13,poaceae,poaceae,6,18,
15,16,libi,libi,1,3,
16,1,mydi,mydi,1,3,
16,2,plla,plla,1,3,
16,2,shar,shar,2,6,
16,5,apar,apar,1,3,
16,7,gedi,gedi,2,6,
16,9,mydi,mydi,1,3,
16,10,pore,pore,3,9,
16,11,rabu,rabu,1,3,
16,14,bepe,bepe,1,3,
16,15,rapa,rapa,6,18,
16,16,mear,mear,3,9,
16,16,mydi,mydi,1,3,
16,16,tosp,tosp,1,3,
17,1,apar,apar,1,3,
17,5,shar,shar,1,3,
17,6,shar,shar,3,9,
17,10,pore,pore,5,15,
