"","sampling","treatment","date","month","code","species","family","genus_level","species_level","abundance","n_species","total_abundance"
"1","0","c",2023-05-04,"May","plla","Plantago lanceolata","Plantaginaceae","Plantago","lanceolata",3.25,30,110.5
"2","0","c",2023-05-04,"May","cyec","Cynosurus echinatus","Poaceae","Cynosurus","echinatus",0.5,30,110.5
"3","0","c",2023-05-04,"May","cegl","Cerastium glomeratum","Caryophyllaceae","Cerastium","glomeratum",1,30,110.5
"4","0","c",2023-05-04,"May","to","Torilis sp","Apieaceae","Torilis","sp",3,30,110.5
"5","0","c",2023-05-04,"May","fear","Festuca arundinacea","Poaceae","Festuca","arundinacea",27.5,30,110.5
"6","0","c",2023-05-04,"May","vear","Veronica arvensis","Plantaginaceae","Veronica","arvensis",0.5,30,110.5
"7","0","c",2023-05-04,"May","crca","Crepis capillaris","Asteraceae","Crepis","capillaris",0.25,30,110.5
"8","0","c",2023-05-04,"May","trdu","Trifolium dubium","Fabaceae","Trifolium","dubium",0.75,30,110.5
"9","0","c",2023-05-04,"May","mear","Medicago arabica","Fabaceae","Medicago","arabica",5.75,30,110.5
"10","0","c",2023-05-04,"May","visa","Vicia sativa","Fabaceae","Vicia","sativa",3,30,110.5
"11","0","c",2023-05-04,"May","pore","Potentilla reptans","Rosaceae","Potentilla","reptans",1.25,30,110.5
"12","0","c",2023-05-04,"May","loco","Lotus corniculatus","Fabeaceae","Lotus","corniculatus",0.5,30,110.5
"13","0","c",2023-05-04,"May","poan","Poa annua","Poaceae","Poa","annua",10.25,30,110.5
"14","0","c",2023-05-04,"May","libi","Linum bienne","Linaceae","Linum","bienne",0.75,30,110.5
"15","0","c",2023-05-04,"May","shar","Sherardia armensis","Rubeaceae","Sherardia","armensis",6,30,110.5
"16","0","c",2023-05-04,"May","bepe","Bellis perennis","Asteraceae","Bellis","perennis",3.75,30,110.5
"17","0","c",2023-05-04,"May","pobu","Poa bulbosa","Poaceae","Poa","bulbosa",0.75,30,110.5
"18","0","c",2023-05-04,"May","trfr","Trifolium fragiferum","Fabaceae","Trifolium","fragiferum",2.75,30,110.5
"19","0","c",2023-05-04,"May","coar","Convolvulus arvensis","Convolvulaceae","Convolvulus","arvensis",1.25,30,110.5
"20","0","c",2023-05-04,"May","brho","Bromus hordeaceus","Poaceae","Bromus","hordeaceus",12,30,110.5
"21","0","c",2023-05-04,"May","avst","Avena sterilis","Poaceae","Avena","sterilis",0.25,30,110.5
"22","0","c",2023-05-04,"May","rabu","Ranunculus bulbosus","Ranunculaceae","Ranunculus","bulbosus",3.25,30,110.5
"23","0","c",2023-05-04,"May","vepe","Veronica persica","Plantaginaceae","Veronica","persica",0.25,30,110.5
"24","0","c",2023-05-04,"May","rapa","Rannunculus parviflorus","Ranunculaceae","Rannunculus","parviflorus",5.25,30,110.5
"25","0","c",2023-05-04,"May","gedi","Geranium dissectum","Geraniaceae","Geranium","dissectum",2.25,30,110.5
"26","0","c",2023-05-04,"May","dagl","Dactilys glomerata","Poaceae","Dactilys","glomerata",0.75,30,110.5
"27","0","c",2023-05-04,"May","brst","Bromus sterillis","Poaceae","Bromus","sterillis",10,30,110.5
"28","0","c",2023-05-04,"May","trre","Trifolium repens","Fabaceae","Trifolium","repens",2.75,30,110.5
