species,internal_code,code,family,genus_level,species_level,life_cycle,OBS
Amaranthus sp,,amsp,Amaranthaceae,Amaranthus,NA,anual,
Anacamptis pyramidalis,,anpy,Orchidaceae,Anacamptis,pyramidalis,perenne,
Aphanes arvensis,,apar,Rosaceae,Aphanes,arvensis,anual,
NA,,asteraceae,Asteraceae,NA,NA,,
Avena sterilis,,avst,Poaceae,Avena,sterilis,anual,
Bellis perennis,,bepe,Asteraceae,Bellis,perennis,perenne,
NA,,brasiccaceae,Brassicaceae,NA,NA,,
Bromus hordeaceus,G2,brho,Poaceae,Bromus,hordeaceus,anual,
Bromus sterillis,G1,brst,Poaceae,Bromus,sterillis,,
Capsella bursa-pastoris,,cabu,Brassicaceae,Capsella,bursa-pastoris,anual,
Carex divulsa,G12,cadi,Cyperaceae,Carex,divulsa,,
Cardamine sp,,casp,Brassicaceae,Cardamine,NA,,
Cerastium glomeratum,,cegl,Caryophyllaceae,Cerastium,glomeratum,anual,
Chenopodium sp,,chsp,Amaranthaceae,Chenopodium,NA,anual,
Cirsium sp,cardo,cisp,Asteraceae,Cirsium,NA,,
Convolvulus arvensis,,coar,Convolvulaceae,Convolvulus,arvensis,perenne,
Crepis capillaris,,crca,Asteraceae,Crepis,capillaris,anual,
Cynosurus echinatus,G14,cyec,Poaceae,Cynosurus,echinatus,anual,
Dactilys glomerata,,dagl,Poaceae,Dactilys,glomerata,perenne,
Elymus repens,G11,elre,Poaceae,Elymus,repens,perenne,
Erophila verna,,erve,Brassicaceae,Erophila,verna,anual,
Festuca arundinacea,G10,fear,Poaceae,Festuca,arundinacea,perenne,
Festuca gruporruba,,fegr,Poaceae,Festuca,gruporruba,perenne,
Gaudinia fragilis,,gafr,Poaceae,Gaudinia,fragilis,anual,
Geranium dissectum,,gedi,Geraniaceae,Geranium,dissectum,anual,
Geranium molle,,gemo,Geraniaceae,Geranium,molle,anual,
Helminthotheca sp,,hesp,Asteraceae ,Helminthotheca,NA,NA,
Hordeum murinum,,homu,Poaceae,Hordeum,murinum,anual,
Hypochaeris sp,,hysp,Asteraceae,Hypochaeris,NA,,
Kickxia spuria,,kisp,Plantaginaceae,Kickxia,spuria,anual,
Lamium purpureum ,,lapu,Lamiaceae,Lamium,purpureum,anual,
Leontodon hispidus,,lehi,Asteraceae,Leontodon,hispidus,perenne,
Linum bienne,,libi,Linaceae,Linum,bienne,bianual,
Lotus corniculatus,,loco,Fabeaceae,Lotus,corniculatus,perenne,
"Lolium perenne",,lope,Poaceae,Lolium,perenne,perenne,
Lysimachia arvensis,,lyar,Primulaceae,Lysimachia,arvensis,anual,
Mercurialis annua,,mean,Euphorbiaceae,Mercurialis,annua,anual,
Medicago arabica,,mear,Fabaceae,Medicago,arabica,anual,
Medicago lupulina,,melu,Fabaceae,Medicago,lupulina,anual,
Myosotis discolor,cerastium falso,mydi,Boraginaceae,Myosotis,discolor,,
Ophrys apifera,,opap,Orchidaceae,Ophrys,apifera,perenne,
NA,,orchidaceae,Orchidaceae,NA,NA,,
Plantago lanceolata,,plla,Plantaginaceae,Plantago,lanceolata,perenne,
NA,,poaceae,Poaceae,NA,NA,,
Poa annua,,poan,Poaceae,Poa,annua,perenne,
Poa bulbosa,,pobu,Poaceae,Poa,bulbosa,perenne,
Potentilla reptans,,pore,Rosaceae,Potentilla,reptans,perenne,
Ranunculus bulbosus,,rabu,Ranunculaceae,Ranunculus,bulbosus,perenne,
Rannunculus parviflorus,,rapa,Ranunculaceae,Rannunculus,parviflorus,anual,
Rumex crispus,,rucr,Polygonaceae,Rumex,crispus,perenne,
Senecio vulgaris,,sevu,Asteraceae,Senecio,vulgaris,,
Sherardia armensis,,shar,Rubeaceae,Sherardia,armensis,anual,
Sonchus sp,,sosp,Asteraceae,Sonchus,NA,,
Stellaria media,,stme,Caryophyllaceae,Stellaria,media,,
Torilis arvensis,torilis,toar,Apiaceae,Torilis,arvensis,anual,
Torilis nodosa,torilis,tono,Apieaceae,Torilis,nodosa,bianual,
Torilis sp,,tosp,Apieaceae,Torilis,sp,NA,No se pueden diferenciar a nivel de especie cuando son plántulas
Trifolium dubium,,trdu,Fabaceae,Trifolium,dubium,anual,
Trifolium fragiferum,,trfr,Fabaceae,Trifolium,fragiferum,perenne,
Trifolium repens,,trre,Fabaceae,Trifolium,repens,perenne,
Valerianella locusta,,valo,Caprifoleaceae,Valerianella,locusta,anual,locusta o carinata?
Veronica arvensis,,vear,Plantaginaceae,Veronica,arvensis,anual,
Verbena officinalis,,veof,Verbenaceae,Verbena,officinalis,Perenne,
Veronica persica,,vepe,Plantaginaceae,Veronica,persica,anual,
Vicia sativa,,visa,Fabaceae,Vicia,sativa,anual,
