"","plot","sampling","Y_zipf","treatment"
"1","1","0",-0.841075397846883,"w"
"2","1","4",-1.7494618611623,"w"
"3","1","9",-1.44740287972435,"w"
"4","1","10",-1.97402677040596,"w"
"5","1","5",-1.57020278705355,"w"
"6","1","7",-2.61316431472294,"w"
"7","1","11",-1.19374060614325,"w"
"8","1","6",-0.874265262372002,"w"
"9","1","2",-1.0123823143689,"w"
"10","1","3",-1.46843623398683,"w"
"11","1","8",-1.55154695847596,"w"
"12","10","5",-1.16165965261348,"p"
"13","10","7",-1.28633376495134,"p"
"14","10","8",-1.10814496443483,"p"
"15","10","0",-1.24701789693885,"p"
"16","10","4",-1.07541392221091,"p"
"17","10","9",-0.854587707967841,"p"
"18","10","10",-0.901963742708776,"p"
"19","10","2",-0.710528563170675,"p"
"20","10","11",-0.878289983667097,"p"
"21","10","6",-1.20596673161381,"p"
"22","10","3",-1.15717717027382,"p"
"23","11","5",-1.94174401964757,"c"
"24","11","10",-2.41714739479411,"c"
"25","11","2",-1.14450232115644,"c"
"26","11","7",-1.60569504315138,"c"
"27","11","3",-1.92024870504354,"c"
"28","11","8",-1.87789052822661,"c"
"29","11","0",-1.30348411490595,"c"
"30","11","4",-1.42367805102003,"c"
"31","11","9",-2.13871923664796,"c"
"32","11","6",-2.15077886723376,"c"
"33","11","11",-2.06302840038157,"c"
"34","12","10",-3.39702906870262,"wp"
"35","12","5",-2.44335056490632,"wp"
"36","12","9",-2.41788519480176,"wp"
"37","12","6",-2.31347903252966,"wp"
"38","12","2",-2.80735492199014,"wp"
"39","12","7",-1.23027611852599,"wp"
"40","12","4",-1.97810177690109,"wp"
"41","12","3",-2.19381481945049,"wp"
"42","12","8",-2.59815547060857,"wp"
"43","12","0",-1.22404908273577,"wp"
"44","12","11",-2.02388479909686,"wp"
"45","13","7",-0.840005142623339,"wp"
"46","13","9",-0.854138381459112,"wp"
"47","13","10",-0.970501576436809,"wp"
"48","13","5",-1.10213991683336,"wp"
"49","13","4",-1.26169341382035,"wp"
"50","13","11",-1.74330888583986,"wp"
"51","13","6",-0.859166874751268,"wp"
"52","13","2",-2.26515365115691e-16,"wp"
"53","13","0",-2.11988595574858,"wp"
"54","13","3",-2.04998306402447,"wp"
"55","13","8",-0.804001342079413,"wp"
"56","14","7",-0.862120695052491,"c"
"57","14","2",-0.648819825204947,"c"
"58","14","0",-0.691963435305371,"c"
"59","14","4",-0.703624193195654,"c"
"60","14","9",-1.08820320098281,"c"
"61","14","10",-1.05597867208396,"c"
"62","14","5",-0.911595401567795,"c"
"63","14","11",-0.976578695219574,"c"
"64","14","6",-0.817593799330983,"c"
"65","14","8",-1.02652611604379,"c"
"66","14","3",-0.729730332324275,"c"
"67","15","5",-1.22994712585629,"p"
"68","15","2",NA,"p"
"69","15","7",-1.25855942718379,"p"
"70","15","6",-1.39708180477702,"p"
"71","15","8",-1.21119862611732,"p"
"72","15","0",-3.8067278436126,"p"
"73","15","4",-0.526665660037904,"p"
"74","15","9",-1.29676915747888,"p"
"75","15","10",-1.38717113549307,"p"
"76","15","11",-0.671959470602358,"p"
"77","15","3",-1.00477548010114,"p"
"78","16","10",-2.37362452117327,"w"
"79","16","5",-0.962294613050584,"w"
"80","16","6",-1.2396928582544,"w"
"81","16","2",-1.3266929444835,"w"
"82","16","7",-2,"w"
"83","16","11",-3.35274529868985,"w"
"84","16","3",-1.0548060269751,"w"
"85","16","8",-2.66296501272243,"w"
"86","16","0",-3.22615556628488,"w"
"87","16","4",-0.710999422464826,"w"
"88","16","9",-2.2352088504392,"w"
"89","2","0",-1.26638593591912,"c"
"90","2","4",-1.78137607117,"c"
"91","2","9",-1.81265707502754,"c"
"92","2","10",-1.96447371267146,"c"
"93","2","5",-1.68611120725038,"c"
"94","2","7",-3.29335703785521,"c"
"95","2","11",-2.03909479621306,"c"
"96","2","6",-1.67807190511264,"c"
"97","2","2",-1.28380057494663,"c"
"98","2","3",-1.02406421286272,"c"
"99","2","8",-1.73910540138114,"c"
"100","3","5",-0.951027618606291,"p"
"101","3","7",-1.21909891615196,"p"
"102","3","8",-1.32078561028719,"p"
"103","3","0",-1.15824723989354,"p"
"104","3","4",-0.734659099348952,"p"
"105","3","9",-0.926617651043968,"p"
"106","3","10",-0.861447973823632,"p"
"107","3","2",-0.464468340342054,"p"
"108","3","11",-0.38490355381173,"p"
"109","3","6",-1.2727720802521,"p"
"110","3","3",-0.631846783651493,"p"
"111","4","5",-1.07493059200264,"wp"
"112","4","10",-1.01597556353342,"wp"
"113","4","2",-0.441431447480062,"wp"
"114","4","7",-1.10213991683336,"wp"
"115","4","3",-0.671264890576454,"wp"
"116","4","8",-1.26023591519307,"wp"
"117","4","0",-0.996077921681952,"wp"
"118","4","4",-1.1219046547084,"wp"
"119","4","9",-1.07660658773484,"wp"
"120","4","6",-1.31640173824039,"wp"
"121","4","11",-0.742490430335702,"wp"
"122","5","10",-1.16671499633753,"wp"
"123","5","5",-0.956097177675508,"wp"
"124","5","9",-1.0975379818068,"wp"
"125","5","6",-0.963652524854876,"wp"
"126","5","2",-1.2886677998817,"wp"
"127","5","7",-1.1000500622341,"wp"
"128","5","4",-0.998431074442505,"wp"
"129","5","3",-1.3029855510261,"wp"
"130","5","8",-1.08963019237279,"wp"
"131","5","0",-0.785615711885386,"wp"
"132","5","11",-0.944740468779645,"wp"
"133","6","7",-0.929014472541171,"p"
"134","6","9",-1.03360263825057,"p"
"135","6","10",-1.10379891997414,"p"
"136","6","5",-1.05307974318693,"p"
"137","6","4",-0.977798278071152,"p"
"138","6","11",-0.860824404351692,"p"
"139","6","6",-1.08166766652261,"p"
"140","6","2",-0.710528563170675,"p"
"141","6","0",-1.31089653124802,"p"
"142","6","3",-1.00647378856387,"p"
"143","6","8",-1.06772749033856,"p"
"144","7","7",-1.3757217533488,"c"
"145","7","2",-0.939705485714331,"c"
"146","7","0",-1.48982715163235,"c"
"147","7","4",-0.934036902043061,"c"
"148","7","9",-1.5669012953184,"c"
"149","7","10",-1.24180636012782,"c"
"150","7","5",-1.01823519460182,"c"
"151","7","11",-1.2695672547065,"c"
"152","7","6",-1.63312988753622,"c"
"153","7","8",-1.25600790631497,"c"
"154","7","3",-1.32476621259774,"c"
"155","8","5",-2.30168926309279,"w"
"156","8","2",-1.0521838031929,"w"
"157","8","7",-0.929555204778045,"w"
"158","8","6",-1.02727944863799,"w"
"159","8","8",-1.38553156720411,"w"
"160","8","0",-1.39924041500466,"w"
"161","8","4",-1.87425108828745,"w"
"162","8","9",-2.02873392776662,"w"
"163","8","10",-2.45043548348768,"w"
"164","8","11",-2.10902653748019,"w"
"165","8","3",-1.4227635550725,"w"
"166","9","10",-1.33634738398338,"w"
"167","9","5",-1.16837771500753,"w"
"168","9","6",-1.02206949119233,"w"
"169","9","2",-1.111509569684,"w"
"170","9","7",-0.930004149701736,"w"
"171","9","11",-1.42411119735725,"w"
"172","9","3",-1.13919648850075,"w"
"173","9","8",-1.24374543493055,"w"
"174","9","0",-0.824586289370863,"w"
"175","9","4",-1.55857759694821,"w"
"176","9","9",-1.56333339508298,"w"
"177","1","1",-0.792707380723394,"w"
"178","11","1",-1.60612935172765,"c"
"179","14","1",-0.594662493997511,"c"
"180","16","1",-1.76894966612382,"w"
"181","2","1",-1.17256352996713,"c"
"182","7","1",-1.39292249984248,"c"
"183","8","1",-1.30102752009471,"w"
"184","9","1",-1.19607925912993,"w"
