"","species","num_measurements","cm_R_squared","cm_P_value","cb_R_squared","cb_P_value","x_R_squared","x_P_value"
"1","anpy",0,NA,NA,NA,NA,NA,NA
"2","avst",18,0.428215257475637,0.00321399859682492,0.245442159963488,0.0365615233881634,0.157626120797062,0.102814193609167
"3","bepe",63,0.194991226348943,0.000291383823106498,0.225349655102886,8.46486296063448e-05,0.220618332651053,0.000102886066184498
"4","brho",7,0.10237620869077,0.48418654271928,0.0309062421730148,0.706140270906456,0.207679844119532,0.304114757203196
"5","brst",3,0.988879736408566,0.0672582986957325,0.990188383045526,0.0631630616252874,0.987813664452646,0.0704210884713383
"6","cadi",31,4.51652059903919e-05,0.97137736453146,0.0761862941213029,0.132832365091529,0.648315541544002,4.70991767480094e-08
"7","cegl",15,0.0968451178472443,0.258884729726865,0.0515002247095116,0.416008133039848,0.014634151788093,0.667589659356009
"8","coar",345,0.0272371065269602,0.00210213048134521,0.0138436322854186,0.0288828452959329,0.112546869864822,1.6063238150283e-10
"9","crca",0,NA,NA,NA,NA,NA,NA
"10","cyec",23,0.0142224052639131,0.587828493306953,0.121646335510121,0.102870856805635,0.147482245537331,0.0704271691875805
"11","dagl",90,0.035565534465263,0.0750585641591349,0.130386338076417,0.000471456123983211,0.214719456678338,4.24086862353782e-06
"12","elre",524,0.00465106750805337,0.118942427482552,0.000118332905985008,0.803806666481925,0.0281274257246437,0.000114647956259359
"13","fear",222,0.0295015293200122,0.0103532560017435,0.158601057601237,7.42116176847108e-10,0.289086560421912,4.95308011938508e-18
"14","gafr",6,0.866077562514084,0.0070508051852478,0.760946781561742,0.0234115969917448,0.630586695074376,0.0592305005706175
"15","gedi",172,0.142088586181213,3.45380789331703e-07,0.0615027508269888,0.00103757336955214,0.30218331474639,5.73201347293178e-15
"16","gemo",0,NA,NA,NA,NA,NA,NA
"17","hyra",12,0.101464366551791,0.312930148604157,0.0581557825568233,0.450207819687814,0.0976431385225267,0.32272756566485
"18","libi",50,0.870533971603711,6.02035191118184e-23,0.761405185716424,1.51158124159023e-16,0.604855270604863,3.05402997877855e-11
"19","me",0,NA,NA,NA,NA,NA,NA
"20","mear",91,0.295031096973861,2.65401283307196e-08,0.0864331915997982,0.00467577366967517,0.235018743572337,1.11832426438649e-06
"21","melu",40,0.00594268131714287,0.636358251481232,0.122242923972012,0.0270033797008141,0.609662646026547,2.80093222420778e-09
"22","ni_p9_1",35,0.266625260827617,0.00149611675250468,0.146042106425154,0.0234814808230719,0.300974640679414,0.000644125216562957
"23","plla",239,1.69166538292462e-05,0.949565737420071,0.11381592292921,9.00404852732236e-08,0.221496160541571,1.41141665912821e-14
"24","poan",31,0.0192158151518073,0.457061272225331,0.059549592111183,0.18584878317919,0.30437106911807,0.0012941682605893
"25","pore",186,0.185911964305648,8.06055839818405e-10,0.192461375961341,3.77129211099866e-10,0.330708028375119,9.14640867526384e-18
"26","rabu",47,0.297406285152359,7.36913465365245e-05,0.104717628848582,0.0264978223552603,0.410798025932816,1.21520114061734e-06
"27","rapa",18,0.00527337312776943,0.774608808185275,0.0220298155006992,0.556683385239384,0.000437419652299048,0.934351530376372
"28","rucr",4,0.785885579251393,0.113498122251626,0.154652598495903,0.606741054143833,0.0141398023165957,0.881089099252441
"29","shar",323,0.10748496351035,1.57015090144737e-09,0.00318512525207003,0.311935369115154,3.44586340894705e-05,0.916303307311508
"30","tono",11,0.753700754950742,0.000529141436679587,0.233990207510996,0.131679724969703,0.561829867400696,0.00791018235594628
"31","trfr",102,0.0214890322981363,0.141505235558324,0.0351545160282461,0.0591543838272,0.122393781846614,0.000312937634248859
"32","trre",51,0.0693250085418241,0.0619314648050246,0.000843194120307565,0.839703301930719,0.145469765001749,0.00575391798123786
"33","vepe",97,0.204319449141922,3.35648680226992e-06,0.138113031857561,0.000178320796953638,0.156632476261503,6.00922845145704e-05
"34","visa",34,0.627654855732243,2.37111711490165e-08,0.000119404818901732,0.951092622919023,0.952718272358177,8.93206898120648e-23
