"plot","species","abundance","abundance_relative","abundance_relative_rounded"
"plot 11","bepe",0.07,0.0089414479376983,0
"plot 11","brho",0.1,0.0294202480530718,0
"plot 11","cegl",0.03,0.00158638592443034,0
"plot 11","fear",0.5,0.176521488318431,0
"plot 11","mear",0.15,0.0186039803865013,0
"plot 11","plla",0.03,0.00591289299105855,0
"plot 11","poan",0.01,0.0128353042976637,0
"plot 11","rabu",0.02,0.00432650706662821,0
"plot 11","rapa",0.03,0.00129795211998846,0
"plot 11","shar",0.02,0.00735506201326796,0
"plot 11","trfr",0.08,0.0757138736659937,0
"plot 11","trre",0.08,0.0213441015286992,0
"plot 11","vear",0.02,0.00418229016440727,0
"plot 11","bepe",0.04,0.0089414479376983,0
"plot 11","brho",0.06,0.0294202480530718,0
"plot 11","cegl",0.01,0.00158638592443034,0
"plot 11","elre",0.6,0.619411595038939,1
"plot 11","gedi",0.02,0.00951831554658206,0
"plot 11","mear",0.08,0.0186039803865013,0
"plot 11","plla",0.02,0.00591289299105855,0
"plot 11","rabu",0.05,0.00432650706662821,0
"plot 11","trdu",0.01,0.000288433804441881,0
"plot 11","trre",0.1,0.0213441015286992,0
"plot 11","vear",0.03,0.00418229016440727,0
"plot 11","fear",0.07,0.176521488318431,0
"plot 11","elre",0.8,0.619411595038939,1
"plot 11","trre",0.03,0.0213441015286992,0
"plot 11","plla",0.04,0.00591289299105855,0
"plot 11","trfr",0.02,0.0757138736659937,0
"plot 11","gedi",0.03,0.00951831554658206,0
"plot 11","shar",0.01,0.00735506201326796,0
"plot 11","bepe",0.01,0.0089414479376983,0
"plot 11","fear",0.03,0.176521488318431,0
"plot 11","ni_p11_1",0.02,0.000288433804441881,0
"plot 11","trfr",0.01,0.0757138736659937,0
"plot 11","shar",0.04,0.00735506201326796,0
"plot 11","trre",0.02,0.0213441015286992,0
"plot 11","gedi",0.05,0.00951831554658206,0
"plot 11","visa",0.01,0.000432650706662821,0
"plot 11","bepe",0.02,0.0089414479376983,0
"plot 11","avfr",0.01,0.000288433804441881,0
"plot 11","brho",0.15,0.0294202480530718,0
"plot 11","elre",0.3,0.619411595038939,1
"plot 11","gemo",0.01,0.00014421690222094,0
"plot 11","mear",0.06,0.0186039803865013,0
"plot 11","poan",0.06,0.0128353042976637,0
"plot 11","rabu",0.06,0.00432650706662821,0
"plot 11","trfr",0.17,0.0757138736659937,0
"plot 11","trre",0.05,0.0213441015286992,0
"plot 11","cyec",0.04,0.000576867608883761,0
"plot 11","gafr",0.02,0.000288433804441881,0
"plot 11","poan",0.1,0.0128353042976637,0
"plot 11","elre",0.65,0.619411595038939,1
"plot 11","trfr",0.12,0.0757138736659937,0
"plot 11","fear",0.2,0.176521488318431,0
"plot 11","elre",0.35,0.619411595038939,1
"plot 11","trre",0.01,0.0213441015286992,0
"plot 11","trfr",0.15,0.0757138736659937,0
"plot 11","plla",0.01,0.00591289299105855,0
"plot 11","fear",0.15,0.176521488318431,0
"plot 11","elre",0.75,0.619411595038939,1
"plot 11","trfr",0.1,0.0757138736659937,0
"plot 11","elre",0.4,0.619411595038939,1
"plot 11","elre",0.5,0.619411595038939,1
"plot 11","fear",0.1,0.176521488318431,0
"plot 11","cadi",0.03,0.000432650706662821,0
"plot 11","trre",0.04,0.0213441015286992,0
"plot 11","plla",0.05,0.00591289299105855,0
"plot 11","trre",0.06,0.0213441015286992,0
"plot 11","gedi",0.01,0.00951831554658206,0
"plot 11","pore",0.02,0.000288433804441881,0
"plot 11","shar",0.005,0.00735506201326796,0
"plot 11","fear",0.08,0.176521488318431,0
"plot 11","trfr",0.05,0.0757138736659937,0
"plot 11","plla",0.06,0.00591289299105855,0
