"plot","species","abundance_relative"
"plot 13","brho",0.00680040802448147
"plot 13","brst",0.142808568514111
"plot 13","cadi",0.0272016320979259
"plot 13","cegl",0.00170010200612037
"plot 13","gedi",0.018701122067324
"plot 13","mear",0.0272016320979259
"plot 13","poan",0.00170010200612037
"plot 13","rapa",0.00170010200612037
"plot 13","shar",0.0340020401224073
"plot 13","vepe",0.197211832709963
"plot 13","ni_p13_3",0.018701122067324
"plot 13","elre",0.0629037742264536
"plot 13","plla",0.190751445086705
"plot 13","ni_p13_1",0.0765045902754165
"plot 13","ni_p13_2",0.0612036722203332
"plot 13","cadi",0.0272016320979259
"plot 13","ni_p13_5",0.00340020401224073
"plot 13","vepe",0.197211832709963
"plot 13","shar",0.0340020401224073
"plot 13","mear",0.0272016320979259
"plot 13","ni_p13_6",0.0051003060183611
"plot 13","mean",0.00170010200612037
"plot 13","cabu",0.0051003060183611
"plot 13","ni_p13_1",0.0765045902754165
"plot 13","gedi",0.018701122067324
"plot 13","cadi",0.0272016320979259
"plot 13","vepe",0.197211832709963
"plot 13","plla",0.190751445086705
"plot 13","shar",0.0340020401224073
"plot 13","ni_p13_2",0.0612036722203332
"plot 13","ni_p13_6",0.0051003060183611
"plot 13","ni_p13_7",0.00170010200612037
"plot 13","to",0.000850051003060184
"plot 13","ni_p13_4",0.000850051003060184
"plot 13","elre",0.0629037742264536
"plot 13","plla",0.190751445086705
"plot 13","brst",0.142808568514111
"plot 13","gafr",0.00850051003060184
"plot 13","fear",0.0765045902754165
"plot 13","elre",0.0629037742264536
"plot 13","brho",0.00680040802448147
"plot 13","plla",0.190751445086705
"plot 13","shar",0.0340020401224073
"plot 13","vepe",0.197211832709963
"plot 13","elre",0.0629037742264536
"plot 13","dagl",0.0238014280856851
"plot 13","plla",0.190751445086705
"plot 13","brst",0.142808568514111
"plot 13","gafr",0.00850051003060184
"plot 13","elre",0.0629037742264536
"plot 13","plla",0.190751445086705
"plot 13","fear",0.0765045902754165
"plot 13","dagl",0.0238014280856851
"plot 13","plla",0.190751445086705
"plot 13","ni_p13_2",0.0612036722203332
"plot 13","cadi",0.0272016320979259
"plot 13","mear",0.0272016320979259
"plot 13","shar",0.0340020401224073
"plot 13","ni_p13_2",0.0612036722203332
"plot 13","ni_p13_1",0.0765045902754165
"plot 13","ni_p13_1",0.0765045902754165
"plot 13","plla",0.190751445086705
"plot 13","ni_p13_2",0.0612036722203332
"plot 13","cadi",0.0272016320979259
"plot 13","asteraceae",0.00340020401224073
"plot 13","vepe",0.197211832709963
"plot 13","ni_p13_1",0.0765045902754165
"plot 13","plla",0.190751445086705
"plot 13","ni_p13_3",0.018701122067324
"plot 13","mear",0.0272016320979259
"plot 13","gedi",0.018701122067324
"plot 13","vepe",0.197211832709963
