"plot","species","abundance_relative"
"plot 14","avst",0.0358762886597938
"plot 14","bepe",0.0131958762886598
"plot 14","brho",0.0595876288659794
"plot 14","brst",0.0045360824742268
"plot 14","cegl",0.000412371134020619
"plot 14","coar",0.0722680412371134
"plot 14","crca",0.00144329896907217
"plot 14","cyec",0.0156701030927835
"plot 14","dagl",0.0292783505154639
"plot 14","gedi",0.0358762886597938
"plot 14","hola",0.00123711340206186
"plot 14","libi",0.0620618556701031
"plot 14","loco",0.0011340206185567
"plot 14","mear",0.00989690721649484
"plot 14","plla",0.0317525773195876
"plot 14","poan",0.0197938144329897
"plot 14","pobu",0.0022680412371134
"plot 14","rabu",0.0175257731958763
"plot 14","rapa",0.0323711340206186
"plot 14","shar",0.0406185567010309
"plot 14","tono",0.0142268041237113
"plot 14","trdu",0.00247422680412371
"plot 14","trre",0.00639175257731959
"plot 14","valo",0.00247422680412371
"plot 14","vepe",0.0022680412371134
"plot 14","visa",0.0195876288659794
"plot 14","avst",0.0358762886597938
"plot 14","bepe",0.0131958762886598
"plot 14","brho",0.0595876288659794
"plot 14","brst",0.0045360824742268
"plot 14","coar",0.0722680412371134
"plot 14","dagl",0.0292783505154639
"plot 14","gedi",0.0358762886597938
"plot 14","libi",0.0620618556701031
"plot 14","loco",0.0011340206185567
"plot 14","mear",0.00989690721649484
"plot 14","plla",0.0317525773195876
"plot 14","poan",0.0197938144329897
"plot 14","pobu",0.0022680412371134
"plot 14","rapa",0.0323711340206186
"plot 14","shar",0.0406185567010309
"plot 14","trdu",0.00247422680412371
"plot 14","trre",0.00639175257731959
"plot 14","valo",0.00247422680412371
"plot 14","vepe",0.0022680412371134
"plot 14","visa",0.0195876288659794
"plot 14","dagl",0.0292783505154639
"plot 14","fear",0.171134020618557
"plot 14","coar",0.0722680412371134
"plot 14","ni_p14_1",0.0835051546391753
"plot 14","elre",0.181030927835052
"plot 14","plla",0.0317525773195876
"plot 14","libi",0.0620618556701031
"plot 14","to",0.00556701030927835
"plot 14","bepe",0.0131958762886598
"plot 14","fear",0.171134020618557
"plot 14","dagl",0.0292783505154639
"plot 14","elre",0.181030927835052
"plot 14","libi",0.0620618556701031
"plot 14","shar",0.0406185567010309
"plot 14","rabu",0.0175257731958763
"plot 14","coar",0.0722680412371134
"plot 14","to",0.00556701030927835
"plot 14","avst",0.0358762886597938
"plot 14","brho",0.0595876288659794
"plot 14","coar",0.0722680412371134
"plot 14","crca",0.00144329896907217
"plot 14","gedi",0.0358762886597938
"plot 14","libi",0.0620618556701031
"plot 14","loco",0.0011340206185567
"plot 14","mear",0.00989690721649484
"plot 14","plla",0.0317525773195876
"plot 14","poan",0.0197938144329897
"plot 14","rapa",0.0323711340206186
"plot 14","shar",0.0406185567010309
"plot 14","tono",0.0142268041237113
"plot 14","trdu",0.00247422680412371
"plot 14","trre",0.00639175257731959
"plot 14","visa",0.0195876288659794
"plot 14","gedi",0.0358762886597938
"plot 14","shar",0.0406185567010309
"plot 14","tono",0.0142268041237113
"plot 14","toar",0.0245360824742268
"plot 14","libi",0.0620618556701031
"plot 14","fear",0.171134020618557
"plot 14","cyec",0.0156701030927835
"plot 14","poan",0.0197938144329897
"plot 14","coar",0.0722680412371134
"plot 14","elre",0.181030927835052
"plot 14","toar",0.0245360824742268
"plot 14","libi",0.0620618556701031
"plot 14","fear",0.171134020618557
"plot 14","libi",0.0620618556701031
"plot 14","coar",0.0722680412371134
"plot 14","fear",0.171134020618557
"plot 14","plla",0.0317525773195876
"plot 14","elre",0.181030927835052
"plot 14","fear",0.171134020618557
"plot 14","elre",0.181030927835052
"plot 14","ni_p14_1",0.0835051546391753
"plot 14","elre",0.181030927835052
"plot 14","plla",0.0317525773195876
"plot 14","dagl",0.0292783505154639
"plot 14","elre",0.181030927835052
"plot 14","plla",0.0317525773195876
"plot 14","bepe",0.0131958762886598
"plot 14","shar",0.0406185567010309
"plot 14","ni_p14_1",0.0835051546391753
"plot 14","elre",0.181030927835052
"plot 14","gedi",0.0358762886597938
"plot 14","rabu",0.0175257731958763
