"sampling","plot","treatment","species","abundance"
"sampling 0","plot 11","c","rapa",0.03
"sampling 0","plot 11","c","rapa",0.03
"sampling 0","plot 11","c","rapa",0.03
"sampling 0","plot 14","c","rapa",0.12
"sampling 0","plot 14","c","rapa",0.12
"sampling 0","plot 14","c","rapa",0.12
"sampling 0","plot 14","c","rapa",0.12
"sampling 0","plot 14","c","rapa",0.12
"sampling 0","plot 11","c","bepe",0.07
"sampling 0","plot 11","c","bepe",0.07
"sampling 0","plot 11","c","bepe",0.07
"sampling 0","plot 11","c","bepe",0.07
"sampling 0","plot 11","c","bepe",0.07
"sampling 0","plot 11","c","brho",0.1
"sampling 0","plot 11","c","brho",0.1
"sampling 0","plot 11","c","brho",0.1
"sampling 0","plot 11","c","brho",0.1
"sampling 0","plot 11","c","brho",0.1
"sampling 0","plot 11","c","brho",0.1
"sampling 0","plot 11","c","cegl",0.03
"sampling 0","plot 11","c","cegl",0.03
"sampling 0","plot 11","c","cegl",0.03
"sampling 0","plot 11","c","fear",0.5
"sampling 0","plot 11","c","fear",0.5
"sampling 0","plot 11","c","fear",0.5
"sampling 0","plot 11","c","fear",0.5
"sampling 0","plot 11","c","fear",0.5
"sampling 0","plot 11","c","fear",0.5
"sampling 0","plot 11","c","fear",0.5
"sampling 0","plot 11","c","fear",0.5
"sampling 0","plot 11","c","fear",0.5
"sampling 0","plot 11","c","fear",0.5
"sampling 0","plot 11","c","fear",0.5
"sampling 0","plot 11","c","fear",0.5
"sampling 0","plot 11","c","fear",0.5
"sampling 0","plot 11","c","fear",0.5
"sampling 0","plot 11","c","fear",0.5
"sampling 0","plot 11","c","fear",0.5
"sampling 0","plot 11","c","fear",0.5
"sampling 0","plot 11","c","fear",0.5
"sampling 0","plot 11","c","fear",0.5
"sampling 0","plot 11","c","fear",0.5
"sampling 0","plot 11","c","fear",0.5
"sampling 0","plot 11","c","mear",0.15
"sampling 0","plot 11","c","mear",0.15
"sampling 0","plot 11","c","mear",0.15
"sampling 0","plot 11","c","mear",0.15
"sampling 0","plot 11","c","mear",0.15
"sampling 0","plot 11","c","plla",0.03
"sampling 0","plot 11","c","poan",0.01
"sampling 0","plot 11","c","rabu",0.02
"sampling 0","plot 11","c","rabu",0.02
"sampling 0","plot 14","c","rapa",0.12
"sampling 0","plot 11","c","shar",0.02
"sampling 0","plot 11","c","shar",0.02
"sampling 0","plot 11","c","shar",0.02
"sampling 0","plot 11","c","trfr",0.08
"sampling 0","plot 11","c","trfr",0.08
"sampling 0","plot 11","c","trfr",0.08
"sampling 0","plot 11","c","trfr",0.08
"sampling 0","plot 11","c","trre",0.08
"sampling 0","plot 11","c","trre",0.08
"sampling 0","plot 11","c","trre",0.08
"sampling 0","plot 11","c","trre",0.08
"sampling 0","plot 11","c","vear",0.02
"sampling 0","plot 11","c","vear",0.02
"sampling 0","plot 11","c","vear",0.02
"sampling 0","plot 11","c","vear",0.02
"sampling 1","plot 11","c","bepe",0.04
"sampling 1","plot 11","c","bepe",0.04
"sampling 1","plot 11","c","bepe",0.04
"sampling 1","plot 11","c","brho",0.06
"sampling 1","plot 11","c","brho",0.06
"sampling 1","plot 11","c","brho",0.06
"sampling 1","plot 11","c","brho",0.06
"sampling 1","plot 11","c","cegl",0.01
"sampling 1","plot 11","c","cegl",0.01
"sampling 1","plot 11","c","elre",0.6
"sampling 1","plot 11","c","elre",0.6
"sampling 1","plot 11","c","elre",0.6
"sampling 1","plot 11","c","elre",0.6
"sampling 1","plot 11","c","elre",0.6
"sampling 1","plot 11","c","elre",0.6
"sampling 1","plot 11","c","elre",0.6
"sampling 1","plot 11","c","elre",0.6
"sampling 1","plot 11","c","elre",0.6
"sampling 1","plot 11","c","elre",0.6
"sampling 1","plot 11","c","elre",0.6
"sampling 1","plot 11","c","elre",0.6
"sampling 1","plot 11","c","elre",0.6
"sampling 1","plot 11","c","elre",0.6
"sampling 1","plot 11","c","elre",0.6
"sampling 1","plot 11","c","elre",0.6
"sampling 1","plot 11","c","elre",0.6
"sampling 1","plot 11","c","gedi",0.02
"sampling 1","plot 11","c","mear",0.08
"sampling 1","plot 11","c","mear",0.08
"sampling 1","plot 11","c","mear",0.08
"sampling 1","plot 11","c","plla",0.02
"sampling 1","plot 11","c","poan",0.01
"sampling 1","plot 11","c","poan",0.01
"sampling 1","plot 11","c","rabu",0.05
"sampling 1","plot 11","c","rabu",0.05
"sampling 1","plot 11","c","shar",0.02
"sampling 1","plot 11","c","shar",0.02
"sampling 1","plot 11","c","shar",0.02
"sampling 1","plot 11","c","trdu",0.01
"sampling 1","plot 11","c","trre",0.1
"sampling 1","plot 11","c","trre",0.1
"sampling 1","plot 11","c","trre",0.1
"sampling 1","plot 11","c","vear",0.03
"sampling 1","plot 11","c","vear",0.03
"sampling 1","plot 11","c","vear",0.03
"sampling 10","plot 11","c","bepe",0.01
"sampling 10","plot 11","c","elre",0.8
"sampling 10","plot 11","c","elre",0.8
"sampling 10","plot 11","c","elre",0.8
"sampling 10","plot 11","c","elre",0.8
"sampling 10","plot 11","c","elre",0.8
"sampling 10","plot 11","c","fear",0.07
"sampling 10","plot 11","c","fear",0.07
"sampling 10","plot 11","c","gedi",0.03
"sampling 10","plot 11","c","gedi",0.03
"sampling 10","plot 11","c","gedi",0.03
"sampling 10","plot 11","c","gedi",0.03
"sampling 10","plot 11","c","gedi",0.03
"sampling 10","plot 11","c","plla",0.04
"sampling 10","plot 11","c","shar",0.01
"sampling 10","plot 11","c","shar",0.01
"sampling 10","plot 11","c","shar",0.01
"sampling 10","plot 11","c","shar",0.01
"sampling 10","plot 11","c","shar",0.01
"sampling 10","plot 11","c","trfr",0.02
"sampling 10","plot 11","c","trfr",0.02
"sampling 10","plot 11","c","trre",0.03
"sampling 10","plot 11","c","trre",0.03
"sampling 2","plot 11","c","avfr",0.01
"sampling 2","plot 11","c","avfr",0.01
"sampling 2","plot 11","c","bepe",0.02
"sampling 2","plot 11","c","bepe",0.02
"sampling 2","plot 11","c","bepe",0.02
"sampling 2","plot 11","c","brho",0.15
"sampling 2","plot 11","c","brho",0.15
"sampling 2","plot 11","c","brho",0.15
"sampling 2","plot 11","c","brho",0.15
"sampling 2","plot 11","c","brho",0.15
"sampling 2","plot 11","c","brho",0.15
"sampling 2","plot 11","c","brho",0.15
"sampling 2","plot 11","c","brho",0.15
"sampling 2","plot 11","c","elre",0.3
"sampling 2","plot 11","c","elre",0.3
"sampling 2","plot 11","c","elre",0.3
"sampling 2","plot 11","c","elre",0.3
"sampling 2","plot 11","c","elre",0.3
"sampling 2","plot 11","c","elre",0.3
"sampling 2","plot 11","c","elre",0.3
"sampling 2","plot 11","c","elre",0.3
"sampling 2","plot 11","c","elre",0.3
"sampling 2","plot 11","c","elre",0.3
"sampling 2","plot 11","c","elre",0.3
"sampling 2","plot 11","c","elre",0.3
"sampling 2","plot 11","c","elre",0.3
"sampling 2","plot 11","c","elre",0.3
"sampling 2","plot 11","c","elre",0.3
"sampling 2","plot 11","c","gedi",0.02
"sampling 2","plot 11","c","gemo",0.01
"sampling 2","plot 11","c","mear",0.06
"sampling 2","plot 11","c","mear",0.06
"sampling 2","plot 11","c","mear",0.06
"sampling 2","plot 11","c","mear",0.06
"sampling 2","plot 11","c","mear",0.06
"sampling 2","plot 11","c","plla",0.02
"sampling 2","plot 11","c","poan",0.06
"sampling 2","plot 11","c","poan",0.06
"sampling 2","plot 11","c","poan",0.06
"sampling 2","plot 11","c","poan",0.06
"sampling 2","plot 11","c","poan",0.06
"sampling 2","plot 11","c","poan",0.06
"sampling 2","plot 11","c","rabu",0.06
"sampling 2","plot 11","c","rabu",0.06
"sampling 2","plot 11","c","shar",0.01
"sampling 2","plot 11","c","shar",0.01
"sampling 2","plot 11","c","trdu",0.01
"sampling 2","plot 11","c","trfr",0.17
"sampling 2","plot 11","c","trfr",0.17
"sampling 2","plot 11","c","trfr",0.17
"sampling 2","plot 11","c","trfr",0.17
"sampling 2","plot 11","c","trfr",0.17
"sampling 2","plot 11","c","trfr",0.17
"sampling 2","plot 11","c","trfr",0.17
"sampling 2","plot 11","c","trfr",0.17
"sampling 2","plot 11","c","trre",0.05
"sampling 2","plot 11","c","trre",0.05
"sampling 2","plot 11","c","trre",0.05
"sampling 2","plot 11","c","trre",0.05
"sampling 2","plot 11","c","vear",0.03
"sampling 2","plot 11","c","vear",0.03
"sampling 2","plot 11","c","vear",0.03
"sampling 2","plot 11","c","vear",0.03
"sampling 3","plot 11","c","cyec",0.04
"sampling 3","plot 11","c","elre",0.65
"sampling 3","plot 11","c","elre",0.65
"sampling 3","plot 11","c","elre",0.65
"sampling 3","plot 11","c","elre",0.65
"sampling 3","plot 11","c","elre",0.65
"sampling 3","plot 11","c","gafr",0.02
"sampling 3","plot 11","c","plla",0.03
"sampling 3","plot 11","c","poan",0.1
"sampling 3","plot 11","c","poan",0.1
"sampling 3","plot 11","c","poan",0.1
"sampling 3","plot 11","c","poan",0.1
"sampling 3","plot 11","c","poan",0.1
"sampling 3","plot 11","c","trfr",0.12
"sampling 3","plot 11","c","trfr",0.12
"sampling 3","plot 11","c","trfr",0.12
"sampling 3","plot 11","c","trfr",0.12
"sampling 3","plot 11","c","trfr",0.12
"sampling 3","plot 11","c","trre",0.02
"sampling 4","plot 11","c","elre",0.35
"sampling 4","plot 11","c","elre",0.35
"sampling 4","plot 11","c","elre",0.35
"sampling 4","plot 11","c","elre",0.35
"sampling 4","plot 11","c","elre",0.35
"sampling 4","plot 11","c","fear",0.2
"sampling 4","plot 11","c","fear",0.2
"sampling 4","plot 11","c","fear",0.2
"sampling 4","plot 11","c","plla",0.01
"sampling 4","plot 11","c","trfr",0.15
"sampling 4","plot 11","c","trfr",0.15
"sampling 4","plot 11","c","trfr",0.15
"sampling 4","plot 11","c","trfr",0.15
"sampling 4","plot 11","c","trfr",0.15
"sampling 4","plot 11","c","trre",0.01
"sampling 5","plot 11","c","elre",0.75
"sampling 5","plot 11","c","elre",0.75
"sampling 5","plot 11","c","elre",0.75
"sampling 5","plot 11","c","elre",0.75
