"sampling","plot","treatment","species","abundance"
"sampling 0","plot 10","p","rapa",0.03
"sampling 0","plot 10","p","rapa",0.03
"sampling 0","plot 10","p","bepe",0.01
"sampling 0","plot 10","p","brho",0.01
"sampling 0","plot 10","p","brho",0.01
"sampling 0","plot 10","p","coar",0.03
"sampling 0","plot 10","p","coar",0.03
"sampling 0","plot 10","p","coar",0.03
"sampling 0","plot 10","p","ni cardo",0.1
"sampling 0","plot 10","p","fear",0.4
"sampling 0","plot 10","p","fear",0.4
"sampling 0","plot 10","p","fear",0.4
"sampling 0","plot 10","p","fear",0.4
"sampling 0","plot 10","p","fear",0.4
"sampling 0","plot 10","p","fear",0.4
"sampling 0","plot 10","p","fear",0.4
"sampling 0","plot 10","p","fear",0.4
"sampling 0","plot 10","p","fear",0.4
"sampling 0","plot 10","p","fear",0.4
"sampling 0","plot 10","p","fear",0.4
"sampling 0","plot 10","p","fear",0.4
"sampling 0","plot 10","p","fear",0.4
"sampling 0","plot 10","p","mear",0.05
"sampling 0","plot 10","p","mear",0.05
"sampling 0","plot 10","p","mear",0.05
"sampling 0","plot 10","p","mear",0.05
"sampling 0","plot 10","p","pore",0.08
"sampling 0","plot 10","p","pore",0.08
"sampling 0","plot 10","p","pore",0.08
"sampling 0","plot 10","p","pore",0.08
"sampling 0","plot 10","p","tono",0.1
"sampling 0","plot 10","p","tono",0.1
"sampling 0","plot 10","p","tono",0.1
"sampling 0","plot 10","p","tono",0.1
"sampling 0","plot 10","p","tono",0.1
"sampling 0","plot 10","p","tono",0.1
"sampling 0","plot 10","p","tono",0.1
"sampling 0","plot 10","p","visa",0.15
"sampling 0","plot 10","p","visa",0.15
"sampling 0","plot 10","p","visa",0.15
"sampling 0","plot 10","p","visa",0.15
"sampling 0","plot 10","p","visa",0.15
"sampling 0","plot 10","p","visa",0.15
"sampling 0","plot 10","p","visa",0.15
"sampling 0","plot 10","p","visa",0.15
"sampling 10","plot 10","p","bepe",0.01
"sampling 10","plot 10","p","ch",0.03
"sampling 10","plot 10","p","ch",0.03
"sampling 10","plot 10","p","coar",0.1
"sampling 10","plot 10","p","coar",0.1
"sampling 10","plot 10","p","coar",0.1
"sampling 10","plot 10","p","coar",0.1
"sampling 10","plot 10","p","coar",0.1
"sampling 10","plot 10","p","elre",0.25
"sampling 10","plot 10","p","elre",0.25
"sampling 10","plot 10","p","elre",0.25
"sampling 10","plot 10","p","elre",0.25
"sampling 10","plot 10","p","elre",0.25
"sampling 10","plot 10","p","gedi",0.05
"sampling 10","plot 10","p","gedi",0.05
"sampling 10","plot 10","p","gedi",0.05
"sampling 10","plot 10","p","gedi",0.05
"sampling 10","plot 10","p","gedi",0.05
"sampling 10","plot 10","p","lyar",0.06
"sampling 10","plot 10","p","lyar",0.06
"sampling 10","plot 10","p","mean",0.06
"sampling 10","plot 10","p","mean",0.06
"sampling 10","plot 10","p","mean",0.06
"sampling 10","plot 10","p","mear",0.05
"sampling 10","plot 10","p","mear",0.05
"sampling 10","plot 10","p","mear",0.05
"sampling 10","plot 10","p","ni_p10_2",0.02
"sampling 10","plot 10","p","ni_p10_5",0.07
"sampling 10","plot 10","p","ni_p10_6",0.07
"sampling 10","plot 10","p","ni_p10_7",0.01
"sampling 10","plot 10","p","pore",0.08
"sampling 10","plot 10","p","pore",0.08
"sampling 10","plot 10","p","pore",0.08
"sampling 10","plot 10","p","pore",0.08
"sampling 10","plot 10","p","pore",0.08
"sampling 10","plot 10","p","to",0.01
"sampling 10","plot 10","p","to",0.01
"sampling 10","plot 10","p","to",0.01
"sampling 10","plot 10","p","to",0.01
"sampling 10","plot 10","p","to",0.01
"sampling 10","plot 10","p","veof",0.02
"sampling 10","plot 10","p","vepe",0.03
"sampling 10","plot 10","p","vepe",0.03
"sampling 10","plot 10","p","vepe",0.03
"sampling 10","plot 10","p","vepe",0.03
"sampling 10","plot 10","p","vepe",0.03
"sampling 2","plot 10","p","coar",0.012
"sampling 2","plot 10","p","coar",0.012
"sampling 2","plot 10","p","coar",0.012
"sampling 2","plot 10","p","elre",0.015
"sampling 2","plot 10","p","elre",0.015
"sampling 2","plot 10","p","elre",0.015
"sampling 2","plot 10","p","pore",0.007
"sampling 2","plot 10","p","pore",0.007
"sampling 2","plot 10","p","pore",0.007
"sampling 3","plot 10","p","coar",0.1
"sampling 3","plot 10","p","coar",0.1
"sampling 3","plot 10","p","coar",0.1
"sampling 3","plot 10","p","coar",0.1
"sampling 3","plot 10","p","coar",0.1
"sampling 3","plot 10","p","elre",0.12
