"sampling","plot","treatment","species","abundance"
"sampling 0","plot 12","wp","rapa",0.12
"sampling 0","plot 12","wp","rapa",0.12
"sampling 0","plot 12","wp","rapa",0.12
"sampling 0","plot 12","wp","rapa",0.12
"sampling 0","plot 13","wp","rapa",0.01
"sampling 0","plot 12","wp","bepe",0.03
"sampling 0","plot 12","wp","bepe",0.03
"sampling 0","plot 12","wp","brho",0.01
"sampling 0","plot 12","wp","brho",0.01
"sampling 0","plot 12","wp","brho",0.01
"sampling 0","plot 12","wp","brst",0.01
"sampling 0","plot 12","wp","cegl",0.01
"sampling 0","plot 12","wp","cegl",0.01
"sampling 0","plot 12","wp","cegl",0.01
"sampling 0","plot 12","wp","elre",0.35
"sampling 0","plot 12","wp","elre",0.35
"sampling 0","plot 12","wp","elre",0.35
"sampling 0","plot 12","wp","elre",0.35
"sampling 0","plot 12","wp","elre",0.35
"sampling 0","plot 12","wp","elre",0.35
"sampling 0","plot 12","wp","elre",0.35
"sampling 0","plot 12","wp","elre",0.35
"sampling 0","plot 12","wp","elre",0.35
"sampling 0","plot 12","wp","elre",0.35
"sampling 0","plot 12","wp","g13",0.1
"sampling 0","plot 12","wp","g13",0.1
"sampling 0","plot 12","wp","g13",0.1
"sampling 0","plot 12","wp","g13",0.1
"sampling 0","plot 12","wp","g13",0.1
"sampling 0","plot 12","wp","gedi",0.02
"sampling 0","plot 12","wp","gedi",0.02
"sampling 0","plot 12","wp","libi",0.02
"sampling 0","plot 12","wp","libi",0.02
"sampling 0","plot 12","wp","libi",0.02
"sampling 0","plot 12","wp","mear",0.06
"sampling 0","plot 12","wp","mear",0.06
"sampling 0","plot 12","wp","mear",0.06
"sampling 0","plot 12","wp","opap",0.01
"sampling 0","plot 12","wp","plla",0.03
"sampling 0","plot 12","wp","rabu",0.01
"sampling 0","plot 12","wp","shar",0.02
"sampling 0","plot 12","wp","shar",0.02
"sampling 0","plot 12","wp","shar",0.02
"sampling 0","plot 12","wp","shar",0.02
"sampling 0","plot 12","wp","tono",0.15
"sampling 0","plot 12","wp","tono",0.15
"sampling 0","plot 12","wp","tono",0.15
"sampling 0","plot 12","wp","tono",0.15
"sampling 0","plot 12","wp","tono",0.15
"sampling 0","plot 12","wp","trre",0.05
"sampling 0","plot 12","wp","trre",0.05
"sampling 0","plot 12","wp","trre",0.05
"sampling 10","plot 12","wp","bepe",0.01
"sampling 10","plot 12","wp","coar",0.03
"sampling 10","plot 12","wp","coar",0.03
"sampling 10","plot 12","wp","elre",0.8
"sampling 10","plot 12","wp","elre",0.8
"sampling 10","plot 12","wp","elre",0.8
"sampling 10","plot 12","wp","elre",0.8
"sampling 10","plot 12","wp","elre",0.8
"sampling 10","plot 12","wp","melu",0.02
"sampling 10","plot 12","wp","trre",0.02
"sampling 2","plot 12","wp","elre",0.07
"sampling 2","plot 12","wp","elre",0.07
"sampling 2","plot 12","wp","elre",0.07
