"plot","species","abundance_relative"
"plot 11","bepe",0.0089414479376983
"plot 11","brho",0.0294202480530718
"plot 11","cegl",0.00158638592443034
"plot 11","fear",0.176521488318431
"plot 11","mear",0.0186039803865013
"plot 11","plla",0.00591289299105855
"plot 11","poan",0.0128353042976637
"plot 11","rabu",0.00432650706662821
"plot 11","rapa",0.00129795211998846
"plot 11","shar",0.00735506201326796
"plot 11","trfr",0.0757138736659937
"plot 11","trre",0.0213441015286992
"plot 11","vear",0.00418229016440727
"plot 11","elre",0.619411595038939
"plot 11","gedi",0.00951831554658206
"plot 11","trdu",0.000288433804441881
"plot 11","ni_p11_1",0.000288433804441881
"plot 11","visa",0.000432650706662821
"plot 11","avfr",0.000288433804441881
"plot 11","gemo",0.00014421690222094
"plot 11","cyec",0.000576867608883761
"plot 11","gafr",0.000288433804441881
"plot 11","cadi",0.000432650706662821
"plot 11","pore",0.000288433804441881
