"plot","species","abundance","abundance_relative"
"plot 7","brho",0.03,0.0103205629397967
"plot 7","coar",0.03,0.0631743549648163
"plot 7","fear",0.6,0.209538702111024
"plot 7","plla",0.04,0.035027365129007
"plot 7","poan",0.3,0.193119624706802
"plot 7","pore",0.05,0.055824863174355
"plot 7","rabu",0.05,0.0311180609851446
"plot 7","shar",0.07,0.0104769351055512
"plot 7","tono",0.03,0.00750586395621579
"plot 7","visa",0.04,0.00985144644253323
"plot 7","anpy",0.01,0.000469116497263487
"plot 7","coar",0.07,0.0631743549648163
"plot 7","gedi",0.01,0.00203283815480844
"plot 7","mear",0.02,0.000625488663017983
"plot 7","mepo",0.08,0.00500390930414386
"plot 7","opap",0.01,0.00203283815480844
"plot 7","plla",0.03,0.035027365129007
"plot 7","poan",0.15,0.193119624706802
"plot 7","pore",0.09,0.055824863174355
"plot 7","rabu",0.07,0.0311180609851446
"plot 7","rapa",0.01,0.00234558248631744
"plot 7","shar",0.02,0.0104769351055512
"plot 7","tono",0.06,0.00750586395621579
"plot 7","coar",0.1,0.0631743549648163
"plot 7","fear",0.15,0.209538702111024
"plot 7","elre",0.35,0.176231430805317
"plot 7","ni_p7_1",0.25,0.172009382329945
"plot 7","plla",0.08,0.035027365129007
"plot 7","rucr",0.02,0.00140734949179046
"plot 7","bepe",0.01,0.000938232994526974
"plot 7","pore",0.01,0.055824863174355
"plot 7","plla",0.05,0.035027365129007
"plot 7","rabu",0.2,0.0311180609851446
"plot 7","rucr",0.03,0.00140734949179046
"plot 7","visa",0.03,0.00985144644253323
"plot 7","ni_p7_2",0.01,0.000156372165754496
"plot 7","ni_p7_4",0.01,0.000156372165754496
"plot 7","ni_p7_3",0.01,0.000156372165754496
"plot 7","ni_p7_5",0.01,0.000156372165754496
"plot 7","ni_p7_6",0.01,0.000156372165754496
"plot 7","to",0.01,0.000156372165754496
"plot 7","brho",0.1,0.0103205629397967
"plot 7","elre",0.28,0.176231430805317
"plot 7","fear",0.05,0.209538702111024
"plot 7","gedi",0.03,0.00203283815480844
"plot 7","me",0.04,0.0037529319781079
"plot 7","opap",0.03,0.00203283815480844
"plot 7","plla",0.02,0.035027365129007
"plot 7","poan",0.2,0.193119624706802
"plot 7","pore",0.08,0.055824863174355
"plot 7","rabu",0.04,0.0311180609851446
"plot 7","rapa",0.03,0.00234558248631744
"plot 7","shar",0.05,0.0104769351055512
"plot 7","visa",0.05,0.00985144644253323
"plot 7","pore",0.15,0.055824863174355
"plot 7","poan",0.4,0.193119624706802
"plot 7","plla",0.06,0.035027365129007
"plot 7","coar",0.05,0.0631743549648163
"plot 7","elre",0.3,0.176231430805317
"plot 7","rabu",0.01,0.0311180609851446
"plot 7","toar",0.08,0.00625488663017983
"plot 7","rucr",0.01,0.00140734949179046
"plot 7","pore",0.2,0.055824863174355
"plot 7","elre",0.1,0.176231430805317
"plot 7","fear",0.12,0.209538702111024
"plot 7","pore",0.1,0.055824863174355
"plot 7","elre",0.09,0.176231430805317
"plot 7","fear",0.08,0.209538702111024
"plot 7","coar",0.12,0.0631743549648163
"plot 7","pore",0.06,0.055824863174355
"plot 7","elre",0.02,0.176231430805317
"plot 7","ni_p7_1",0.4,0.172009382329945
"plot 7","fear",0.1,0.209538702111024
"plot 7","elre",0.06,0.176231430805317
"plot 7","plla",0.1,0.035027365129007
"plot 7","pore",0.04,0.055824863174355
"plot 7","bepe",0.03,0.000938232994526974
"plot 7","ni_p7_1",0.5,0.172009382329945
"plot 7","elre",0.2,0.176231430805317
"plot 7","plla",0.07,0.035027365129007
