"plot","species","abundance_relative"
"plot 3","apar",0.00290782204129107
"plot 3","bepe",0.00872346612387322
"plot 3","brho",0.0363477755161384
"plot 3","brst",0.0581564408258215
"plot 3","coar",0.0389648153533004
"plot 3","dagl",0.0370747310264612
"plot 3","fear",0.0494329747019482
"plot 3","gedi",0.0174469322477464
"plot 3","mear",0.0145391102064554
"plot 3","mepo",0.00436173306193661
"plot 3","poan",0.00145391102064554
"plot 3","pore",0.0414364640883978
"plot 3","rapa",0.00726955510322768
"plot 3","shar",0.0508868857225938
"plot 3","tono",0.0145391102064554
"plot 3","tr",0.0145391102064554
"plot 3","visa",0.00145391102064554
"plot 3","pore",0.0414364640883978
"plot 3","ch",0.251526606571678
"plot 3","trfr",0.164291945332946
"plot 3","coar",0.0389648153533004
"plot 3","elre",0.021808665309683
"plot 3","lyar",0.0290782204129107
"plot 3","dagl",0.0370747310264612
"plot 3","shar",0.0508868857225938
"plot 3","veof",0.00726955510322768
"plot 3","fear",0.0494329747019482
"plot 3","gedi",0.0174469322477464
"plot 3","ni_p3_3",0.018900843268392
"plot 3","plla",0.0290782204129107
"plot 3","ni_p3_2",0.0116312881651643
"plot 3","mear",0.0145391102064554
"plot 3","to",0.00799651061355045
"plot 3","vepe",0.0116312881651643
"plot 3","ni_p3_2",0.0116312881651643
"plot 3","lyar",0.0290782204129107
"plot 3","shar",0.0508868857225938
"plot 3","elre",0.021808665309683
"plot 3","fear",0.0494329747019482
"plot 3","ni_p3_3",0.018900843268392
"plot 3","plla",0.0290782204129107
"plot 3","melu",0.00436173306193661
"plot 3","vepe",0.0116312881651643
"plot 3","gedi",0.0174469322477464
"plot 3","asteraceae",0.0101773771445188
"plot 3","to",0.00799651061355045
"plot 3","mear",0.0145391102064554
"plot 3","coar",0.0389648153533004
"plot 3","dagl",0.0370747310264612
"plot 3","fear",0.0494329747019482
"plot 3","pore",0.0414364640883978
"plot 3","trre",0.000726955510322768
"plot 3","pore",0.0414364640883978
"plot 3","ni_brasicacea_flores_amarillas",0.00145391102064554
"plot 3","coar",0.0389648153533004
"plot 3","trfr",0.164291945332946
"plot 3","plla",0.0290782204129107
"plot 3","ch",0.251526606571678
"plot 3","shar",0.0508868857225938
"plot 3","kisp",0.0261703983716197
"plot 3","lyar",0.0290782204129107
"plot 3","pore",0.0414364640883978
"plot 3","dagl",0.0370747310264612
"plot 3","ch",0.251526606571678
"plot 3","elre",0.021808665309683
"plot 3","fear",0.0494329747019482
"plot 3","kisp",0.0261703983716197
"plot 3","trfr",0.164291945332946
"plot 3","shar",0.0508868857225938
"plot 3","kisp",0.0261703983716197
"plot 3","ch",0.251526606571678
"plot 3","lyar",0.0290782204129107
"plot 3","plla",0.0290782204129107
"plot 3","hyra",0.00436173306193661
"plot 3","dagl",0.0370747310264612
"plot 3","fear",0.0494329747019482
"plot 3","trfr",0.164291945332946
"plot 3","ni_p3_3",0.018900843268392
"plot 3","ch",0.251526606571678
"plot 3","lyar",0.0290782204129107
"plot 3","trfr",0.164291945332946
"plot 3","shar",0.0508868857225938
"plot 3","veof",0.00726955510322768
"plot 3","ch",0.251526606571678
"plot 3","trfr",0.164291945332946
"plot 3","coar",0.0389648153533004
"plot 3","plla",0.0290782204129107
"plot 3","trfr",0.164291945332946
"plot 3","fear",0.0494329747019482
"plot 3","shar",0.0508868857225938
"plot 3","ni_p3_3",0.018900843268392
"plot 3","ni_p3_2",0.0116312881651643
"plot 3","gedi",0.0174469322477464
"plot 3","to",0.00799651061355045
"plot 3","bepe",0.00872346612387322
"plot 3","coar",0.0389648153533004
"plot 3","bepe",0.00872346612387322
"plot 3","vepe",0.0116312881651643
