"plot","species","abundance_relative"
"plot 1","apar",0.00590405904059041
"plot 1","bepe",0.00811808118081181
"plot 1","brho",0.03690036900369
"plot 1","brst",0.0693726937269373
"plot 1","cegl",0.00516605166051661
"plot 1","fear",0.301107011070111
"plot 1","gedi",0.0177121771217712
"plot 1","hyra",0.0236162361623616
"plot 1","mear",0.0044280442804428
"plot 1","plla",0.113653136531365
"plot 1","poan",0.0118081180811808
"plot 1","rapa",0.0590405904059041
"plot 1","shar",0.0605166051660517
"plot 1","tono",0.014760147601476
"plot 1","trdu",0.0162361623616236
"plot 1","trnu",0.0014760147601476
"plot 1","visa",0.0487084870848708
"plot 1","apar",0.00590405904059041
"plot 1","bepe",0.00811808118081181
"plot 1","brho",0.03690036900369
"plot 1","brst",0.0693726937269373
"plot 1","cegl",0.00516605166051661
"plot 1","dile",0.0014760147601476
"plot 1","fear",0.301107011070111
"plot 1","fear",0.301107011070111
"plot 1","gedi",0.0177121771217712
"plot 1","mepo",0.0118081180811808
"plot 1","plla",0.113653136531365
"plot 1","poan",0.0118081180811808
"plot 1","rapa",0.0590405904059041
"plot 1","shar",0.0605166051660517
"plot 1","tono",0.014760147601476
"plot 1","trdu",0.0162361623616236
"plot 1","visa",0.0487084870848708
"plot 1","fear",0.301107011070111
"plot 1","cadi",0.0649446494464945
"plot 1","ni_p1_1",0.0693726937269373
"plot 1","shar",0.0605166051660517
"plot 1","plla",0.113653136531365
"plot 1","to",0.0199261992619926
"plot 1","gedi",0.0177121771217712
"plot 1","fear",0.301107011070111
"plot 1","to",0.0199261992619926
"plot 1","cadi",0.0649446494464945
"plot 1","ni_p1_1",0.0693726937269373
"plot 1","visa",0.0487084870848708
"plot 1","plla",0.113653136531365
"plot 1","shar",0.0605166051660517
"plot 1","asteraceae",0.0044280442804428
"plot 1","avst",0.0118081180811808
"plot 1","brst",0.0693726937269373
"plot 1","cadi",0.0649446494464945
"plot 1","cyec",0.00885608856088561
"plot 1","dagl",0.0014760147601476
"plot 1","fear",0.301107011070111
"plot 1","fear",0.301107011070111
"plot 1","gedi",0.0177121771217712
"plot 1","hyra",0.0236162361623616
"plot 1","mear",0.0044280442804428
"plot 1","melu",0.00590405904059041
"plot 1","plla",0.113653136531365
"plot 1","rapa",0.0590405904059041
"plot 1","tono",0.014760147601476
"plot 1","visa",0.0487084870848708
"plot 1","brst",0.0693726937269373
"plot 1","avst",0.0118081180811808
"plot 1","fear",0.301107011070111
"plot 1","visa",0.0487084870848708
"plot 1","cadi",0.0649446494464945
"plot 1","shar",0.0605166051660517
"plot 1","cyec",0.00885608856088561
"plot 1","crca",0.0014760147601476
"plot 1","hyra",0.0236162361623616
"plot 1","plla",0.113653136531365
"plot 1","hyra",0.0236162361623616
"plot 1","bepe",0.00811808118081181
"plot 1","cadi",0.0649446494464945
"plot 1","cegl",0.00516605166051661
"plot 1","hyra",0.0236162361623616
"plot 1","cadi",0.0649446494464945
"plot 1","plla",0.113653136531365
"plot 1","plla",0.113653136531365
"plot 1","to",0.0199261992619926
"plot 1","cadi",0.0649446494464945
"plot 1","ni_p1_1",0.0693726937269373
"plot 1","visa",0.0487084870848708
"plot 1","to",0.0199261992619926
"plot 1","shar",0.0605166051660517
