"plot","species","abundance_relative"
"plot 5","bepe",0.00174003828084218
"plot 5","brst",0.0174003828084218
"plot 5","coar",0.278406124934749
"plot 5","fear",0.102662258569689
"plot 5","gedi",0.0174003828084218
"plot 5","mear",0.0261005742126327
"plot 5","mepo",0.0139203062467374
"plot 5","poan",0.0365408038976857
"plot 5","rabu",0.00174003828084218
"plot 5","rapa",0.00348007656168436
"plot 5","shar",0.019140421089264
"plot 5","tono",0.0104402296850531
"plot 5","visa",0.0365408038976858
"plot 5","ch",0.0104402296850531
"plot 5","coar",0.278406124934749
"plot 5","plla",0.0922220288846355
"plot 5","fear",0.102662258569689
"plot 5","elre",0.220984861666957
"plot 5","ni_p5_1",0.0887419523229511
"plot 5","ni_p5_2",0.00174003828084218
"plot 5","fear",0.102662258569689
"plot 5","elre",0.220984861666957
"plot 5","ni_p5_1",0.0887419523229511
"plot 5","plla",0.0922220288846355
"plot 5","trre",0.00522011484252654
"plot 5","mear",0.0261005742126327
"plot 5","to",0.00609013398294762
"plot 5","cadi",0.00348007656168436
"plot 5","coar",0.278406124934749
"plot 5","fear",0.102662258569689
"plot 5","ni_orquidea",0.000348007656168436
"plot 5","coar",0.278406124934749
"plot 5","elre",0.220984861666957
"plot 5","plla",0.0922220288846355
"plot 5","visa",0.0365408038976858
"plot 5","shar",0.019140421089264
"plot 5","trre",0.00522011484252654
"plot 5","coar",0.278406124934749
"plot 5","elre",0.220984861666957
"plot 5","plla",0.0922220288846355
"plot 5","poan",0.0365408038976857
"plot 5","fear",0.102662258569689
"plot 5","dagl",0.00348007656168436
"plot 5","coar",0.278406124934749
"plot 5","elre",0.220984861666957
"plot 5","plla",0.0922220288846355
"plot 5","ni_p5_1",0.0887419523229511
"plot 5","shar",0.019140421089264
"plot 5","cabu",0.00174003828084218
"plot 5","elre",0.220984861666957
"plot 5","plla",0.0922220288846355
"plot 5","fear",0.102662258569689
"plot 5","ch",0.0104402296850531
"plot 5","plla",0.0922220288846355
"plot 5","coar",0.278406124934749
"plot 5","elre",0.220984861666957
"plot 5","ch",0.0104402296850531
"plot 5","coar",0.278406124934749
"plot 5","ni_p5_1",0.0887419523229511
"plot 5","mear",0.0261005742126327
"plot 5","to",0.00609013398294762
